year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,20161,60157,190649,43467,426,1465,28653,344978,0.00424664761231151,0.0012348613534776131,0.05844140785789239,0.17437923577735392,0.08305747033144142,0.1259993390882897,0.5526410379792335
1995,20909,59762,207763,48830,439,1418,30095,369216,0.003840570289478246,0.001189005893569076,0.05663080689894263,0.16186189114231236,0.08151055208875022,0.13225320679493846,0.562713966892009
1996,18776,55630,188300,41034,377,1381,27963,333461,0.004141413838499855,0.0011305669928417417,0.05630643463553459,0.16682610560155461,0.08385688281388229,0.12305486998479583,0.5646837261328911
1997,18997,60077,195045,44201,375,1492,28411,348598,0.004280001606434919,0.0010757376691776775,0.0544954360036489,0.17233891186983288,0.08150075445068532,0.1267964819075267,0.5595126764926935
1998,17442,56473,183137,40391,376,1451,26984,326254,0.0044474550503595355,0.0011524762914784186,0.05346141349991111,0.17309519576771473,0.08270856449269587,0.12380231353485321,0.5613325813629871
1999,17279,49423,167731,38247,384,1383,26334,300781,0.004598029795765025,0.001276676385808944,0.05744711268331444,0.1643155651454048,0.08755207277055399,0.12715896283342365,0.5576515803857292
2000,17841,51902,176705,43204,359,1577,27281,318869,0.004945604621333526,0.0011258541909059834,0.05595087637870097,0.16276903681449123,0.08555551025656304,0.13549137733677466,0.5541617404012306
2001,17889,54821,186850,52203,400,1518,28675,342356,0.004433981002231595,0.0011683744406407366,0.05225262592155534,0.16012863802591454,0.0837578427134328,0.15248162731192091,0.5457769105843041
2002,20176,59087,201541,57668,387,1608,30171,370638,0.00433846502517281,0.0010441455004613666,0.0544358646442081,0.15941970332237926,0.08140287828015476,0.15559116982068757,0.5437677734069362
2003,18722,58613,198725,56997,441,1856,28638,363992,0.005099013165124508,0.0012115650893426229,0.051435196377942374,0.1610282643574584,0.07867755335282094,0.15658860634299654,0.5459598013143147
2004,18921,56885,194556,55306,414,1896,28952,356930,0.0053119659316952905,0.0011598912952119464,0.053010394194940184,0.1593729862998347,0.0811139439105707,0.15494914969321716,0.54508166867453
2005,19448,56328,176112,54905,445,2006,30478,339722,0.005904828065300452,0.00130989456084681,0.0572468076839298,0.16580615915366093,0.08971453129323388,0.16161744014223395,0.5184003391007942
2006,19284,57055,173466,54849,465,1941,30916,337976,0.005743011338083178,0.0013758373375624305,0.057057305844201954,0.16881376192392358,0.09147395081307548,0.1622866712429285,0.5132494615002249
2007,18658,57825,173580,48389,468,1856,30600,331376,0.005600888416783352,0.0014122929844044227,0.056304620732943844,0.17449966201535416,0.0923422335956738,0.1460244556033026,0.5238158466515378
2008,17282,56481,185221,37218,407,1673,29059,327341,0.0051108782584521955,0.0012433517341243535,0.05279509746716727,0.17254483856284425,0.0887728698818663,0.11369794801140096,0.5658350160841447
2009,16366,53412,155184,25986,354,2110,26929,280341,0.007526548025440446,0.0012627478677753165,0.05837890283618878,0.19052511049043844,0.09605801506023022,0.09269425449720162,0.5535544212227251
2010,16574,50771,153614,21508,409,2165,26085,271126,0.007985217205284627,0.0015085237122223615,0.06113024940433599,0.18725979802748538,0.09620988027706676,0.07932843032390845,0.5665779010496964
2011,16515,54929,155664,19829,405,2264,26311,275917,0.008205366106474049,0.001467832717810066,0.05985495638181047,0.19907798359651635,0.09535838676123617,0.07186581471964396,0.5641696597165089
2012,18087,52934,159838,19158,358,2277,28108,280760,0.00811012964809802,0.0012751104145889728,0.06442157002421997,0.18853825331243768,0.10011397634990739,0.06823621598518308,0.5693047442655649
2013,17490,48533,159272,17438,357,3050,27599,273739,0.011142000226493119,0.0013041619937239487,0.06389297834798842,0.1772966219647182,0.10082231614786348,0.06370301637691378,0.5818389049422991
2014,16970,43562,154091,17587,319,3378,26916,262823,0.012852756417817314,0.001213744611392458,0.06456816945244519,0.1657465290328472,0.10241112840200439,0.06691575699234846,0.586291915091145
2015,18235,37957,152365,16785,309,3108,28012,256771,0.012104170642323315,0.0012034069267946926,0.07101658676408161,0.14782432595581277,0.10909331661285737,0.06536953160598354,0.5933886614921468
2016,21858,37736,150275,18483,389,3304,32583,264628,0.012485451274997355,0.001469988058708829,0.0825989691189141,0.14260017836358965,0.12312756019771151,0.0698452166815303,0.5678726363045483
2017,24207,37627,147830,19058,416,3581,35644,268363,0.013343866330306339,0.0015501391771592953,0.09020244966705544,0.14020934331483847,0.13282009815063925,0.07101575105361022,0.550858352306391
