year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,10118,26911,68478,7726,294,1028,14598,129153,0.007959551849356964,0.0022763698868783536,0.07834119222937136,0.20836527219654208,0.1130287333627558,0.059820522945653605,0.5302083575294418
1995,9435,24763,69935,8082,259,925,13741,127140,0.007275444392008809,0.0020371244297624665,0.07420953279848985,0.1947695453830423,0.10807770961145194,0.06356772062293535,0.5500629227623093
1996,9032,23925,73010,7855,219,1046,13161,128248,0.008156072609319444,0.001707628968872809,0.07042604952903748,0.18655261680494042,0.10262148337595908,0.061248518495415134,0.5692876302164556
1997,9131,25568,72253,7938,250,1098,13293,129531,0.008476735298885981,0.0019300399132254056,0.07049277779064471,0.19738904200538868,0.10262408226602127,0.06128262732473307,0.5578046954011009
1998,8906,23559,65525,7187,201,893,12442,118713,0.0075223438039641825,0.0016931591316873469,0.07502126978511199,0.1984534128528468,0.10480739261917398,0.060540968554412745,0.551961453252803
1999,7971,21692,63927,6664,143,710,10848,111955,0.006341833772497879,0.0012772989147425305,0.07119824929659238,0.19375641999017462,0.09689607431557322,0.05952391585905051,0.5710062078513689
2000,8887,21443,69740,6932,168,848,11904,119922,0.007071262987608612,0.001400910591884725,0.07410650255999733,0.17880789179633427,0.09926452193926052,0.057804239422291154,0.5815446707026234
2001,8969,22196,69590,7320,148,892,12190,121305,0.007353365483698116,0.0012200651250978938,0.0739375953175879,0.1829767940315733,0.10049049915502246,0.06034376159267961,0.5736779192943408
2002,8081,23229,71129,6813,142,754,11501,121649,0.006198160280807898,0.0011672927849797367,0.06642882391141727,0.1909510148048895,0.09454249521163346,0.05600539256385174,0.5847068204424204
2003,9131,25016,68061,6007,180,911,12449,121755,0.007482238922426184,0.0014783787113465566,0.0749948667405856,0.20546178801691922,0.10224631431974046,0.04933678288365981,0.5589996304053222
2004,10023,30099,73874,6491,176,1166,13737,135566,0.008600976646061697,0.0012982606258206335,0.07393446734431937,0.22202469645781392,0.10133071714146615,0.04788073705796438,0.5449301447265539
2005,10747,30118,75510,7286,189,1202,14670,139722,0.008602796982579694,0.0013526860480096191,0.07691702094158401,0.21555660525901432,0.10499420277407996,0.05214640500422267,0.5404302829905098
2006,11227,32042,72016,7463,205,1308,15506,139767,0.009358432247955526,0.0014667267666902775,0.08032654346161826,0.22925297101604813,0.11094178167950947,0.05339600907224166,0.5152575357559367
2007,10524,32072,72979,7010,191,1268,15007,139051,0.009118956354143443,0.0013735967378875377,0.07568446109700758,0.2306491862697859,0.10792443060459832,0.05041315776225989,0.5248362111743173
2008,10082,33694,69303,6511,162,1395,14374,135521,0.010293607632765402,0.0011953866928372725,0.07439437430361347,0.24862567424974727,0.10606474273359848,0.048044214549774575,0.5113819998376635
2009,10830,34764,68171,6103,179,1368,14959,136374,0.010031237625940428,0.0013125669115813866,0.07941396453869506,0.25491662633639844,0.1096909968175752,0.04475193218648716,0.49988267558332233
2010,10913,32511,65720,5544,138,1312,14735,130873,0.010024986055183269,0.0010544573747067769,0.08338618355199315,0.2484164036890726,0.11259006823408954,0.042361678879524425,0.5021662222154303
2011,10326,34471,70012,5812,162,1213,14129,136125,0.008910927456382002,0.0011900826446280992,0.07585674931129477,0.2532304866850321,0.1037943067033976,0.04269605142332415,0.5143213957759413
2012,10095,31890,70327,5724,173,1247,13835,133291,0.009355470361839884,0.0012979120870876503,0.07573654635346723,0.2392509621804923,0.1037954550569806,0.042943634603986765,0.5276200193561456
2013,9781,30485,70450,5678,159,1423,13621,131597,0.010813316412988138,0.0012082342302636077,0.07432540255476948,0.23165421704142192,0.10350539905924908,0.04314688024802997,0.5353465504532778
2014,10265,24790,68627,5601,165,1763,14243,125454,0.014052959650549205,0.0013152231096656942,0.08182281951950515,0.1976023084158337,0.11353165303617262,0.044645846286288204,0.5470291899819855
2015,11316,22640,68424,5772,181,1931,15526,125790,0.01535098179505525,0.0014389061133635425,0.08995945623658479,0.17998251053342873,0.12342793544796883,0.045886000476985454,0.5439542093966134
2016,11982,23771,66747,7187,217,2214,16461,128579,0.017218985993047078,0.0016876783922724552,0.09318784560464773,0.1848746684917444,0.1280224608995248,0.05589559725927251,0.5191127633594911
2017,12425,21862,63374,7253,258,2053,16671,123896,0.016570349325240524,0.0020823916833473234,0.10028572351004068,0.17645444566410537,0.13455640214373346,0.05854103441596178,0.5115096532575709
