year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,191548,384257,929640,308205,3703,10984,318395,2146732,0.005116614463286521,0.0017249475015977775,0.08922771915637351,0.17899626036226227,0.14831613820448944,0.14356938826085416,0.4330489320511363
1995,186458,353895,902456,280479,3531,10554,305154,2042527,0.005167128757661466,0.0017287409175007233,0.09128789974379775,0.17326331549105592,0.1494002282466768,0.13731960458784634,0.44183308225546103
1996,167614,312212,830457,242466,2916,10244,274996,1840905,0.005564654341207178,0.0015840035200078222,0.09104978257976376,0.16959701885757278,0.14938087516737691,0.13171021861530063,0.4511134469187709
1997,163346,299240,784405,228722,2579,10189,257582,1746063,0.005835413727912452,0.001477037197397803,0.09355103452739105,0.17137984139174817,0.14752159572707285,0.13099298249834054,0.4492420949301371
1998,149148,269012,724262,195517,2171,9782,229883,1579775,0.006192021015650963,0.0013742463325473564,0.09441091294646389,0.17028500894114668,0.1455162918770078,0.12376256112421073,0.4584589577629726
1999,136472,223814,660991,168480,2005,9363,207879,1409004,0.006645119531243347,0.0014229909922186168,0.09685707066835864,0.15884553911841273,0.14753613190594206,0.1195738266179514,0.4691193211658732
2000,138418,222293,651855,182035,2079,9785,210531,1416996,0.006905453508690215,0.001467188333629735,0.09768411484577233,0.15687623677131057,0.14857557819499842,0.1284654296836406,0.4600259986619581
2001,136087,232273,697739,204177,2206,9960,212867,1495309,0.006660830637680908,0.0014752803601128597,0.09100928303113269,0.15533444926767645,0.14235652965373713,0.13654502179817016,0.46661860525148985
2002,130827,238428,715692,222364,2395,10198,208388,1528292,0.006672808599403779,0.0015671089032724113,0.08560340563190803,0.15600945369078684,0.13635352406477297,0.14549837334750165,0.46829532576235433
2003,129380,242274,731486,241326,2407,9994,205551,1562418,0.006396495688093711,0.0015405608486333362,0.08280754574000043,0.155063497732361,0.13155954424488198,0.1544567458900243,0.46817560985600526
2004,124295,245903,728687,252604,2392,9615,198070,1561566,0.006157280576037132,0.001531795646165452,0.07959637953182895,0.15747205049290264,0.12684062024916012,0.16176325560366964,0.46663861790023603
2005,114661,250521,692467,257543,2503,9392,190178,1517265,0.006190085449806065,0.0016496788629540653,0.07557084622659851,0.16511354311870372,0.1253426395520888,0.1697416074317934,0.45639159935805546
2006,111455,246464,666860,242693,2484,9212,194119,1473287,0.00625268532200447,0.001686025872759347,0.07565056910160749,0.16728851880183562,0.1317591209316311,0.16472893604572633,0.45263414392443563
2007,109210,237025,652243,219392,2260,9013,191025,1420168,0.006346432253085551,0.0015913610220762613,0.07689935275263209,0.16689926825558665,0.13450873417792825,0.15448313157316598,0.4592717199655252
2008,104743,237835,650385,192527,2142,8903,185173,1381708,0.006443474308609344,0.001550255191400788,0.07580689986596299,0.17213115940560525,0.1340174624450318,0.1393398605204573,0.47071088826293256
2009,99681,230137,615456,164021,1972,8713,174459,1294439,0.00673110127244312,0.0015234398839960785,0.0770071050084245,0.1777889881253578,0.13477576000105065,0.12671203509783002,0.47546157061089783
2010,95877,228857,600558,152524,1809,8331,164133,1252089,0.006653680369366715,0.0014447854745149905,0.0765736301492945,0.1827801378336524,0.13108732685935265,0.12181562173295987,0.47964481758085886
2011,91197,230090,596963,146848,1792,7663,154944,1229497,0.006232630091818036,0.0014575066063601619,0.07417423548003778,0.18714157090257236,0.126022267642784,0.11943746101047827,0.4855343282659494
2012,94702,245767,635090,168608,1884,7837,160944,1314832,0.0059604573055721186,0.0014328826800686324,0.07202593183007411,0.18691893717220145,0.12240651277121335,0.12823539433174733,0.483019883909123
2013,89029,232058,621557,165292,1746,9714,154129,1273525,0.007627647670834887,0.0013709978210086177,0.0699075400954045,0.18221707465499304,0.12102550008833748,0.129790934610628,0.4880603050587935
2014,91803,202670,592670,151852,1699,11527,153709,1205930,0.009558597928569652,0.001408871161676051,0.07612630915558946,0.16806116441252808,0.12746096373753038,0.12592107336246713,0.49146302024163924
2015,99349,197404,656517,170993,1861,12811,166883,1305818,0.009810708689878682,0.0014251603209635645,0.07608181231994045,0.1511726749056913,0.12779958615978643,0.13094703856126963,0.5027630190424699
2016,104375,188304,637010,176756,1930,13702,174796,1296873,0.010565413884011773,0.0014881950661321502,0.08048205182774258,0.1451984889808023,0.13478266568893021,0.13629399332085718,0.4911891912315238
2017,104454,176690,642033,168391,1830,14721,177627,1285746,0.01144938424852187,0.0014232982253104423,0.08123999608009669,0.13742216580879893,0.1381509256105016,0.13096754724494575,0.4993466827818247
