year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,12944,33843,127600,14365,199,1579,18632,209162,0.007549172411814765,0.0009514156491140838,0.06188504604086784,0.16180281313049216,0.08907927826278196,0.06867882311318499,0.6100534513917442
1995,11194,35001,136184,14520,216,1480,16494,215089,0.0068808725690295645,0.001004235456020531,0.052043572660619555,0.1627279870193269,0.0766845352389011,0.06750693898804681,0.6331518580680555
1996,9763,34436,130576,15206,180,1765,15463,207389,0.008510576742257303,0.0008679341720149092,0.047075785118786434,0.16604545081947453,0.07456036723259189,0.07332115010921506,0.6296187358056599
1997,9063,30994,119801,16107,157,1677,14139,191938,0.008737196386333086,0.0008179724702768602,0.04721837259948525,0.16147922766726755,0.07366441246652565,0.08391772343152476,0.6241650949785869
1998,9704,31231,115871,16087,183,1883,15008,189967,0.009912247916743434,0.0009633252091152674,0.05108255644401396,0.16440223828349135,0.07900319529181384,0.08468312917506725,0.6099533076797549
1999,8891,26979,109228,14795,185,1679,13811,175568,0.009563246149640025,0.0010537227740818372,0.05064134694249522,0.1536669552538048,0.07866467693429327,0.08426934293265287,0.622140709013032
2000,9425,27133,112843,16961,134,1774,14367,182637,0.009713256350027651,0.000733695800960375,0.051605096448145774,0.1485624490108795,0.07866423561490826,0.09286727223946954,0.6178539945356089
2001,9849,28533,121360,20994,158,1930,15492,198316,0.00973194295972085,0.000796708283749168,0.04966316383952883,0.14387643962161398,0.07811775146735513,0.10586135258879768,0.6119526412392343
2002,10058,31678,125193,23183,179,2066,15882,208239,0.009921292361181142,0.0008595892219997215,0.04830027036242011,0.1521232814218278,0.07626813421117082,0.11132880968502538,0.601198622736375
2003,9921,32394,124496,22816,185,1913,15757,207482,0.009220076922335431,0.0008916436124579482,0.047816196103758396,0.15612920638898797,0.0759439373054048,0.10996616573967863,0.6000327739273769
2004,11276,33008,123271,24063,203,1956,17185,210962,0.009271811985096842,0.0009622586058152653,0.053450384429423306,0.15646419734359743,0.08146016818194746,0.11406319621543216,0.5843279832386875
2005,12351,34746,127602,26101,173,2026,18498,221497,0.009146850747414186,0.0007810489532589606,0.055761477582089145,0.15686894179153668,0.08351354645886852,0.11783906779775798,0.5760890666690746
2006,12547,32422,110837,20795,158,2076,18616,197451,0.010514000942005865,0.0008001985302682691,0.06354487948908843,0.1642027642301128,0.09428161923717783,0.10531726858815604,0.5613392689831908
2007,11302,28751,100598,16792,153,1998,16906,176500,0.011320113314447593,0.0008668555240793201,0.06403399433427762,0.16289518413597734,0.09578470254957507,0.09513881019830028,0.5699603399433428
2008,11326,28256,98950,13519,157,2098,16946,171252,0.012250951813701446,0.0009167776142760376,0.06613645388083059,0.16499661317824024,0.09895358886319576,0.07894214374138696,0.5778034709083689
2009,11172,26649,94861,12458,175,2242,16976,164533,0.013626445758601618,0.0010636164173752378,0.06790127208523518,0.16196750803790122,0.10317687029349736,0.07571733330091836,0.576546954106471
2010,10683,26153,97592,11247,120,2198,16133,164126,0.013392149933587609,0.0007311455832713891,0.06509023555073541,0.15934708699413866,0.09829643079097766,0.06852661979211094,0.5946163313551783
2011,10650,25768,96546,11047,149,2278,16383,162821,0.013990824279423416,0.000915115372095737,0.06540925310617181,0.15825968394740236,0.1006196989331843,0.06784751352712488,0.5929579108345975
2012,10353,26157,101021,12092,162,2113,16023,167921,0.012583298098510609,0.0009647393714901651,0.061653992055788136,0.15576967740782868,0.09541987005794392,0.07201005234604367,0.6015983706623949
2013,9963,25081,102443,12533,178,2934,16226,169358,0.017324248042607966,0.0010510279998582883,0.058828044733641165,0.1480945689013805,0.09580887823427296,0.07400299956305577,0.6048902325251834
2014,10325,23472,99464,12574,151,3039,16554,165579,0.018353776747051256,0.000911951394802481,0.062356941399573616,0.14175710687949558,0.09997644628847861,0.07593958171024104,0.6007041955803574
2015,10759,23454,104682,16000,176,3527,17515,176113,0.020026914537825145,0.0009993583665033245,0.06109145832505267,0.1331758586816419,0.09945319198469164,0.09085076059121132,0.594402457513074
2016,11696,23903,108336,19641,189,3635,18983,186383,0.019502851654925612,0.0010140409801323081,0.06275250425199723,0.1282466748576855,0.10184941759709845,0.10537978249089242,0.5812547281672684
2017,12721,22813,106809,21861,221,3858,20638,188921,0.020421234272526612,0.0011698011338072529,0.06733502363421748,0.12075417767214867,0.1092414289570773,0.11571503432651743,0.5653633000037053
