year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,7745,29142,84721,20167,215,806,14916,157712,0.005110581312772649,0.0013632443948463021,0.04910850157248656,0.18477985188191134,0.09457745764431369,0.12787232423658315,0.5371880389570863
1995,7022,29095,87401,17692,150,776,13293,155429,0.004992633292371437,0.0009650708683707674,0.04517818425133019,0.18719157943498319,0.08552458035501741,0.11382689202143743,0.5623210597764896
1996,7025,27574,81328,16022,158,755,13490,146352,0.005158795233409861,0.0010795889362632558,0.04800071061550235,0.1884087679020444,0.09217503006450202,0.10947578441018914,0.555701322838089
1997,6918,24143,78821,14541,124,740,12781,138068,0.005359677839904975,0.0008981081785786714,0.05010574499521975,0.17486311093084567,0.09257032766462903,0.10531766955413274,0.5708853608366892
1998,6751,21801,77472,12705,135,728,11993,131585,0.005532545502906866,0.0010259528061709162,0.051305239958961885,0.16567997872097884,0.09114260744005775,0.09655355853630733,0.5887601170346164
1999,6527,19298,69299,11297,107,654,11342,118524,0.005517869798521818,0.0009027707468529581,0.05506901555803044,0.162819344605312,0.09569369916641356,0.09531402922614829,0.584683270898721
2000,6450,17436,68498,13099,98,678,11058,117317,0.005779213583709096,0.0008353435563473325,0.05497924426979892,0.14862296171910294,0.0942574392458041,0.11165474739381334,0.5838710502314243
2001,6565,17159,65762,12378,105,639,11492,114100,0.005600350569675723,0.0009202453987730061,0.05753724802804557,0.15038562664329536,0.10071866783523226,0.1084837861524978,0.5763540753724803
2002,5914,17111,64735,11580,84,740,10807,110971,0.00666840886357697,0.0007569545196492777,0.05329320272864082,0.15419343792522372,0.09738580349821124,0.10435158735165043,0.5833506051130476
2003,6023,16043,65568,11370,112,698,11045,110859,0.006296286273554695,0.0010102923533497506,0.05433027539487096,0.14471535914991115,0.09963106288167853,0.10256271479988092,0.591454009146754
2004,4995,15570,65451,11025,91,724,10032,107888,0.006710662909684117,0.0008434672994216225,0.046298012753967076,0.14431632804389738,0.0929853181076672,0.10218930742992734,0.6066569034554352
2005,4792,15245,64416,10609,105,712,9542,105421,0.006753872568084158,0.0009960064882708378,0.045455838969465284,0.14461065632084688,0.09051327534362223,0.10063459841966971,0.6110357518900409
2006,4856,14694,62680,10390,108,636,9841,103205,0.006162492127319413,0.001046460927280655,0.04705198391550797,0.14237682282835135,0.0953539072719345,0.10067341698561116,0.6073349159439949
2007,4594,15162,59723,9167,106,658,8965,98375,0.006688691232528589,0.0010775095298602288,0.04669885641677255,0.15412452350698858,0.09113087674714104,0.09318424396442186,0.6070952986022872
2008,5723,15011,62113,8963,123,674,10427,103034,0.006541529980394821,0.0011937806937515772,0.055544771628782734,0.14568977230817012,0.1011996040142089,0.08699070209833647,0.6028398392763554
2009,5760,15073,59632,7476,107,651,10508,99207,0.006562036953037588,0.001078552924692814,0.05806041912365055,0.1519348433074279,0.10591994516515972,0.07535758565423811,0.6010866168717933
2010,5791,15172,56507,6707,130,583,10057,94947,0.006140267728311584,0.0013691849136886894,0.06099192180900924,0.1597944116191138,0.10592225136128577,0.07063940935469262,0.5951425532138983
2011,5276,15679,55218,6712,128,686,9767,93466,0.007339567329296214,0.0013694819506558534,0.05644833415359596,0.16775083987760256,0.10449789228168532,0.07181220978751632,0.5907816746196478
2012,5408,14711,55674,6449,146,919,10160,93467,0.009832347245551905,0.0015620486374870275,0.05785999336664277,0.15739244867172372,0.10870146682786438,0.06899761413119068,0.5956540811195395
2013,4869,12892,51876,6222,86,955,9440,86340,0.011060921936529997,0.0009960620801482511,0.056393328700486446,0.14931665508454944,0.10933518647208709,0.07206393328700486,0.6008339124391939
2014,4495,11955,51005,6110,86,782,8522,82955,0.009426797661382677,0.0010367066481827497,0.054186004460249536,0.14411427882586944,0.10273039599783015,0.07365439093484419,0.6148514254716413
2015,4063,10053,48675,6338,117,773,7845,77864,0.009927566012534675,0.0015026199527381076,0.0521807253673071,0.1291097297852666,0.10075259426692695,0.08139833555943697,0.6251284290557896
2016,4579,10045,47512,7126,79,791,8123,78255,0.010107980320746278,0.0010095201584563286,0.05851383298191809,0.12836240495814963,0.10380167401443997,0.09106127403999745,0.6071433135262922
2017,4428,8890,47310,7309,102,837,8180,77056,0.010862230066445183,0.0013237126245847176,0.05746470099667774,0.11537063953488372,0.10615656146179402,0.0948530938538206,0.613969061461794
