year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,2829,6198,20828,2945,33,546,4621,38000,0.014368421052631579,0.000868421052631579,0.07444736842105264,0.16310526315789473,0.12160526315789473,0.0775,0.5481052631578948
1995,3173,6491,22329,2970,25,575,5198,40761,0.014106621525477784,0.0006133313706729471,0.07784401756581046,0.159245357081524,0.12752385859031917,0.07286376683594613,0.5478030470302495
1996,3056,5830,21665,3148,31,454,4845,39029,0.01163237592559379,0.0007942811755361397,0.07830075072382074,0.14937610494760306,0.12413846114427733,0.08065797227702477,0.5551000538061441
1997,3520,6421,25904,4253,22,428,5753,46301,0.009243860823740308,0.0004751517245847822,0.07602427593356514,0.13867951016176758,0.12425217597892055,0.09185546748450357,0.5594695578929181
1998,3707,6395,24649,3186,21,499,5672,44129,0.011307756803915792,0.0004758775408461556,0.08400371637698566,0.14491604160529356,0.1285322576990188,0.07219742119694532,0.5585669287769948
1999,3489,5245,22634,3043,24,529,5534,40498,0.013062373450540768,0.0005926218578695244,0.08615240258778212,0.12951256852190232,0.13664872339374784,0.07513951306237344,0.558891797125784
2000,3520,5216,21360,3151,25,424,5363,39059,0.010855372641388668,0.0006400573491384829,0.09012007475869838,0.13354156532425304,0.13730510253718733,0.08067282828541437,0.5468649991039197
2001,3269,5144,19476,2779,23,420,4868,35979,0.011673476194446761,0.0006392617916006559,0.09085855638011062,0.14297228939103365,0.1353011478918258,0.07723950081992273,0.5413157675310598
2002,3298,5355,18555,3057,26,358,4836,35485,0.01008876990277582,0.000732703959419473,0.09294067916020854,0.1509088347188953,0.13628293645202197,0.08614907707482035,0.5228969987318586
2003,3693,6066,18933,2944,21,370,5525,37552,0.009853003834682574,0.0005592245419684704,0.09834363016616958,0.16153600340860674,0.1471293140178952,0.0783979548359608,0.5041808691947166
2004,3140,5383,18742,2147,17,345,4720,34494,0.01000173943294486,0.0004928393343769931,0.09103032411433873,0.15605612570302083,0.1368353916623181,0.06224270887690613,0.5433408708760944
2005,3612,5811,18085,2349,37,377,5332,35603,0.010588995309384041,0.0010392382664382216,0.10145212482094206,0.16321658287222987,0.1497626604499621,0.0659775861584698,0.507962812122574
2006,3640,6189,20166,2816,42,400,5817,39070,0.010238034297414897,0.0010749936012285641,0.09316611210647556,0.158407985666752,0.14888661377015613,0.07207576145380087,0.516150499104172
2007,3881,6341,20486,2316,37,336,5960,39357,0.008537236069822395,0.0009401123053078233,0.09861015829458546,0.1611149223772137,0.15143430647661152,0.058845948624132935,0.5205173158523262
2008,3880,6760,22002,2541,57,366,6141,41747,0.008767097036912832,0.0013653675713224903,0.09294081011809231,0.1619278031954392,0.14710039044721776,0.06086664910053417,0.5270318825304813
2009,3585,6932,20809,1907,41,338,5635,39247,0.008612123219609143,0.0010446658343312865,0.09134456136774785,0.17662496496547506,0.14357785308431217,0.04858970112365276,0.5302061304048717
2010,3386,7515,21519,1929,48,312,5575,40284,0.0077450104259755735,0.0011915400655347036,0.08405322212292722,0.18655049151027703,0.13839241386158277,0.0478850163836759,0.5341823056300268
2011,3207,7531,21878,1530,41,289,5075,39551,0.007307021314252484,0.0010366362418143663,0.08108518115850422,0.1904123789537559,0.12831533968799777,0.038684230487219036,0.5531592121564562
2012,3228,7371,21832,1436,57,243,5020,39187,0.006201036057876337,0.0014545640135759307,0.0823742567688264,0.1880980937555822,0.12810370786230127,0.03664480567535152,0.5571235358664863
2013,2904,6131,20916,1332,39,380,4549,36251,0.010482469449118645,0.0010758323908305978,0.08010813494800144,0.1691263689277537,0.12548619348431767,0.036743813963752724,0.5769771868362252
2014,2867,5768,20865,1267,54,386,4576,35783,0.010787245339965905,0.0015090964983371993,0.08012184556912501,0.16119386300757343,0.1278819551183523,0.0354078752480228,0.5830981192186234
2015,3081,4773,19501,1181,63,341,4720,33660,0.010130718954248366,0.0018716577540106951,0.09153297682709448,0.14180035650623887,0.14022578728461083,0.03508615567439097,0.5793523469994059
2016,3121,5023,19791,1530,58,311,4844,34678,0.008968221927446797,0.0016725301343791454,0.0899994232654709,0.14484687698252494,0.13968510294711345,0.04412019147586366,0.5707076532672011
2017,2891,3970,18138,1369,54,334,4361,31117,0.010733682552945335,0.001735385801973198,0.09290741395378732,0.12758299321914066,0.14014847189639104,0.04399524375743163,0.5828968088183308
