year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,8218,10037,29711,8261,399,249,15177,72052,0.003455837450730028,0.005537667240326431,0.11405651473935491,0.1393021706545273,0.21063953811136402,0.11465330594570589,0.4123549658579915
1995,7228,10185,32319,10193,360,292,14744,75321,0.003876740882356846,0.004779543553590632,0.09596261334820302,0.13522125303700164,0.19574886153927856,0.13532746511597032,0.429083522523599
1996,6310,9828,31385,9975,397,260,13411,71566,0.0036330100885895535,0.005547326942961742,0.0881703602269234,0.13732778134868512,0.18739345499259424,0.13938182936031077,0.43854623703993517
1997,5688,6963,26809,7569,301,218,10708,58256,0.0037421038176325186,0.005166849766547652,0.0976380115352925,0.11952416918429003,0.18380939302389454,0.12992653117275474,0.460192941499588
1998,4932,6361,24360,6501,260,190,8988,51592,0.0036827415103116764,0.005039541014110715,0.0955962164676694,0.12329430919522406,0.17421305628779657,0.12600790820282215,0.4721662273220654
1999,4615,5067,21701,6652,241,248,8448,46972,0.005279741122370774,0.005130716171336115,0.09825002128927872,0.10787277527037384,0.17985182662011412,0.14161628204036447,0.461998637486162
2000,4582,4745,21655,6600,239,251,8626,46698,0.005374962525161677,0.005117992205233629,0.09811983382585977,0.10161034733821576,0.18471883164161207,0.14133367596042656,0.46372435650349053
2001,5003,4949,22313,7970,231,181,9195,49842,0.003631475462461378,0.004634645479715902,0.1003771919264877,0.09929376830785282,0.18448296617310703,0.15990530075037118,0.447674651900004
2002,4962,5170,21708,9599,264,262,9322,51287,0.005108507029071695,0.005147503265934837,0.09674966365745706,0.1008052722912239,0.18176146001910815,0.18716243882465342,0.42326515491255096
2003,4597,4671,18119,9906,249,274,9061,46877,0.005845083943085095,0.005311773364336455,0.09806514922029994,0.09964374853339591,0.1932930861616571,0.21131898372336114,0.3865221750538644
2004,3968,3946,14542,8408,198,222,7590,38874,0.005710757832998919,0.0050933786078098476,0.10207336523125997,0.10150743427483665,0.19524617996604415,0.21628852189123837,0.3740803621958121
2005,3971,3577,14836,7720,195,166,8032,38497,0.004312024313582877,0.005065329765955789,0.10315089487492532,0.09291633114268644,0.20863963425721485,0.20053510663168558,0.3853806790139491
2006,4589,3835,15907,7321,169,185,8772,40778,0.004536760017656579,0.004144391583697091,0.11253617146500564,0.09404580901466476,0.21511599391828928,0.17953308156358821,0.39008779243709846
2007,3686,3926,17382,7600,181,192,8320,41287,0.004650374209799695,0.004383946520696587,0.0892774965485504,0.09509046431080001,0.20151621575798678,0.18407731247123793,0.4210041901809286
2008,3707,3788,19958,6465,186,186,8509,42799,0.004345895932147947,0.004345895932147947,0.08661417322834646,0.0885067408117012,0.19881305637982197,0.15105493118998106,0.4663193065258534
2009,3388,3696,19228,5532,144,150,8071,40209,0.0037305080952025668,0.0035812877713944638,0.08425974284364197,0.09191971946579124,0.2007262055758661,0.13758113855107065,0.478201397697033
2010,3360,4231,19489,5036,132,187,8004,40439,0.004624248868666386,0.003264175671999802,0.08308810801454042,0.10462672172902396,0.19792774302035165,0.1245332476075076,0.4819357550879102
2011,3055,3850,21330,4456,108,173,7429,40401,0.004282072225935001,0.0026732011583871684,0.07561694017474815,0.09529467092398702,0.18388158708942848,0.11029429964604837,0.5279572287814658
2012,3504,3519,23556,3661,88,236,7864,42428,0.005562364476289243,0.0020741020081078533,0.08258697086829453,0.08294051098331291,0.18534929763363817,0.08628735740548694,0.5551993966248704
2013,3830,3316,24533,3234,103,395,8406,43817,0.009014765958417966,0.0023506858068786086,0.08740899650820458,0.07567838966611133,0.19184334847205423,0.07380696989752836,0.559896843690805
2014,4125,3466,26898,3783,105,472,8199,47048,0.010032307430709063,0.002231763305560279,0.08767641557558238,0.07366944397211359,0.1742688318313212,0.0804072436660432,0.5717139942186703
2015,4133,2971,25200,3264,162,494,8531,44755,0.011037872863367222,0.003619707295274271,0.09234722377388001,0.06638364428555468,0.19061557367891854,0.07293039883811865,0.5630655792648867
2016,4063,2361,27382,2927,136,533,8214,45616,0.011684496667835846,0.002981410031567871,0.08906962469309014,0.051758155033321644,0.18006839705366537,0.0641660820764644,0.6002718344440547
2017,3791,1809,25333,2587,116,444,6974,41054,0.010815024114580796,0.002825546840746334,0.09234179373508063,0.04406391581819068,0.16987382471866322,0.0630145661811273,0.617065328591611
