year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,105679,237341,626578,127186,1165,7301,160016,1265266,0.0057703281365341355,0.0009207550032957496,0.08352314849209573,0.1875818997744348,0.12646826833250874,0.10052115523534182,0.49521444502578904
1995,101302,215657,612311,111320,1037,6887,151711,1200225,0.00573809077464642,0.0008640046657918307,0.084402507863109,0.17968047657730843,0.12640213293340832,0.0927492761773834,0.5101635110083526
1996,101122,219056,605448,103769,1077,7508,151350,1189330,0.006312797961877696,0.0009055518653359455,0.08502434143593451,0.18418437271404908,0.12725652257993997,0.08724996426559492,0.5090664491772678
1997,100926,213926,594492,107195,1012,7599,149996,1175146,0.006466430554160929,0.0008611695908423293,0.08588379656655429,0.18204206115665628,0.12764031022528263,0.09121845285607065,0.5058877790504329
1998,95447,203105,579752,104250,967,7404,140016,1130941,0.006546760617927903,0.0008550401833517399,0.08439609139645658,0.1795893861837178,0.12380486692055553,0.09217987498905779,0.5126279797089327
1999,89226,181378,534105,93191,859,6990,129044,1034793,0.006754974183242446,0.0008301177143641288,0.08622594084034198,0.17527950034451334,0.12470513426356769,0.09005762505158037,0.51614670760239
2000,90008,172898,518298,89181,903,7057,129777,1008122,0.007000144823741571,0.0008957249221820375,0.08928284473506183,0.1715050360968216,0.12873144321818192,0.08846250751397153,0.5141222986900394
2001,90331,176052,516548,89917,874,6641,130713,1011076,0.006568250062309856,0.0008644256218128014,0.08934145405488805,0.17412340912058044,0.1292810827277079,0.08893198928666095,0.51088938912604
2002,88476,177242,511478,88516,911,6753,128721,1002097,0.006738868592561399,0.0009090936306565133,0.08829085407899634,0.1768711013005727,0.12845163691738423,0.08833077037452462,0.5104076751053042
2003,85106,170644,505489,81563,924,6727,124280,974733,0.006901377095060904,0.0009479519006743385,0.08731211521514097,0.1750674287215063,0.1275015824846394,0.0836772736739189,0.5185922709090592
2004,86199,166332,482484,78325,946,6612,123754,944652,0.006999402954738888,0.0010014269805176932,0.0912494759975102,0.1760775396654006,0.13100485681499643,0.08291413134148871,0.5107531662453475
2005,88341,164783,472912,75303,883,6592,125957,934771,0.007051994552676538,0.0009446163819801856,0.09450549920782737,0.1762816775445537,0.1347463710363287,0.08055769808862277,0.5059121431880107
2006,87044,170873,473774,76437,1129,6475,128795,944527,0.006855283120546051,0.001195307280787103,0.09215617975981628,0.1809085394064966,0.136359257067294,0.08092622021392719,0.5015992131511328
2007,86366,181833,490858,73656,1201,6151,131880,971945,0.006328547397229267,0.0012356666272268493,0.08885893749131896,0.18708157354582822,0.13568669009048867,0.07578206585763597,0.5050265189902721
2008,82852,188467,506958,63509,1168,5972,126265,975191,0.006123928543228968,0.001197714088829778,0.08495976685592874,0.19326162772215905,0.1294771998511061,0.06512467813997463,0.5198550847987727
2009,76112,181884,479867,50259,1017,5501,113541,908181,0.006057162614060413,0.0011198208286674132,0.08380708250888314,0.20027285309866646,0.12502023275096044,0.05534029009635744,0.5283825581024046
2010,69523,169119,458454,41462,987,5373,101969,846887,0.0063444119463399486,0.0011654447405616097,0.0820924161074618,0.1996948825522177,0.12040449316142532,0.048958125464200065,0.5413402260277935
2011,66319,170171,461408,39621,984,5274,98199,841976,0.006263836498902582,0.001168679392286716,0.07876590306612065,0.20210908624473856,0.11662921508451547,0.04705716077417884,0.5480061189392572
2012,63929,153563,442095,37330,1009,5260,94087,797273,0.006597489191280778,0.0012655639912551911,0.08018457918429446,0.19261031039556087,0.11801102006464537,0.04682210484990712,0.5545089323230562
2013,61054,138916,433344,34912,972,6760,91986,767944,0.008802725198712407,0.0012657172918858666,0.07950319294115196,0.18089339847697228,0.11978217161668038,0.04546164824518455,0.5642911462294126
2014,61404,120963,424999,36111,981,8104,91065,743627,0.010897936734411204,0.0013192097651107343,0.08257365587855202,0.16266622917134532,0.1224605884401723,0.04856063591020767,0.5715217441002007
2015,63895,109268,420341,40661,1041,7553,93626,736385,0.010256862918174596,0.001413662690033067,0.08676847029746668,0.14838433699763032,0.1271427310442228,0.055217039999456805,0.5708168960530158
2016,59816,100325,410352,43135,1111,7598,88700,711037,0.01068580116083973,0.0015625065924839354,0.08412501740415759,0.14109673617547328,0.12474737601559413,0.060664916171732274,0.5771176464797191
2017,58031,88853,395453,42914,1057,7940,85625,679873,0.011678651748194147,0.0015547021281915887,0.0853556473047172,0.13069058485923107,0.12594263928704333,0.06312061223199039,0.5816571624406323
