year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,28249,81406,256208,39312,703,2448,47103,455429,0.0053751517799700945,0.0015435995511923922,0.06202723146747353,0.17874575400336826,0.1034255613937628,0.08631861387834328,0.5625640879258896
1995,29318,76324,264872,43809,683,2539,47317,464862,0.0054618359857334,0.0014692532407467162,0.06306817937366359,0.1641863606833856,0.10178719706063305,0.09424087148444055,0.5697863021713971
1996,28879,81968,288803,46215,630,2357,46966,495818,0.004753760452424075,0.0012706275286496255,0.058245162539480214,0.16531872582278176,0.09472427382628303,0.09320960513736895,0.5824778446930123
1997,27044,81320,262263,44572,563,2328,45408,463498,0.005022675394500084,0.0012146762229826235,0.05834760883542108,0.1754484377494617,0.09796806027210474,0.09616438474383925,0.5658341567816906
1998,26514,75720,255459,42538,618,2322,43762,446933,0.005195409602781625,0.0013827575945387788,0.05932432825501809,0.16942136740853775,0.0979162424792978,0.09517757695225011,0.5715823177075758
1999,25721,71429,247834,40120,583,2319,41585,429591,0.005398157782635111,0.0013571047810591935,0.05987322825664411,0.16627210532809114,0.09680137619270422,0.09339115577374758,0.5769068718851187
2000,25450,68488,240440,38702,651,1968,41319,417018,0.004719220753061019,0.001561083694229026,0.061028540734452706,0.16423271897136335,0.09908205401205704,0.09280654552081685,0.57656983631402
2001,24491,71799,238484,37589,598,2180,41671,416812,0.005230175714710709,0.0014346995767876166,0.05875790524265136,0.17225751657821753,0.09997552853564677,0.09018214446800955,0.5721620298839765
2002,23125,73932,234591,38036,606,2108,39271,411669,0.005120618749529355,0.00147205643368823,0.05617377067498403,0.17959088490996408,0.09539460100226152,0.09239461800621374,0.5698534502233591
2003,22501,79001,247196,43392,657,2234,39435,434416,0.005142536186512467,0.0015123752347979817,0.051795974365585064,0.18185564067621818,0.09077704320282863,0.09988582372656624,0.5690306066074914
2004,23561,82992,249426,44238,613,2387,40217,443434,0.005382988223726642,0.0013823928701903777,0.05313304798459297,0.18715750258212044,0.09069444381802026,0.09976230961090038,0.5624873149104489
2005,23977,84463,249594,44477,564,2143,40725,445943,0.0048055468972492,0.0012647356276474797,0.05376696124841067,0.18940312999643452,0.0913233305601837,0.099736961898718,0.5596993337713564
2006,25824,85117,235903,43163,600,2173,44106,436886,0.004973837568610575,0.0013733559784474669,0.05910924131237897,0.19482656802918838,0.1009553979756733,0.09879694016288001,0.5399646589728213
2007,26839,90690,239058,42594,718,2178,47075,449152,0.004849137931034483,0.0015985679680820747,0.059754826873753206,0.2019138287261328,0.10480861712738672,0.09483203904246224,0.5322429823311485
2008,26196,100629,248678,39628,636,2195,46384,464346,0.004727078514728242,0.001369668307684356,0.056414828597640555,0.21671124549366205,0.09989102953401127,0.08534153411464726,0.5355446154376262
2009,24410,98362,228893,33145,566,2301,41880,429557,0.005356681418298387,0.0013176365418326322,0.056825985841227125,0.22898474474865965,0.09749579217659123,0.07716088900890918,0.5328582702644817
2010,24048,96723,225651,30305,558,2093,39072,418450,0.005001792328832596,0.0013334926514517863,0.05746923168837376,0.23114589556697335,0.09337316286294658,0.07242203369578205,0.5392543912056399
2011,21879,95657,230820,29475,554,2053,36634,417072,0.004922411478114091,0.0013283078221506118,0.052458568304753136,0.2293536847354893,0.08783615299037097,0.07067125100702037,0.5534296236621015
2012,22423,86789,223004,28536,581,2124,37591,401048,0.0052961241547146475,0.0014487043944864456,0.05591101314555864,0.21640551754403464,0.09373192236340787,0.07115357762661827,0.5560531407711795
2013,20915,82258,225315,26826,556,2582,36541,394993,0.006536824703222589,0.0014076198818713244,0.05295030544845099,0.20825179180390538,0.09251050018607924,0.06791512760985638,0.570427830366614
2014,22052,76428,228034,26854,580,3048,38097,395093,0.007714639338079895,0.001468008797928589,0.05581470691710559,0.1934430627725624,0.09642539857704388,0.06796880734409366,0.577165376253186
2015,22557,66374,215867,26482,615,3224,38643,373762,0.008625810007437888,0.0016454321199051802,0.060351239558863665,0.17758359597818932,0.10338932261706647,0.07085257463305526,0.5775520250854822
2016,24595,63344,219625,26463,682,3381,40990,379080,0.008918961696739475,0.0017990925398332805,0.06488076395483802,0.16709929302521895,0.10813020998206184,0.06980848369737258,0.5793631951039359
2017,23793,55374,216661,26263,703,2718,37258,362770,0.007492350525126113,0.0019378669680513824,0.06558701105383577,0.15264216996995342,0.10270419273920114,0.07239573283347575,0.5972406759103565
