year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,1461,14029,55260,6383,50,359,3091,80633,0.004452271402527501,0.0006200935101013233,0.018119132365160665,0.1739858370642293,0.0383341807944638,0.07916113749953493,0.6853273473639825
1995,1564,13832,59907,8199,56,336,3509,87403,0.0038442616386165237,0.0006407102731027539,0.01789412262736977,0.1582554374563802,0.04014736336281363,0.09380684873516927,0.6854112559065478
1996,1350,12781,54701,7157,40,326,3322,79677,0.004091519510021712,0.0005020269337449954,0.016943409013893594,0.16041015600486966,0.04169333684752187,0.0898251691203233,0.6865343825696248
1997,1478,12741,48984,6468,47,371,3299,73388,0.005055322396032048,0.000640431678203521,0.020139532348612852,0.1736114896168311,0.044952853327519485,0.08813429988553988,0.6674660707472612
1998,1345,11169,43914,5594,24,352,2946,65344,0.0053868756121449556,0.0003672869735553379,0.02058337414299706,0.1709261753183154,0.045084476003917726,0.08560847208619,0.6720433398628796
1999,1343,9421,40458,4660,44,354,2785,59065,0.005993397104884449,0.0007449420130364853,0.022737661897909083,0.15950224329128926,0.047151443325150255,0.0788961313806823,0.6849741809870482
2000,1450,10665,43254,6114,35,346,2954,64818,0.005338023388564905,0.0005399734641611898,0.022370329229535007,0.1645376284365454,0.04557376037520442,0.09432565028232898,0.66731463482366
2001,1534,11162,44925,6743,32,409,3117,67922,0.006021613026707106,0.0004711286475663261,0.022584729542710756,0.1643355613792291,0.04589087482700745,0.09927563970436677,0.6614204528724125
2002,1656,12722,49344,9910,24,372,3262,77290,0.004813041790658558,0.000310518825203778,0.02142579893906068,0.16460085392676932,0.04220468365894682,0.12821839824039333,0.6384267046189676
2003,1843,11409,44807,9651,22,367,3400,71499,0.005132938922222688,0.0003076966111414146,0.02577658428789214,0.15956866529601813,0.04755311263094589,0.13498090882389963,0.6266800934278801
2004,1903,10827,41078,8620,33,333,3213,66007,0.005044919478237157,0.0004999469753207993,0.02883027557683276,0.16402805763025133,0.048676655506234186,0.13059220991713,0.6223279349159938
2005,1885,9792,42188,9135,24,343,3253,66620,0.0051486040228159715,0.0003602521765235665,0.028294806364455118,0.14698288802161513,0.048829180426298406,0.1371209846892825,0.6332632842990094
2006,2096,8709,37910,7763,21,355,3615,60469,0.005870776761646463,0.00034728538590021333,0.03466238899270701,0.14402421075261704,0.05978269857282244,0.12837983098777886,0.626932808546528
2007,2048,9097,38416,6715,22,326,3501,60125,0.005422037422037422,0.0003659043659043659,0.03406237006237006,0.1513014553014553,0.058228690228690226,0.11168399168399168,0.638935550935551
2008,2036,9379,31492,5133,25,365,3512,51942,0.007027068653498132,0.00048130607215740633,0.03919756651649917,0.18056678603057255,0.06761387701667244,0.09882176273535867,0.6062916329752416
2009,2111,9178,33422,4819,22,392,3559,53503,0.0073266919611984374,0.00041119189578154496,0.03945573145431097,0.17154178270377363,0.06651963441302357,0.09006971571687569,0.6246752518550361
2010,2131,8663,31320,5100,24,365,3574,51177,0.007132110127596381,0.0004689606659241456,0.04163979912851476,0.16927526037086973,0.06983605916720402,0.09965414150888094,0.61199366903101
2011,2456,10008,31697,4184,17,434,3949,52745,0.008228268082282681,0.00032230543179448287,0.04656365532277941,0.18974310361171676,0.0748696558915537,0.07932505450753626,0.6009479571523367
2012,1976,7979,31233,3605,29,285,3330,48437,0.005883931705101472,0.0005987158577120796,0.04079525982203687,0.16472944236843734,0.06874909676486983,0.07442657472593266,0.6448169787559097
2013,1996,7533,31658,3684,21,385,3533,48810,0.007887727924605613,0.00043023970497848803,0.04089325957795534,0.15433312845728334,0.07238270846138087,0.07547633681622619,0.6485965990575702
2014,2102,7778,31640,3879,26,445,3680,49550,0.008980827447023209,0.0005247225025227044,0.042421796165489405,0.15697275479313824,0.07426841574167507,0.078284561049445,0.6385469223007063
2015,2418,6557,42010,5779,19,561,4201,61545,0.009115281501340482,0.00030871719879762774,0.039288325615403366,0.10653993013242342,0.06825899748151759,0.09389877325534161,0.6825899748151759
2016,2769,6017,31082,5499,35,601,4417,50420,0.011919873066243553,0.0006941689805632685,0.054918683062276874,0.11933756445854819,0.08760412534708449,0.10906386354621182,0.6164617215390717
2017,1894,5549,29574,5269,39,567,3577,46469,0.012201682842324991,0.0008392691902128301,0.040758355032387186,0.11941294196130754,0.0769760485484947,0.11338741957003594,0.6364242828552368
