year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,2673,8147,32597,2210,40,316,3238,49221,0.006420023973507243,0.0008126612624692713,0.05430608886450905,0.1655187826334288,0.06578492919688751,0.04489953475142724,0.6622579793177709
1995,3088,9069,35560,2815,48,330,3745,54655,0.006037873936510841,0.0008782362089470313,0.05649986277559235,0.16593175372792973,0.06852072088555484,0.05150489433720611,0.650626658128259
1996,2580,8431,33872,2229,43,313,3177,50645,0.0061802744594728004,0.0008490472899595221,0.05094283739757133,0.1664725046895054,0.06273077302793958,0.04401224207720407,0.6688123210583473
1997,2481,9175,32784,2429,39,350,3107,50365,0.006949270326615705,0.0007743472649657501,0.04926039908666733,0.1821701578477117,0.06168966544227142,0.048227936066712995,0.6509282239650551
1998,2782,8518,31385,2282,36,386,3468,48857,0.007900607896514318,0.0007368442597785374,0.05694168696399697,0.17434553902204392,0.0709826636919991,0.046707738911517284,0.6423849192541499
1999,2401,7641,26824,1898,25,417,3066,42272,0.009864685844057532,0.0005914080242240727,0.05679882664647994,0.18075794852384558,0.07253028009084027,0.0448996971990916,0.634557153671461
2000,2644,7330,28545,2086,16,384,3267,44272,0.008673653776653415,0.0003614022406938923,0.059721720274665706,0.1655674015178894,0.07379382002168414,0.04711781713046621,0.6447641850379472
2001,2511,7507,28285,2389,30,425,3211,44358,0.009581135308174398,0.0006763154335181928,0.05660760178547274,0.1692366653140358,0.07238829523423058,0.053857252355832094,0.6376527345687362
2002,2646,7441,29060,2627,36,497,3419,45726,0.010869089795739842,0.0007872982548222018,0.057866421729431836,0.16273017539255566,0.07477146481214189,0.05745090320605345,0.6355246468092551
2003,2556,7837,29559,2646,26,535,3362,46521,0.011500182713183293,0.0005588873841920853,0.05494292899980654,0.16846155499666818,0.07226843790976119,0.056877539175856064,0.6353904688205326
2004,2572,7626,28583,2724,30,570,3412,45517,0.012522793681481644,0.0006590944042885076,0.056506360261001386,0.16754179757013862,0.0749610035810796,0.05984577190939649,0.6279631785926137
2005,2792,8066,27606,2884,35,577,3670,45630,0.01264518956826649,0.0007670392285776902,0.06118781503396888,0.17676966907736139,0.0804295419680035,0.06320403243480166,0.6049967126890203
2006,2701,7526,25516,2429,36,587,3625,42420,0.013837812352663837,0.0008486562942008486,0.06367279585101367,0.17741631305987743,0.08545497406883545,0.05726072607260726,0.6015087223008015
2007,2729,6977,24482,2226,49,578,3589,40630,0.014225941422594143,0.0012060054147181886,0.06716711789318237,0.1717204036426286,0.0883337435392567,0.054787103125769135,0.6025596849618509
2008,2668,6701,23650,1668,23,551,3483,38744,0.014221556886227544,0.0005936403055957051,0.0688622754491018,0.17295581251290523,0.08989779062564526,0.04305182737972331,0.6104170968408011
2009,2711,6558,22741,1442,22,552,3530,37556,0.014698050910640111,0.0005857918841197145,0.07218553626584301,0.1746192352753222,0.09399297049739057,0.03839599531366493,0.6055224198530195
2010,2705,6502,23462,1322,21,525,3465,38002,0.013815062365138677,0.0005526024946055471,0.07118046418609547,0.1710962580916794,0.09117941160991527,0.034787642755644436,0.6173885584969212
2011,2529,6920,24534,1333,36,435,3184,38971,0.011162146211285315,0.0009237638243822329,0.06489440866285186,0.17756793513125144,0.08170177824536194,0.03420492160837546,0.6295450463164918
2012,2567,7186,23101,1364,29,479,3318,38044,0.012590684470612975,0.0007622752602250027,0.06747450320681317,0.18888655241299548,0.08721480391126064,0.03585322258437599,0.6072179581537167
2013,2596,6640,21879,1536,27,655,3498,36831,0.01778393201379273,0.0007330781135456545,0.07048410306535256,0.18028291384974615,0.0949743422660259,0.04170399934837501,0.594037631343162
2014,2623,6428,22227,1661,32,609,3468,37048,0.016438134312243575,0.0008637443316778234,0.07080004318721658,0.17350464262578277,0.09360829194558411,0.044833729216152016,0.5999514143813431
2015,2650,6124,20863,1871,32,694,3568,35802,0.01938439193341154,0.0008938048153734428,0.07401821127311324,0.17105189654209263,0.09965923691413887,0.052259650298865985,0.5827328082230043
2016,2895,6318,20962,2077,49,719,3876,36896,0.019487207285342586,0.0013280572419774501,0.07846379011274934,0.17123807458803122,0.1050520381613183,0.056293365134431915,0.5681374674761491
2017,2953,5655,20278,2146,32,707,3888,35659,0.01982669171878067,0.0008973891584172299,0.08281219327518999,0.15858549033904484,0.10903278274769343,0.06018116043635548,0.5686642923245183
