year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,63849,118116,363888,66218,1378,3913,112928,730290,0.0053581453942954166,0.0018869216338714757,0.08742965123444112,0.161738487450191,0.15463446028290131,0.09067356803461639,0.4982787659696833
1995,73163,108555,357143,61874,1221,4313,117836,724105,0.005956318489721795,0.001686219539983842,0.10103921392615711,0.1499161033275561,0.16273330525269125,0.08544893351102395,0.49321990595286597
1996,66649,108185,358515,58077,1179,4548,105482,702635,0.006472777473368108,0.0016779693582016266,0.09485579283696371,0.1539704113800195,0.15012346381834096,0.08265600204942822,0.5102435830836779
1997,63842,103550,350140,55423,1096,4415,102476,680942,0.006483665275456647,0.001609535026478026,0.09375541529234502,0.1520687518173354,0.15049152497569543,0.08139166037636099,0.5141994472363285
1998,62261,97792,337191,52932,1008,4095,97291,652570,0.006275188868627121,0.001544661875354368,0.09540892164825229,0.14985672035183964,0.14908898662212483,0.08111313728795379,0.5167123833458479
1999,52020,86317,320954,56668,939,4297,83621,604816,0.007104640088886538,0.0015525382926377608,0.08600962937488427,0.1427161318483638,0.1382585778154017,0.09369461125367054,0.5306638713261554
2000,50731,81850,313161,50267,898,3926,81196,582029,0.006745368357934055,0.0015428784476374888,0.08716232352683458,0.1406287315580495,0.13950507620754293,0.08636511239130697,0.5380505095106944
2001,49347,79158,306757,48733,982,4010,79270,568257,0.007056666261920223,0.0017280913389540295,0.0868392294331614,0.13929964787059376,0.1394967417911262,0.08575873240452823,0.5398208908997162
2002,45114,81440,304227,44812,961,4370,75759,556683,0.007850069069829688,0.0017262966535712425,0.08104073593050264,0.14629510870639126,0.13609001891561265,0.08049823687807962,0.5464995338460129
2003,41506,78345,295907,41633,895,4189,70376,532851,0.007861484730252923,0.0016796440280678838,0.07789419556311239,0.14702984511617695,0.13207444482603956,0.0781325361123466,0.5553278496240037
2004,41502,75944,288771,40355,776,4216,69026,520590,0.00809850362089168,0.0014906164159895503,0.07972108569123494,0.14588063543287424,0.13259186692022512,0.07751781632378647,0.554699475594998
2005,42158,77635,277662,39373,770,4313,70496,512407,0.008417137158547795,0.0015027117115886395,0.08227444199630372,0.15151042042751173,0.13757813613006847,0.07683930937711624,0.5418778431988635
2006,40858,77259,272578,37641,780,4078,69498,502692,0.008112323251613315,0.0015516459382683631,0.08127839710995997,0.15369053018548137,0.13825165309971116,0.0748788522594352,0.5422365981555306
2007,40573,75524,267911,33887,752,4103,68528,491278,0.008351686824974862,0.001530701557977357,0.08258664137209482,0.15372966019239614,0.1394892504854685,0.06897723895635464,0.5453348206107337
2008,38818,78968,266815,32572,790,4118,67780,489861,0.008406466324120516,0.0016127023788380785,0.07924288726802092,0.16120491323048783,0.13836578131347463,0.06649233149811885,0.5446749179869391
2009,36588,77850,248821,26676,773,3901,64185,458794,0.008502726713950052,0.0016848520250918712,0.07974820943604319,0.16968399761112832,0.13989938839653526,0.05814374207160512,0.5423370837456462
2010,32042,75399,239794,28796,706,3033,55835,435605,0.006962729996212165,0.0016207343809184927,0.07355746605296082,0.173090299698121,0.1281780512161247,0.06610576095315711,0.5504849577025057
2011,30564,77746,239510,28769,721,3708,55247,436265,0.008499421223339026,0.0016526652378714773,0.07005833610305663,0.17820819914501507,0.12663633342120043,0.06594386439434748,0.5490011804751699
2012,29618,71101,235222,25690,744,3570,53403,419348,0.008513215753979987,0.0017741827789807033,0.07062869025248719,0.16955130345202551,0.12734769213159478,0.061261768268836385,0.5609231473620955
2013,26283,58237,213813,20933,706,4263,48974,373209,0.011422554118469812,0.0018917014327092861,0.07042434667974246,0.15604393248823045,0.13122405944122462,0.056089215426208906,0.5729041904134144
2014,27520,50008,199926,17451,685,4159,47663,347412,0.011971376924228293,0.0019717223354403417,0.07921430462966161,0.14394436576744615,0.1371944549986759,0.050231425512072124,0.5754723498324755
2015,28879,46443,191634,17652,744,4821,49354,339527,0.014199165309386294,0.0021912837565201,0.08505656398460211,0.1367873541721277,0.14536104639689923,0.051989974287759144,0.5644146120927055
2016,32065,47989,194407,19867,1061,5003,55854,356246,0.014043666455202304,0.0029782790543613122,0.09000802816031618,0.1347074774172903,0.15678491828680183,0.05576764370687671,0.5457099869191514
2017,32060,43459,193157,20881,997,5556,56180,352290,0.015771097675210764,0.002830054784410571,0.0910045700984984,0.12336143518124272,0.15947089045956456,0.059272190524851685,0.5482897612762213
