year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,20216,48921,160043,25011,453,2046,30205,286895,0.007131528956586905,0.0015789748862824378,0.07046480419665731,0.17051883093117692,0.10528242039770648,0.08717823593997805,0.5578452046916119
1995,20211,47676,163618,27023,466,1930,30451,291375,0.006623766623766624,0.0015993135993135994,0.06936422136422137,0.1636241956241956,0.10450793650793651,0.09274302874302874,0.5615375375375375
1996,21705,45782,160777,24817,420,1992,31366,286859,0.006944178150241059,0.0014641339473399823,0.07566435077860552,0.15959757232647398,0.10934291760063307,0.0865128861217532,0.5604739610749532
1997,20058,48182,158442,25099,430,1928,30179,284318,0.006781139428386525,0.0015123910550862063,0.07054776693702122,0.16946517631665953,0.10614523174755028,0.08827791416653184,0.5572703803487644
1998,16456,46552,152790,21187,454,1952,25423,264814,0.007371211491839555,0.0017144108695159622,0.06214172966686051,0.17579131012710808,0.09600323245749848,0.08000709932254337,0.576971006064634
1999,13767,42463,138794,20290,391,1607,22261,239573,0.006707767569801271,0.0016320703919055987,0.057464739348757995,0.17724451419817758,0.09291948591869702,0.08469234846998619,0.5793390741026744
2000,12837,41108,144707,21090,352,1759,21230,243083,0.0072362114997757965,0.00144806506419618,0.052809122809904435,0.16911096209936524,0.0873364241843321,0.08676048921561771,0.5952987251268086
2001,13434,42758,147291,21499,413,1716,22734,249845,0.006868258320158498,0.0016530248754227622,0.05376933698893314,0.1711381056254878,0.09099241529748445,0.08604935059737037,0.589529508295143
2002,13184,42605,146073,20287,362,1843,22001,246355,0.007481074059791764,0.001469424204907552,0.05351626717541759,0.17294148687869132,0.0893060826855554,0.08234864321812019,0.5929370217775162
2003,13383,41582,145686,20771,338,1720,21842,245322,0.007011193451871418,0.001377781038797988,0.054552791840927435,0.16949967797425425,0.08903400428824158,0.0846683134818728,0.5938562379240345
2004,11802,42168,148670,21091,316,1803,20294,246144,0.007324980499219969,0.001283801352054082,0.047947542901716066,0.17131435257410296,0.08244767290691628,0.08568561492459699,0.6039960348413936
2005,11281,43756,151278,21744,356,1856,20302,250573,0.007407023103047815,0.0014207436555414988,0.0450208122982125,0.17462376233672422,0.08102229689551547,0.08677710687105154,0.6037282548399069
2006,10429,46168,153093,21866,369,1835,19876,253636,0.007234777397530319,0.0014548407954706746,0.04111798009746251,0.18202463372707345,0.07836427005630116,0.0862101594410888,0.6035933384850731
2007,11195,46919,149050,19557,356,1742,21165,249984,0.006968445980542755,0.0014240911418330773,0.04478286610343062,0.1876880120327701,0.08466541858678955,0.0782330069124424,0.5962381592421915
2008,11704,48645,146615,17455,327,1720,21283,247749,0.006942510363311254,0.001319884237676035,0.0472413612163924,0.19634791664143952,0.08590549305950781,0.07045437115790579,0.5917884633237672
2009,12102,48910,137371,13879,310,1640,21404,235616,0.006960478066005704,0.0013157001222327855,0.05136323509439087,0.20758352573679206,0.09084272714925981,0.05890516773054461,0.5830291661007742
2010,12117,47115,137027,13118,292,1761,20389,231819,0.007596443777257256,0.001259603397478205,0.05226922728508017,0.20324045915132063,0.0879522385999422,0.05658725126068183,0.5910947765282397
2011,12579,50551,140688,14816,312,1757,21626,242329,0.007250473529788016,0.0012875058288525105,0.05190876865748631,0.20860483062283094,0.0892423110729628,0.061140020385508954,0.5805660899025705
2012,14027,47612,136759,13661,310,1667,22602,236638,0.007044515251143096,0.0013100178331459868,0.059276194017866955,0.201201835715312,0.0955129776282761,0.05772952780195911,0.5779249317522968
2013,13882,42909,130423,14204,355,2142,23487,227402,0.009419442221264545,0.0015611120394719484,0.06104607699140729,0.1886922718357798,0.10328405203120465,0.06246207157368889,0.5735349733071828
2014,14686,36893,124022,13861,330,2186,24099,216077,0.010116763931376315,0.0015272333473715389,0.067966511937874,0.1707400602562975,0.11152968617668702,0.06414842856944515,0.5739713157809485
2015,15765,34410,123918,13519,373,2404,25653,216042,0.0111274659556938,0.0017265161403801112,0.07297192212625322,0.15927458549726442,0.11874080039992224,0.06257579544718157,0.5735829144333047
2016,16575,34097,122931,14439,431,2449,26845,217767,0.011245964723764391,0.0019791795818466526,0.07611346071718855,0.15657560603764575,0.12327395794587793,0.06630481202386036,0.5645070189698164
2017,16976,30140,115591,15401,397,2625,26598,207728,0.0126367172456289,0.001911153046291304,0.08172225217592236,0.1450935839174305,0.12804244011399524,0.07414022182854502,0.5564536316721868
