year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,6874,18872,70507,5096,47,666,8914,110976,0.006001297577854671,0.00042351499423298733,0.06194132064590542,0.17005478662053056,0.0803236735870819,0.04591983852364475,0.6353355680507498
1995,7894,21527,78645,6332,51,619,10071,125139,0.004946499492564269,0.00040754680794956007,0.0630818529794868,0.1720247085241212,0.08047850789921607,0.050599733096796363,0.6284611511998658
1996,5871,18954,71893,5449,53,561,7771,110552,0.005074535060424054,0.00047941240321296765,0.05310623055213836,0.17144873000940733,0.07029271293147116,0.049289022360518124,0.650309356682828
1997,6617,22003,71301,6682,52,579,8841,116075,0.004988154210639672,0.00044798621580874435,0.05700624596166272,0.18955847512384236,0.07616627180702132,0.05756622873142365,0.6142666379496016
1998,6678,19282,66016,5974,54,728,8916,107648,0.006762782401902497,0.0005016349583828775,0.06203552318668252,0.1791208382877527,0.08282550535077289,0.05549568965517242,0.6132580261593341
1999,6160,17012,62316,5135,43,780,8034,99480,0.007840772014475271,0.0004322476879774829,0.06192199437072778,0.17100924809006834,0.0807599517490953,0.0516184157619622,0.6264173703256936
2000,6003,16342,65118,5374,46,676,7796,101355,0.006669626560110503,0.0004538503280548567,0.0592274678111588,0.16123526219722756,0.07691776429381876,0.053021557890582605,0.642474470919047
2001,6012,16885,66244,5505,50,649,7865,103210,0.00628815037302587,0.0004844491812808836,0.058250169557213446,0.1635984885185544,0.07620385621548299,0.053337854859025285,0.6418370312954171
2002,6378,18643,68411,5823,44,797,8388,108484,0.007346705504959257,0.0004055897643892187,0.05879207993805538,0.1718502267615501,0.07732015781129015,0.05367611813723683,0.6306091220825191
2003,6198,17515,64400,5639,50,796,8175,102773,0.007745224913158125,0.0004865091025853094,0.06030766835647495,0.17042413863563388,0.07954423827269808,0.05486849658957119,0.6266237241298784
2004,6043,18174,62258,5404,46,790,8003,100718,0.00784368236065053,0.00045672074505053714,0.05999920570305209,0.18044440914235788,0.07945948092694453,0.05365475883158919,0.6181417422903552
2005,6657,18147,60723,5500,40,847,8697,100611,0.008418562582620191,0.0003975708421544364,0.06616572740555207,0.18036795181441392,0.08644184035542833,0.054665990796235006,0.603542356203596
2006,6274,18017,60556,5006,55,828,8455,99191,0.008347531530078334,0.0005544857900414352,0.06325170630399936,0.18163946325775523,0.085239588269097,0.05046828845358954,0.6104989363954391
2007,6551,16941,56328,4885,37,904,8805,94451,0.009571100358916264,0.0003917375146901568,0.06935871510095182,0.17936284422610665,0.09322294099586029,0.05171993943949773,0.5963727223639771
2008,6308,16450,51907,4332,76,888,8520,88481,0.010036052937918875,0.0008589414676597236,0.07129214181575705,0.18591562030266384,0.09629185926922164,0.048959663656604244,0.5866457205501746
2009,6315,16224,49329,3888,34,853,8397,85040,0.01003057384760113,0.0003998118532455315,0.07425917215428034,0.19078080903104422,0.098741768579492,0.04571966133584196,0.5800682031984948
2010,6447,16656,47883,3776,39,836,8333,83970,0.009955936644039537,0.0004644515898535191,0.07677742050732404,0.198356555912826,0.09923782303203525,0.04496844110992021,0.5702393712040015
2011,6121,17400,50025,3936,46,834,7826,86188,0.009676521093423679,0.0005337169907643755,0.0710191674014944,0.2018842530282638,0.09080150368960876,0.04566761034018657,0.5804172274562585
2012,6234,17096,48720,4023,45,871,8112,85101,0.010234897357257846,0.0005287834455529313,0.07325413332393274,0.20089070633717582,0.09532202911834174,0.04727324003243205,0.5724962103853068
2013,6323,15868,47686,4246,43,1083,8388,83637,0.012948814519889523,0.0005141265229503688,0.0756005117352368,0.1897246433994524,0.10029054126762078,0.05076700503365735,0.5701543575211928
2014,6264,14428,46477,4151,60,1128,8497,81005,0.01392506635392877,0.0007406950188259984,0.07732855996543424,0.17811246219369176,0.1048947595827418,0.05124375038577866,0.5737547064995988
2015,6661,14892,44723,4342,72,1156,8936,80782,0.014310118590775172,0.0008912876630932634,0.0824564878314476,0.18434799831645662,0.11061870218613057,0.05374959768265208,0.5536258077294447
2016,6644,15030,45378,5002,73,1278,9110,82515,0.015488093073986547,0.0008846876325516573,0.0805186935708659,0.18214870023632068,0.11040416893898079,0.06061928134278616,0.5499363752045082
2017,6639,15078,46198,5579,104,1234,9230,84062,0.01467964121719683,0.001237182079893412,0.07897742142704195,0.17936760962146986,0.10979990959054031,0.0663676809973591,0.5495705550664985
