year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,7149,28635,75459,8383,170,1055,11314,132165,0.007982446184693376,0.0012862709491922974,0.05409147656338668,0.2166609919418908,0.08560511481859796,0.06342829039458253,0.5709454091476563
1995,6920,27404,78855,8299,159,938,10792,133367,0.007033224110911995,0.0011921989697601355,0.051886898558114077,0.20547811677551417,0.08091956780912819,0.062226787736096634,0.5912632060404748
1996,6900,25239,78145,6388,170,1096,10642,128580,0.008523876186032042,0.0013221340799502255,0.053663089127391504,0.19629024731684555,0.08276559340488412,0.04968113236895318,0.6077539275159434
1997,7287,24292,91823,6438,150,1179,11151,142320,0.008284148397976391,0.0010539629005059021,0.05120151770657673,0.1706857785272625,0.07835160202360877,0.04523608768971332,0.6451869027543564
1998,7384,24984,85329,6801,173,1128,10972,136771,0.008247362379451784,0.0012648880245081193,0.05398805302293615,0.18267030291509165,0.08022168442140512,0.0497254534952585,0.6238822557413487
1999,6887,21874,79722,6048,160,1065,10159,125915,0.008458086804590398,0.0012706984870746137,0.05469562800301791,0.17372036691418813,0.08068141206369377,0.048032402811420405,0.6331414049160148
2000,7231,21484,80077,6496,169,1022,10470,126949,0.008050476963189942,0.0013312432551654601,0.05695988152722747,0.16923331416553103,0.08247406438806135,0.051170154944111416,0.6307808647567134
2001,7449,20514,77038,7985,92,945,10909,124932,0.0075641148784939,0.0007364006019274485,0.059624435693017,0.16420132552108346,0.08731950180898408,0.06391476963468126,0.6166394518618128
2002,6951,19679,73877,7212,78,1035,10229,119061,0.008693022904225566,0.0006551263637967092,0.05838183788142213,0.1652850219635313,0.08591394327277614,0.06057399148335727,0.6204970561308909
2003,7374,21973,79471,7832,125,1085,10831,128691,0.008431048014235649,0.0009713188956492684,0.05730004429214164,0.17074232075281098,0.08416283967021781,0.060858956725800564,0.6175334716491441
2004,7205,19999,80260,8435,123,1104,10245,127371,0.008667593094189414,0.0009656829262547989,0.05656703645256769,0.1570137629444693,0.08043432178439362,0.06622386571511568,0.6301277370830095
2005,7707,19028,76222,9338,101,1098,10701,124195,0.008840935625427754,0.0008132372478763235,0.06205563831072104,0.15321067675832362,0.08616288900519345,0.07518821208583276,0.6137284109666251
2006,8506,19992,74963,8703,127,1238,11748,125277,0.009882101263599863,0.0010137535221948163,0.06789753905345754,0.15958236547810054,0.09377619195861969,0.06947005435953926,0.5983779943644882
2007,9212,20263,73293,8564,107,1231,12566,125236,0.009829442013478552,0.0008543869174997605,0.07355712414960554,0.16179852438595932,0.10033856079721486,0.0683828930978313,0.5852390686384107
2008,8518,19612,67628,7395,113,1190,11505,115961,0.010262070868654117,0.0009744655530738782,0.07345573080604687,0.16912582678659205,0.09921439104526522,0.06377144039806487,0.583196074542303
2009,8277,19469,64997,5954,119,1096,11278,111190,0.00985700152891447,0.0010702401295080493,0.07444014749527836,0.17509668135623707,0.10142998471085529,0.05354798093353719,0.5845579638456696
2010,7780,19404,63602,6009,100,1107,10531,108533,0.010199662775377075,0.0009213787511632407,0.07168326684050012,0.1787843328757152,0.09703039628500087,0.05536564915739913,0.5860153133148444
2011,7508,18789,62972,6677,110,1085,10162,107303,0.010111553265053167,0.0010251344324017037,0.06997008471338173,0.17510228045814188,0.09470378274605556,0.062225660046783406,0.5868615043381825
2012,7595,18767,65165,6778,84,1053,10232,109674,0.009601181683899557,0.0007659062311942666,0.06925068840381494,0.1711162171526524,0.09329467330452067,0.061801338512318324,0.5941699947115998
2013,7181,17375,61264,6641,112,1195,9838,103606,0.011534081037777736,0.0010810184738335618,0.06931065768391792,0.1677026427040905,0.09495589058548733,0.06409860432793467,0.5913171051869582
2014,7259,15828,56697,6906,91,1411,10123,98315,0.014351828306972486,0.0009255962976148095,0.07383410466358134,0.1609927274576616,0.10296495956873315,0.07024360473986675,0.5766871789655699
2015,7792,15362,56880,6957,128,1615,11353,100087,0.01613596171330942,0.001278887367989849,0.07785226852638205,0.1534864667739067,0.11343131475616214,0.06950952671176076,0.5683055741504891
2016,7966,14364,57066,7415,132,1618,11060,99621,0.01624155549532729,0.0013250218327461078,0.0799630599973901,0.14418646670882646,0.11102076871342388,0.07443209765009386,0.5728310296021923
2017,8458,13931,59816,7846,160,1627,12030,103868,0.015664112142334503,0.0015404166827126737,0.08143027688989872,0.13412215504293912,0.11582007933145916,0.07553818307852274,0.5758847768321331
