year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,11802,28718,73449,8558,244,1350,16991,141112,0.009566868870117354,0.001729122966154544,0.08363569363342593,0.20351210386076307,0.12040790294234367,0.0606468620670106,0.5205014456601849
1995,8571,28389,76906,10003,276,1231,14079,139455,0.00882722025025994,0.001979133053673228,0.06146068624287405,0.20357104442293214,0.10095729805313541,0.07172923165178731,0.5514753863253379
1996,7347,26736,73653,10142,228,1230,12448,131784,0.009333454744126753,0.0017301038062283738,0.055750318703332725,0.20287743580404297,0.09445759728039822,0.07695926667880774,0.5588918229830632
1997,7308,26638,73487,9694,228,1304,12386,131045,0.009950780266320729,0.0017398603533137472,0.055767102903582735,0.20327368461215614,0.09451715059712312,0.07397458888168186,0.5607768323858217
1998,8097,27998,71971,9752,237,1107,12909,132071,0.008381855214240825,0.0017944893277100954,0.061307932854298065,0.21199203458745675,0.09774288072324734,0.07383907140856055,0.5449417358844864
1999,7757,25180,70719,8869,203,1148,12212,126088,0.009104752236533216,0.0016099866759723368,0.06152052534737643,0.19970179557134699,0.09685299156144915,0.07033976270541209,0.5608701859019097
2000,7363,25308,73141,9274,193,1091,11903,128273,0.008505297295611704,0.0015046034629267267,0.05740101190429787,0.19729795046502382,0.09279427471096802,0.07229892494913193,0.5701979372120399
2001,6009,26964,71448,8944,181,1051,10510,125107,0.008400808907575115,0.0014467615720942873,0.04803088556195896,0.21552750845276444,0.08400808907575116,0.07149080387188567,0.5710951425579703
2002,6692,26891,72378,9321,191,1087,11101,127661,0.008514738252089519,0.0014961499596587839,0.05242008130909205,0.210643814477405,0.08695686231503748,0.07301368468052107,0.5669546690061961
2003,5703,26034,69083,8253,181,1124,10232,120610,0.00931929359091286,0.0015007047508498465,0.04728463643147334,0.2158527485283144,0.08483541994859464,0.06842716192687173,0.5727800348229831
2004,5410,25902,70535,8772,236,1238,10152,122245,0.010127203566608041,0.0019305493067201113,0.04425538876845679,0.21188596670620474,0.08304634136365495,0.07175753609554583,0.5769970141928096
2005,5833,26458,70354,8796,190,1421,11134,124186,0.011442513648881516,0.0015299631198363744,0.046969867778976694,0.21305139065595155,0.08965583882241154,0.07082924001095131,0.566521185962991
2006,5972,27122,70658,9243,168,1297,11063,125523,0.010332767699943436,0.0013384001338400133,0.04757693809102714,0.21607195494052883,0.08813524214685754,0.07363590736359074,0.5629087896242123
2007,6859,27683,70455,8675,204,1381,12513,127770,0.010808483994677936,0.0015966189246301948,0.05368239805901229,0.21666275338498864,0.09793378727400798,0.06789543711356344,0.5514205212491196
2008,7036,28839,73808,7667,198,1408,12646,131602,0.010698925548243948,0.0015045364052218052,0.05346423306636677,0.2191380070211699,0.09609276454765125,0.05825899302442212,0.5608425403869242
2009,5843,29701,72620,6080,178,1509,11159,127090,0.01187347548981037,0.0014005822645369423,0.045975293099378395,0.2337005271854591,0.08780391848296483,0.04784011330553151,0.5714060901723188
2010,5212,30311,74189,6209,187,1381,10528,128017,0.010787629767921449,0.0014607434950045697,0.0407133427591648,0.23677324105392253,0.08223907762250326,0.04850137091167579,0.5795245943898076
2011,5097,32553,79132,6673,153,1463,10406,135477,0.010798880990869298,0.0011293429881086827,0.03762262229013043,0.24028432870524147,0.07681008584482975,0.04925559320032183,0.5840991459804985
2012,4750,29587,75571,6668,195,1272,9752,127795,0.009953441057944363,0.0015258812942603387,0.037168903321726204,0.2315192300168238,0.07630971477757345,0.05217731523142533,0.5913455143002465
2013,4198,26213,71612,6032,167,1611,9222,119055,0.013531561043215321,0.001402713031792029,0.03526101381714334,0.2201755491159548,0.07745999748015624,0.05066565872915879,0.6015035067825795
2014,4404,23244,69604,6318,160,1440,9340,114510,0.012575320932669635,0.0013972578814077372,0.03845952318574797,0.20298663872150904,0.08156492882717667,0.05517422059208803,0.6078421098594009
2015,4668,22260,66320,7782,209,1492,9676,112407,0.013273194729865578,0.0018593148113551646,0.041527662867970855,0.19803037177399985,0.08608004839556255,0.06923056393285115,0.5899988434883948
2016,5038,20834,66438,9948,265,1748,10308,114579,0.015255849675769557,0.002312814739175591,0.04396966285270425,0.18183087651314814,0.0899641295525358,0.08682219254837274,0.5798444741182939
2017,5174,20195,64394,10244,263,1661,10056,111987,0.014832078723423254,0.0023484868779411897,0.04620179127934492,0.18033343155902024,0.08979613705162207,0.09147490333699447,0.5750131711716538
