year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,28060,55188,164081,26219,856,1923,42369,318696,0.006033963400858498,0.002685945226799207,0.08804628862615156,0.1731681602530311,0.13294487536712102,0.08226962371664533,0.5148511434093933
1995,29484,53481,166667,25984,740,1855,43741,321952,0.005761728456415863,0.0022984792764138753,0.09157886889971176,0.16611482457012225,0.13586186760759367,0.08070768313288937,0.5176765480568531
1996,25823,56379,173271,27480,762,1805,40426,325946,0.005537727108171292,0.002337810557577022,0.07922477956471317,0.17297036932498022,0.12402667926589067,0.08430844372994299,0.5315941904487247
1997,24360,53935,163114,26374,682,1799,37248,307512,0.005850178204427794,0.002217799630583522,0.07921642082260205,0.17539152943624964,0.12112698041052057,0.08576575873461849,0.530431332760998
1998,23237,51210,157507,23661,560,1609,34057,291841,0.005513276064706467,0.0019188530741054205,0.0796221230053351,0.17547226058024745,0.11669710561572912,0.08107496890430063,0.5397014127555758
1999,22526,47775,149749,21695,468,1448,32033,275694,0.005252199902790775,0.0016975342227251954,0.08170652970322169,0.17328995190319701,0.11619041400973543,0.07869231829492118,0.5431710519634088
2000,20851,46289,144345,21270,560,1497,30440,265252,0.005643689774252409,0.0021111999155520034,0.07860826685566932,0.17450952301961908,0.11475879540964819,0.08018789679248413,0.5441806282327749
2001,20910,46451,139555,21687,501,1403,30678,261185,0.005371671420640542,0.0019181805999578842,0.08005819629764344,0.1778471198575722,0.11745697494113368,0.08303309914428471,0.5343147577387676
2002,20445,45350,133302,20186,593,1529,29690,251095,0.0060893287401182815,0.002361655946952349,0.08142336565841614,0.18060893287401183,0.11824209960373563,0.08039188355005078,0.530882733626715
2003,19429,44572,129471,19655,584,1601,28622,243934,0.006563250715357433,0.002394090204727508,0.07964859347200472,0.1827215558306755,0.11733501684881976,0.08057507358547804,0.530762419342937
2004,20090,45359,134080,19714,574,1616,28844,250277,0.0064568458148371605,0.002293458847596863,0.0802710596658902,0.18123519140792002,0.11524830487819496,0.07876872425352709,0.5357264151320337
2005,19681,39382,112840,14389,450,1421,26889,215052,0.006607704183174302,0.0020925171586407007,0.09151740044268362,0.18312780164797351,0.12503487528597734,0.06690939865706899,0.5247103026244815
2006,22098,44986,110613,15640,528,1562,29917,225344,0.006931624538483385,0.0023430843510366373,0.09806340528259018,0.1996325617722238,0.13276146691280885,0.06940499857994888,0.4908628585629083
2007,23233,44602,115209,15180,608,1393,31317,231542,0.006016187128037246,0.0026258734916343473,0.10034032702490261,0.19263027873992625,0.13525407917354088,0.06556045987337071,0.497572794568588
2008,21191,43320,111567,13743,527,1232,28944,220524,0.0055866935118173075,0.002389762565525748,0.09609384919555242,0.19644120367851117,0.13125102029711053,0.06231974751047505,0.5059177232410078
2009,19855,46246,112493,11717,530,1359,27849,220049,0.006175897186535726,0.0024085544583251914,0.0902299033397107,0.21016228203718262,0.1265581756790533,0.05324723129848352,0.511217956000709
2010,17932,45435,110029,9893,510,1233,24886,209918,0.005873722120065931,0.0024295200983241077,0.08542383216303509,0.21644165817128594,0.1185510532684191,0.04712792614258901,0.5241522880362809
2011,18386,46320,113301,9123,513,1268,25406,214317,0.0059164695287821315,0.0023936505270230547,0.0857888081673409,0.21612844524699393,0.11854402590555112,0.04256778510337491,0.5286608155209339
2012,15740,42140,112915,7881,495,1158,22868,203197,0.005698903034985753,0.00243605958749391,0.07746177354980635,0.20738495154948153,0.11254103160971865,0.03878502143240304,0.5556922592361108
2013,16319,41184,115342,9160,498,1619,23984,208106,0.007779689196851605,0.002393011253880234,0.0784167683776537,0.19789914754980634,0.11524895966478621,0.044016030292254905,0.554246393664767
2014,16387,38337,112596,9891,477,1375,23934,202997,0.006773499115750479,0.00234978842051853,0.08072533091622043,0.18885500770947353,0.11790322024463416,0.04872485800282763,0.5546682955905752
2015,17454,35453,111435,9741,481,1723,25208,201495,0.008551080671976971,0.002387156008833966,0.08662249683614978,0.17594977542867068,0.12510484131119878,0.04834363135561676,0.553041018387553
2016,18556,34667,109380,10330,555,1819,26502,201809,0.009013473135489497,0.002750125118304932,0.09194832737885823,0.17178123869599474,0.1313221907843555,0.05118701346322513,0.541997631423772
2017,18285,34265,112485,10962,582,1867,26092,204538,0.009127888216370552,0.0028454370337052284,0.08939659134244003,0.16752388309262828,0.1275655379440495,0.05359395320185002,0.5499467091689564
