year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,987,8938,28257,1776,28,318,1611,41915,0.0075867827746630085,0.0006680186090898246,0.023547655970416317,0.21324108314445903,0.03843492783013241,0.042371466062268874,0.6741500656089705
1995,1007,9015,28444,1673,25,265,1631,42060,0.006300523062291964,0.0005943889681407513,0.023941987636709464,0.21433666191155493,0.03877793628150261,0.039776509747979076,0.6762719923918212
1996,976,9303,29557,1776,25,260,1553,43450,0.005983889528193326,0.0005753739930955121,0.02246260069044879,0.21410817031070195,0.03574223245109321,0.04087456846950518,0.680253164556962
1997,964,8241,27513,1642,25,254,1500,40139,0.006328010164677745,0.0006228356461296993,0.024016542514761204,0.20531154239019409,0.03737013876778196,0.04090784523779865,0.6854430852786567
1998,1052,8295,26457,1509,26,225,1566,39130,0.005750063889598774,0.000664451827242525,0.02688474316381293,0.21198568872987478,0.04002044467160746,0.03856376181957577,0.6761308458982878
1999,897,7532,25392,1694,25,239,1404,37183,0.006427668558212086,0.0006723502675954065,0.024123927601323186,0.20256568862114407,0.03775919102815803,0.045558454132264746,0.6828927197913025
2000,815,6775,23906,1322,15,320,1397,34550,0.009261939218523878,0.0004341534008683068,0.023589001447178,0.19609261939218525,0.040434153400868304,0.03826338639652677,0.6919247467438495
2001,826,6898,24585,1671,19,326,1435,35760,0.009116331096196868,0.0005313199105145414,0.023098434004474273,0.1928970917225951,0.040128635346756154,0.046728187919463086,0.6875
2002,735,6965,24591,1429,14,377,1396,35507,0.010617624693722365,0.00039428845016475624,0.020700143633649703,0.19615850395696624,0.03931619117357141,0.040245585377531194,0.6925676627143943
2003,763,6579,24043,1456,16,354,1422,34633,0.010221465076660987,0.00046198712210897123,0.022031010885571564,0.1899633297721826,0.04105910547743482,0.04204082811191638,0.6942222735541247
2004,742,6341,24096,1303,18,315,1364,34179,0.009216185376985868,0.0005266391643991925,0.021709236665788934,0.1855232745252933,0.03990754556891658,0.038122823956230435,0.7049942947423857
2005,815,6323,24218,1348,19,326,1483,34532,0.009440518938955172,0.0005502142939881849,0.02360129734738793,0.18310552530985752,0.04294567357813043,0.039036256226109116,0.7013205143055716
2006,780,6779,25167,1340,23,339,1526,35954,0.009428714468487512,0.0006397062913723091,0.021694387272626132,0.18854647605273406,0.0424431217667019,0.03726984480169105,0.699977749346387
2007,793,6676,24057,1259,21,391,1554,34751,0.011251474777704239,0.0006042991568587955,0.02281948720900118,0.19210957958044372,0.04471813760755086,0.03622917326120112,0.6922678484072401
2008,808,6522,24587,1176,31,375,1547,35046,0.010700222564629344,0.0008845517320093591,0.02305541288592136,0.18609827084403355,0.04414198481995092,0.033555897962677626,0.7015636591907778
2009,778,6728,23936,1021,26,376,1579,34444,0.010916269887353384,0.000754848449657415,0.022587388224364187,0.19533155266519567,0.04584252700034839,0.0296423179653931,0.6949250958076878
2010,794,7359,24585,990,24,389,1621,35762,0.010877467703148593,0.0006711034058497847,0.02220233767686371,0.20577708181869023,0.04532744253677087,0.027683015491303618,0.6874615513673732
2011,848,7854,24877,1078,26,393,1636,36712,0.010704946611462192,0.000708215297450425,0.02309871431684463,0.2139354979298322,0.04456308563957289,0.029363695794290694,0.677625844410547
2012,811,7461,24905,995,25,372,1631,36200,0.010276243093922652,0.0006906077348066298,0.022403314917127073,0.20610497237569061,0.04505524861878453,0.027486187845303867,0.6879834254143646
2013,912,6483,23050,914,24,447,1718,33548,0.013324192202217719,0.0007153928699177298,0.02718492905687373,0.19324549898652676,0.051210206271610825,0.027244545129366877,0.6870752354834864
2014,890,5030,20592,799,21,485,1700,29517,0.01643120913371955,0.0007114544160991971,0.03015211572991835,0.1704102720466172,0.057593928922315955,0.027069146593488497,0.6976318731578413
2015,921,4684,18829,814,23,474,1729,27474,0.017252675256606245,0.0008371551284851132,0.0335226031884691,0.17048846181844654,0.06293222683264177,0.029628011938560093,0.6853388658367912
2016,950,4003,17134,776,20,413,1648,24944,0.01655708787684413,0.0008017960230917255,0.03808531109685696,0.16047947402180884,0.06606799230275817,0.031109685695958948,0.6868986529826812
2017,872,3334,16006,793,23,473,1617,23118,0.020460247426247944,0.0009948957522277013,0.03771952591054589,0.14421662773596333,0.06994549701531275,0.034302275283329006,0.6923609308763734
