year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,24696,52234,168608,38197,579,2035,47457,333806,0.006096355368088051,0.0017345404216820549,0.07398309197557863,0.15648011120231511,0.14216940378543225,0.11442874004661391,0.50510775720029
1995,25697,53320,178126,36179,596,2130,49757,345805,0.006159540781654401,0.001723514697589682,0.07431066641604372,0.15419094576423129,0.14388745102008357,0.10462254738942467,0.5151053339309727
1996,24793,50331,173817,36083,588,1905,47230,334747,0.005690865041359594,0.0017565504694590243,0.07406489079812516,0.1503553429903778,0.14109163039549272,0.10779185474403057,0.5192488655611551
1997,23654,47918,166256,30668,502,1814,43127,313939,0.005778192578813081,0.0015990367555480524,0.07534584744170046,0.15263474751464456,0.137373821028926,0.09768776736882005,0.5295805873115478
1998,23337,47393,159019,28212,513,1714,40903,301091,0.005692631131451953,0.0017038038333925625,0.07750812877170025,0.15740423991417876,0.13584929473149313,0.09369924707148337,0.5281426545462999
1999,22795,43230,147296,25447,465,1551,38447,279231,0.005554540864015815,0.001665287879927372,0.0816349187590203,0.15481805386937697,0.13768886692380145,0.0911324315709932,0.5275059001328649
2000,26130,39426,145423,28573,430,1543,41663,283188,0.005448677203836321,0.0015184259220023448,0.09227085893470062,0.13922200093224288,0.1471213469497295,0.10089763690551859,0.5135210531519697
2001,26668,41553,145934,32025,446,1449,42088,290163,0.004993744895110679,0.0015370670967697468,0.09190696263824126,0.14320571540823607,0.14504950665660335,0.1103689994933882,0.5029380038116507
2002,26715,39765,143320,34020,513,1370,42015,287718,0.004761606851152865,0.001782995850103226,0.09285133359748086,0.138208245573791,0.14602840281108587,0.11824077742789815,0.49812663788848804
2003,23593,38641,134372,36405,525,1358,38778,273672,0.004962144464906896,0.0019183548189073052,0.08620903855710485,0.14119456868075653,0.14169516793826187,0.13302420415680083,0.4909965213832617
2004,24334,36682,129786,35858,521,1316,38932,267429,0.00492093228483074,0.001948180638599404,0.09099237554640671,0.13716537847428664,0.14557882652965834,0.13408418683089718,0.485310119695321
2005,23173,35922,128491,34070,552,1266,39369,262843,0.004816563499883961,0.0021001129952100683,0.08816289572101978,0.13666713589481172,0.149781428457292,0.12962110461378085,0.4888507588180016
2006,22011,37457,127497,30522,546,1178,38110,257321,0.004577939616276946,0.0021218633535545098,0.08553907376389801,0.1455652667291049,0.1481029531208102,0.11861449318166803,0.4954784102346874
2007,21072,37095,127308,28393,553,1179,36062,251662,0.00468485508340552,0.0021973917397143787,0.08373135395888136,0.14740008423997267,0.14329537236452067,0.11282195961249612,0.5058689830010092
2008,20570,38849,133983,25333,493,1127,35393,255748,0.004406681577177534,0.0019276788088274394,0.08043073650624834,0.15190343619500446,0.13839013403819383,0.0990545380609037,0.5238867948136446
2009,20022,37032,125771,19619,438,1156,33623,237661,0.004864071092859156,0.001842961192623106,0.08424604794223706,0.15581858192972342,0.14147462141453582,0.08255035533806557,0.5292033610899559
2010,18909,36542,118458,18051,430,1227,31620,225237,0.005447595199722958,0.0019091001922419495,0.0839515710118675,0.16223799819745424,0.14038546064811733,0.08014225016316147,0.5259260245874345
2011,16862,35784,114847,16068,398,1194,28797,213950,0.0055807431642907225,0.0018602477214302406,0.07881280673054451,0.16725403131572797,0.13459686842720262,0.07510165926618369,0.5367936433746202
2012,16310,33732,113274,15025,369,1235,28055,208000,0.0059375,0.0017740384615384614,0.07841346153846154,0.16217307692307692,0.1348798076923077,0.07223557692307692,0.5445865384615385
2013,16128,31949,112546,13418,381,1532,28089,204043,0.007508221306293281,0.0018672534710820758,0.07904216268139559,0.15657974054488516,0.13766215944678328,0.0657606484907593,0.5515798140588013
2014,15133,28012,108745,13102,365,1619,26661,193637,0.008361005386367274,0.001884970331083419,0.07815138635694624,0.14466243538166776,0.13768546300552065,0.06766268843247933,0.5615920511059354
2015,15417,25678,100219,13151,516,1666,27462,184109,0.009048987284706343,0.0028026875383604277,0.08373843755601301,0.13947172598840904,0.14916163794274045,0.07143051127321315,0.5443460124165576
2016,15874,24692,100919,13889,536,1827,28400,186137,0.009815351058628859,0.002879599434824887,0.08528127132166093,0.13265497993413453,0.15257579094967685,0.07461708311619936,0.5421759241848746
2017,16836,23508,97420,13568,546,1691,30273,183842,0.009198115773327097,0.0029699415802700146,0.09157863817843583,0.12787067155492216,0.16466857410167426,0.07380250432436548,0.5299115544870051
