year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,30550,53222,129962,42348,214,1825,42749,300870,0.006065742679562602,0.0007112706484528202,0.10153887060856849,0.17689367500914016,0.14208462126499818,0.14075181972280387,0.4319540000664739
1995,30626,49669,135586,36716,217,1759,41739,296312,0.0059363103755500956,0.0007323361861821323,0.10335727206458058,0.1676239909284808,0.1408616593320554,0.123909932773563,0.457578498339588
1996,29420,42896,119562,32178,157,1767,39122,265102,0.006665358993896689,0.000592224879480351,0.11097615257523519,0.16180941675279703,0.14757338684732668,0.1213796953625397,0.4510037645887243
1997,30969,40491,115494,29452,119,1647,39411,257583,0.00639405550832159,0.0004619870100123067,0.12022920767286661,0.15719593296141438,0.15300310967726907,0.1143398438561551,0.44837586331396095
1998,30443,37333,109275,26403,124,1687,38192,243457,0.006929355081184768,0.0005093301897254956,0.12504466907913922,0.1533453546211446,0.15687369843545268,0.10845036289776018,0.44884722969559304
1999,26307,32964,108845,25628,122,1663,34023,229552,0.007244545898097163,0.0005314699937269115,0.1146014846309333,0.1436014497804419,0.14821478357844844,0.11164354917404336,0.4741627169443089
2000,22594,30600,105425,25876,125,1696,30230,216546,0.007832054159393385,0.0005772445577383096,0.10433810830031494,0.1413094677343382,0.1396008238434328,0.119494241408292,0.48684805999649033
2001,22110,32430,106821,27828,143,1856,30585,221773,0.00836891776726653,0.0006448034702150398,0.09969653654863306,0.14623060516834782,0.1379112876680209,0.125479657126882,0.4816681922506347
2002,22018,33243,107922,26588,173,1777,31137,222858,0.007973687280689945,0.0007762790655933375,0.09879833795511044,0.1491667339741001,0.13971677032011415,0.11930466934101536,0.4842635220633767
2003,20378,34963,104069,25511,140,1848,30377,217286,0.008504919783142955,0.0006443121047835571,0.09378422908056662,0.16090774371105362,0.13980192005007225,0.11740747217952376,0.4789494030908572
2004,20002,34469,101303,22053,169,1799,29437,209232,0.00859811118758125,0.0008077158369656649,0.09559723178098953,0.16474057505544085,0.1406907165251969,0.10539974764854325,0.48416590196528253
2005,19878,34728,98079,18920,178,1751,29644,203178,0.008618059041825395,0.0008760791030524959,0.09783539556448041,0.1709240173640847,0.145901623207237,0.09312031814468102,0.482724507574639
2006,18800,35181,100771,17961,186,1742,28775,203416,0.008563731466551304,0.0009143823494710347,0.09242144177449169,0.17295099697172298,0.14145888229047862,0.08829688913359815,0.4953936760136862
2007,19008,35662,103592,14992,184,1634,27832,202904,0.008053069431849545,0.0009068327879194102,0.0936797697433269,0.17575799392816308,0.13716831605094035,0.0738871584591728,0.5105468595986279
2008,20202,36094,107128,12737,167,1736,29174,207238,0.008376842084945811,0.0008058367673882203,0.09748212200465166,0.1741668998928768,0.14077534042984394,0.061460735965411746,0.5169322228548818
2009,20836,34665,105514,11735,172,1701,30136,204759,0.008307327150454924,0.000840011916448117,0.10175865285530794,0.16929658769577893,0.14717790182604917,0.05731127813673636,0.5153082404192245
2010,21724,37767,104685,11453,210,1745,30553,208137,0.008383900988291365,0.0010089508352671558,0.10437356164449377,0.18145260093111748,0.14679273747579719,0.05502625674435588,0.5029619913806771
2011,19638,36533,101471,10786,185,1628,28219,198460,0.008203164365615237,0.0009321777688199133,0.09895192985992139,0.18408243474755617,0.14218986193691424,0.05434848332157614,0.5112919479995969
2012,18638,34540,99317,9232,121,1642,26953,190443,0.008622002383915398,0.000635360711603997,0.09786655324690327,0.1813666031305955,0.1415279112385333,0.04847644702089339,0.5215051222675551
2013,18106,30735,97428,9122,137,2718,27667,185913,0.014619741491988188,0.0007369038206042611,0.09738963923985951,0.1653192622355618,0.14881691974202987,0.049065960960234085,0.5240515725097223
2014,18051,24964,92043,8260,132,2180,26399,172029,0.012672281998965291,0.0007673124880107424,0.10492998273546902,0.14511506780833464,0.15345668462875445,0.04801516023461161,0.5350435101058543
2015,19071,21890,84912,8069,128,2075,26562,162707,0.012752985427793519,0.0007866901854253351,0.1172106916113013,0.13453631374187958,0.1632505055099043,0.04959221176716429,0.5218706017565317
2016,18050,19193,79088,8071,135,2141,25677,152355,0.014052705851465327,0.0008860884119326573,0.11847330248432936,0.1259755177053592,0.16853401594959141,0.052974959797840566,0.5191034097994814
2017,17319,17089,73946,7540,173,2197,24560,142824,0.01538256875595138,0.0012112810171959895,0.1212611325827592,0.11965075897608245,0.17195989469556938,0.052792247801489944,0.5177421161709517
