year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,43371,91849,290172,62304,927,6720,72751,568094,0.011829028294613216,0.0016317722067122693,0.07634475984608181,0.16167922914165614,0.1280615531936616,0.10967199090291395,0.510781666414361
1995,41070,86872,280712,61639,808,5917,65680,542698,0.010902933123026067,0.0014888575229685755,0.0756774485994052,0.1600742954645125,0.12102495310467332,0.11357882284438123,0.5172526893410332
1996,37856,85908,276909,67203,722,5466,60951,535015,0.010216535984972384,0.001349494873975496,0.07075689466650467,0.1605711989383475,0.1139239086754577,0.1256095623487192,0.517572404512023
1997,36900,80726,276863,65327,759,5070,57663,523308,0.009688367080189868,0.0014503886812355247,0.07051296750670732,0.1542609705947549,0.11018941044279851,0.1248347053742729,0.529063190320041
1998,39987,82249,258186,58338,721,4946,60947,505374,0.009786811351593077,0.0014266661917708469,0.07912357976468912,0.1627487761538979,0.12059781468773621,0.1154353013807596,0.5108810504695532
1999,37062,76736,236351,56800,695,4849,56709,469202,0.010334568053844613,0.0014812383578927627,0.07898943312262097,0.16354576493706335,0.12086265616941104,0.12105660248677542,0.5037297368723919
2000,35753,69790,227783,55724,669,5025,55159,449903,0.011169074222665774,0.0014869871950175927,0.07946824093193422,0.15512232636812823,0.12260198309413363,0.12385780935001545,0.5062935788381051
2001,36551,72038,226708,53607,672,5264,55424,450264,0.01169091910523604,0.001492457758115239,0.08117682070962813,0.15999058330224047,0.12309223033598067,0.11905681999893396,0.5035001687898655
2002,36417,70970,214367,49723,678,5364,54306,431825,0.012421698604758872,0.0015700804724135934,0.08433277369304695,0.1643489839634111,0.12575927748509233,0.11514618190239101,0.4964210038788861
2003,34214,68316,208538,53711,612,5470,51550,422411,0.012949473380191331,0.0014488259065223207,0.08099694373489327,0.16172874285944258,0.1220375416359896,0.1271534121980725,0.4936850602848884
2004,32128,64394,194259,50555,643,5486,49577,397042,0.013817178031543262,0.0016194760252064013,0.0809183915051808,0.16218435329259875,0.12486588320631067,0.1273290986847739,0.48926561925438616
2005,36760,70527,194090,48275,629,5199,55936,411416,0.012636844459136251,0.0015288661597993272,0.08934995235965544,0.17142502965368386,0.13595970988002412,0.11733865479222977,0.47176094269547125
2006,36588,76107,198227,50017,713,5269,56778,423699,0.012435714976905776,0.0016827984016955433,0.08635375585026163,0.17962515842614687,0.13400550862758703,0.11804842588724543,0.46784863783015773
2007,35319,75428,191196,42151,676,4579,53988,403337,0.011352789354807519,0.0016760178213255912,0.08756697253165467,0.18700987015820517,0.13385332860610358,0.10450566151877957,0.4740353600091239
2008,32158,74176,183168,36241,542,4502,50166,380953,0.011817730796187456,0.001422747688035007,0.08441461282625416,0.19471168359351415,0.131685536011004,0.09513247040973559,0.48081521867526966
2009,32076,75815,177720,29383,627,4514,49547,369682,0.01221049442493819,0.0016960522827727616,0.08676646415026969,0.20508166478216414,0.1340260007249474,0.07948182491979593,0.4807374987151119
2010,31727,73868,166980,27353,567,4673,48460,353628,0.01321445134435056,0.0016033798228647052,0.08971857432103793,0.20888617417172847,0.13703665999298698,0.07734964425893877,0.47219111608809256
2011,28630,71596,160887,25496,613,4347,43983,335552,0.01295477303070761,0.0018268405493038337,0.08532209612817089,0.21336782376502003,0.13107655445355712,0.07598226206370398,0.4794696500095365
2012,29210,65665,159321,25115,689,4589,44922,329511,0.013926697439539197,0.0020909772359648084,0.08864650952471996,0.1992801454276185,0.13632928794486376,0.07621900331096686,0.4835073791163269
2013,27194,56344,149423,24567,631,6593,44523,309275,0.021317597607307413,0.002040255436100558,0.08792821922237491,0.1821809069598254,0.14395925955864522,0.07943416053673914,0.48313960067900735
2014,27519,44184,137206,21157,535,6273,42348,279222,0.02246599479983669,0.0019160381345309466,0.0985559877087049,0.1582396802544212,0.15166426714227388,0.07577125011639484,0.4913867818438375
2015,26414,40041,131296,15764,571,6450,41231,261767,0.024640233490088512,0.0021813291973396187,0.10090653138096094,0.15296427739172622,0.1575103049658666,0.06022149468802408,0.5015758288859941
2016,30729,39568,129876,20262,612,7268,45572,273887,0.026536491326715032,0.002234498168952889,0.11219590561070807,0.14446833913256196,0.16638978848941352,0.07397941486817557,0.474195562403473
2017,30738,35641,124104,19573,569,7031,44826,262482,0.02678659870010134,0.0021677676945466738,0.1171051729261435,0.1357845490357434,0.1707774247376963,0.07456892282137442,0.47280956408439434
