year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,8155,36157,131344,14355,147,2725,16397,209280,0.013020833333333334,0.000702408256880734,0.03896693425076453,0.17276853975535167,0.07834957951070336,0.06859231651376146,0.6275993883792049
1995,7939,36756,138414,15741,182,2593,16416,218041,0.011892258795364175,0.000834705399443224,0.036410583330658,0.16857380034030298,0.07528859251241739,0.07219284446503181,0.6348072151567824
1996,7903,35515,138671,17923,167,2327,15782,218288,0.01066022868870483,0.0007650443450853918,0.0362044638276039,0.1626979036868724,0.07229898116250091,0.08210712453272741,0.6352662537565051
1997,7879,35265,137872,17869,129,2446,15827,217287,0.01125700110913216,0.0005936848499910257,0.03626079793084722,0.16229687003824436,0.07283914822331755,0.08223685724410572,0.6345156406043619
1998,7806,32486,128689,15366,121,2358,14656,201482,0.01170327870479745,0.00060054992505534,0.0387429149998511,0.16123524682105597,0.0727409892695129,0.07626487725950705,0.6387121430202202
1999,6996,27706,117736,13275,134,2038,13085,180970,0.011261535061059844,0.0007404542189313146,0.038658341161518485,0.15309719843067912,0.07230480190086755,0.07335469967397912,0.6505829695529646
2000,7709,26116,118250,13432,151,2240,13813,181711,0.01232726692385161,0.000830989868527497,0.04242450924820181,0.14372272454611995,0.07601631161569745,0.07391957558981019,0.6507586222077915
2001,7032,25496,124519,15031,119,2236,13145,187578,0.011920374457558988,0.0006344027551205366,0.037488404823593384,0.13592212306347226,0.07007751442066767,0.08013199842198979,0.6638251820575973
2002,7106,28034,122150,13842,112,2273,13428,186945,0.012158656289282943,0.0005991066891331675,0.038011179758752574,0.14995854395677874,0.07182861269357298,0.07404316777661879,0.6534007328358609
2003,7191,27698,116216,13749,127,2092,13316,180389,0.01159715947202989,0.00070403405972648,0.03986384979128439,0.1535459479236539,0.0738182483410851,0.07621861643448326,0.644252143977737
2004,7445,28048,113453,13518,113,2123,13751,178451,0.011896823217577934,0.0006332270483213879,0.0417201360597587,0.15717479868423265,0.07705756762360536,0.07575188707264179,0.6357655602938622
2005,8146,29716,114304,14281,115,2258,15243,184063,0.012267538831813021,0.0006247860786795825,0.044256586060207645,0.16144472273080412,0.08281403649837284,0.07758756512715755,0.6210047646729653
2006,8920,30173,115567,13379,125,1947,16425,186536,0.010437663507312261,0.0006701119354977055,0.04781918771711627,0.16175429943817815,0.0880527083243985,0.07172342068019041,0.6195426083973067
2007,8244,29670,115633,12526,116,1873,15003,183065,0.010231338595580805,0.0006336547128069265,0.04503318493431295,0.1620735804222544,0.0819544970365717,0.06842378390189277,0.6316499603965805
2008,7626,26410,112322,10078,109,1805,13717,172067,0.01049009978671099,0.0006334741699454283,0.04431994513764987,0.15348672319503448,0.079718946689371,0.05857020811660574,0.6527806029046824
2009,7360,25488,105076,8519,74,1789,12842,161148,0.011101596048353066,0.00045920520267083673,0.045672301238612954,0.15816516494154442,0.07969071909052548,0.05286444758855214,0.6520465658897411
2010,7233,24415,103429,8587,96,1798,12515,158073,0.011374491532393262,0.0006073143421077604,0.04575733996318157,0.15445395481834343,0.07917228116123563,0.05432300266332644,0.654311615519412
2011,6701,25724,102358,8182,74,1664,11825,156528,0.010630685883675764,0.00047275886742308084,0.042810232035163036,0.1643412041296126,0.07554558928753961,0.05227179801696821,0.6539277317796177
2012,7207,25378,104316,8458,99,1638,12419,159515,0.01026862677491145,0.0006206312885935492,0.045180704009027364,0.15909475597906153,0.07785474720245746,0.05302322665580039,0.6539573080901483
2013,6909,22713,100516,7966,114,2008,12705,152931,0.013130104426179127,0.0007454342154304882,0.04517723679306354,0.1485179590795849,0.08307668164073995,0.052088850527362014,0.65726373331764
2014,6729,20773,96237,8367,88,2001,12505,146700,0.013640081799591003,0.0005998636673483299,0.04586912065439673,0.14160190865712338,0.08524199045671438,0.05703476482617587,0.6560122699386504
2015,7094,19299,94704,7981,133,2321,13319,144851,0.01602336193743916,0.0009181848934422268,0.048974463414129005,0.13323346059053787,0.09194965861471444,0.055097997252348964,0.6538028732973884
2016,7217,18606,90422,8720,101,2348,13394,140808,0.01667518890972104,0.0007172887904096358,0.051254190102835065,0.13213737855803648,0.09512243622521448,0.061928299528435884,0.6421652178853474
2017,7172,18787,93446,9979,113,2385,13291,145173,0.016428674753569877,0.0007783816549909419,0.049403125925619774,0.1294111163921666,0.09155283696004078,0.06873867730225318,0.6436871870113589
