year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,7220,34493,70621,10810,409,1212,13177,137942,0.008786301489031622,0.0029650142813646314,0.05234083890330719,0.2500543706775311,0.09552565571037103,0.07836626988154442,0.51196154905685
1995,8628,30505,67967,9723,348,1054,13560,131785,0.007997875327237546,0.0026406647190499676,0.06547027355161816,0.23147550935235423,0.10289486663884358,0.07377926167621504,0.5157415487346815
1996,8333,30755,69299,9527,301,981,13261,132457,0.0074061770989830664,0.0022724355828684026,0.06291098243203455,0.23218855930603893,0.10011550918411258,0.07192522856474176,0.5231811078312207
1997,7644,32429,71887,9328,358,1065,12808,135519,0.007858676643127532,0.0026416959983470954,0.056405374892081556,0.23929485902345796,0.09451073281237317,0.06883167673905503,0.5304569838915576
1998,6567,31498,68525,9322,315,1026,11302,128555,0.007981019796974059,0.002450313095562211,0.05108319396367313,0.2450157520127572,0.08791567811442573,0.07251371008517755,0.5330403329314302
1999,5211,29109,65919,13532,213,1156,9671,124811,0.009262004150275217,0.0017065803494884266,0.041751127705090096,0.23322463564910145,0.07748515755822805,0.10841993093557459,0.5281505636522422
2000,6290,26918,69758,6968,255,1019,10267,121475,0.00838855731632023,0.0020991973657131097,0.05178020168759004,0.22159292035398231,0.08451944844618234,0.05736159703642725,0.5742580777937847
2001,5283,29821,70315,9473,282,1147,10006,126327,0.009079610851203622,0.0022323018832078653,0.04182003847158565,0.23606196616716932,0.07920713703325497,0.0749879281547096,0.556611017438869
2002,5111,29593,70468,9523,264,1127,9858,125944,0.008948421520675856,0.0020961697262275297,0.04058152829829131,0.2349695102585276,0.07827288318617798,0.07561297084418472,0.559518516165915
2003,4974,29564,68307,8996,267,1079,9336,122523,0.008806509798160346,0.002179182684067481,0.04059645944026836,0.241293471429854,0.07619793834626969,0.07342294916056577,0.5575034891408144
2004,4677,27661,65440,7879,227,1161,8568,115613,0.010042123290633406,0.0019634470172039476,0.04045392819146636,0.23925510106994888,0.0741093129665349,0.0681497755442727,0.5660263119199398
2005,4365,26866,60873,7492,214,1147,8131,109088,0.010514447051921385,0.001961718979172778,0.04001356702845409,0.2462782340862423,0.07453615429744793,0.06867849809328248,0.558017380463479
2006,4350,27239,57807,8347,223,1000,8691,107657,0.009288759671921009,0.002071393406838385,0.040406104572856386,0.25301652470345637,0.08072861030866549,0.07753327698152465,0.5369553303547377
2007,4388,27959,58084,7381,208,1040,8502,107562,0.0096688421561518,0.0019337684312303602,0.04079507632807125,0.2599338056190848,0.07904278462654098,0.06862088841784274,0.540004834421078
2008,4230,26024,54032,6352,237,890,8373,100138,0.008887734925802393,0.002366733907208053,0.042241706445105755,0.2598813637180691,0.08361461183566678,0.06343246320078293,0.539575385967365
2009,4210,29162,52618,5401,190,939,8304,100824,0.009313258747917162,0.0018844719511227485,0.041755931127509326,0.289236689677061,0.08236134253749107,0.053568594779020866,0.5218797111798779
2010,4089,30444,52770,5360,208,927,8003,101801,0.009106000923370104,0.0020432019331833675,0.040166599542244184,0.299054036797281,0.07861415899647352,0.05265174212434062,0.5183642596831073
2011,4440,30907,54283,4925,239,865,8036,103695,0.008341771541540094,0.002304836298760789,0.04281787935773181,0.2980568011958146,0.07749650417088577,0.04749505762090747,0.5234871498143594
2012,4460,28076,51508,4322,220,822,7786,97194,0.008457312179764183,0.00226351420869601,0.04588760623083729,0.28886556783340533,0.08010782558594153,0.04446776549992798,0.5299504084614277
2013,4680,24995,52117,4388,195,930,8214,95519,0.009736282833781761,0.0020414786586961755,0.048995487808708216,0.2616756875595431,0.0859933625770789,0.04593850438132727,0.5456191961808645
2014,4592,24352,58591,4519,258,1058,8338,101708,0.010402328233767254,0.00253667361466158,0.045148857513666575,0.23943052660557676,0.0819797852676289,0.04443111652967318,0.5760707122350257
2015,4498,24799,55748,4243,259,1203,8254,99004,0.012151024201042382,0.002616055916932649,0.045432507777463535,0.2504848288958022,0.08337036887398488,0.042856854268514405,0.56308836006626
2016,4471,23354,55054,4307,237,1282,8383,97088,0.013204515491100856,0.002441084377059987,0.04605100527356625,0.2405446605141727,0.08634434739617666,0.04436181608437706,0.5670525708635464
2017,5119,24710,52240,4631,245,1091,8526,96562,0.011298440380273814,0.0025372299662393075,0.05301257223338373,0.2558977651664216,0.0882956028251279,0.04795882438226217,0.5409995650462915
