year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,24553,55577,158283,27038,554,1955,39240,307200,0.006363932291666667,0.0018033854166666667,0.07992513020833333,0.18091471354166666,0.127734375,0.08801432291666667,0.515244140625
1995,22296,49649,162430,25199,469,1711,35339,297093,0.005759139394061792,0.0015786302605581418,0.07504720744009452,0.16711602090927757,0.11894928524064854,0.0848185584985173,0.5467311582568422
1996,20528,47919,168870,23992,433,1566,31669,294977,0.005308888489611054,0.0014679110574722775,0.06959186648450558,0.16244995372520568,0.10736091288473339,0.0813351549442838,0.5724853124141882
1997,20811,46900,155472,26517,426,1525,31192,282843,0.005391683725600421,0.001506135912856249,0.07357792132030844,0.16581637162666213,0.11028026148782187,0.09375165727983369,0.5496759686469171
1998,20244,47455,160363,24466,399,1463,30222,284612,0.00514033139853555,0.0014019085632369682,0.07112841341897039,0.16673576658749456,0.1061866681657836,0.08596264388008938,0.5634442679858895
1999,18406,42476,157550,22984,359,1439,27353,270567,0.005318460861819808,0.0013268432587861788,0.06802751259392313,0.15698884195042262,0.10109510768127673,0.08494753610011568,0.5822956975536558
2000,18123,41685,159539,24695,347,1351,27419,273159,0.004945837406052885,0.0012703224129536278,0.06634597432264724,0.15260342877225352,0.10037743585237902,0.09040522186711769,0.584051779366596
2001,20946,42977,167420,28014,372,1383,30472,291584,0.00474305860403863,0.001275790166812994,0.07183521729587357,0.1473914892449517,0.1045050482879719,0.09607523046532046,0.5741741659350307
2002,21737,42721,159921,27878,331,1465,30557,284610,0.0051473946804399,0.001162994975580619,0.07637468816977619,0.15010365060960612,0.10736446365201503,0.09795158286778398,0.5618952250447982
2003,19692,41997,161616,29951,289,1400,28067,283012,0.004946786708690798,0.001021158113436886,0.0695800884768137,0.148393001003491,0.09917247325201758,0.10582943479428435,0.5710570576512657
2004,19763,40472,158264,25893,354,1479,28226,274451,0.005388940102240473,0.001289847732382101,0.07200921111600977,0.14746530346036268,0.10284531665033103,0.09434470998466028,0.5766566709540136
2005,21254,42822,159288,25699,402,1625,30477,281567,0.005771272911953461,0.001427724129603256,0.07548469813579006,0.1520845837757976,0.1082406674077573,0.09127134927033352,0.5657197043687648
2006,22161,44647,153490,25433,368,1764,31880,279743,0.006305787812384939,0.0013154931490689669,0.07921914042531895,0.15960006148500588,0.11396174345738767,0.0909155903811713,0.5486821832896623
2007,20418,43446,152529,23784,385,1714,29682,271958,0.0063024437596981885,0.0014156597709940506,0.07507776936144551,0.15975260885872083,0.10914185278609197,0.08745468050213635,0.5608549849609131
2008,20359,45788,150032,20765,455,1615,29819,268833,0.006007447002414138,0.0016925005486677603,0.07573103004467457,0.17032135191736134,0.11092016233126141,0.07724126130348581,0.5580862468521349
2009,20002,43787,141432,17479,383,1607,29444,254134,0.006323435667797304,0.0015070789426050823,0.07870650916445655,0.17229886595260768,0.1158601367782351,0.06877867581669513,0.5565252976776032
2010,19268,44043,140320,16051,420,1432,27252,248786,0.005755950897558544,0.0016881978889487352,0.07744808791491482,0.17703166576897414,0.10953992588007364,0.06451729598932415,0.5640188756602059
2011,18796,44822,138743,15317,366,1458,26889,246391,0.005917423931880629,0.0014854438676737381,0.07628525392567098,0.1819141121226019,0.1091314211963911,0.0621654200031657,0.563100924952616
2012,19473,42466,140816,16308,389,1511,27155,248118,0.006089844348253654,0.0015678024165921053,0.07848281865886393,0.17115243553470527,0.10944389363125609,0.06572679128479192,0.567536414125537
2013,18055,38865,134416,16325,371,2287,26197,236516,0.009669536099037698,0.0015686042381910738,0.07633733024404268,0.16432292107087892,0.11076206260887213,0.06902281452417595,0.5683167312148015
2014,18482,35258,124622,16357,403,2379,26856,224357,0.010603636169141145,0.001796244378379101,0.08237763920893933,0.1571513257888098,0.11970208194974973,0.07290612728820585,0.5554629452167751
2015,20830,34006,122637,16999,502,2553,30261,227788,0.011207789699193987,0.002203803536621771,0.0914446766291464,0.14928793439513935,0.13284720880819006,0.07462640701002687,0.5383821799216816
2016,21983,31710,120544,18296,538,2557,31644,227272,0.01125083600267521,0.0023672075750642402,0.09672550952163048,0.13952444647822873,0.13923404554894575,0.08050265760850435,0.5303952972649513
2017,22740,30081,123251,19921,600,2729,32420,231742,0.01177602678841125,0.002589086138895841,0.09812636466415238,0.129803833573543,0.13989695437167193,0.08596197495490675,0.5318457595084188
