year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,975,6178,32817,2450,28,233,1516,44197,0.005271851030612938,0.0006335271624770912,0.022060320836255854,0.13978324320655247,0.034300970654116796,0.05543362671674548,0.7425164603932394
1995,972,5060,32797,2389,35,231,1491,42975,0.00537521815008726,0.0008144269924374636,0.02261780104712042,0.11774287376381617,0.03469458987783595,0.055590459569517164,0.7631646305991856
1996,882,4908,30928,2248,34,238,1415,40653,0.005854426487590092,0.0008363466410842988,0.021695815806951516,0.12072909748358054,0.03480677932747891,0.05529727203404423,0.7607802622192704
1997,769,5002,30411,2179,42,171,1161,39735,0.004303510758776897,0.0010570026425066063,0.01935321504970429,0.1258839813766201,0.029218573046432616,0.05483830376242607,0.7653454133635335
1998,1312,4575,29940,2049,18,235,1797,39926,0.005885888894454741,0.0004508340429795121,0.032860792466062216,0.11458698592395933,0.045008265290787955,0.05131994189250113,0.7498872914892551
1999,1536,3876,23353,1874,22,293,2090,33044,0.008866965258443289,0.0006657789613848203,0.04648347657668563,0.11729814792398015,0.06324900133155792,0.05671226243796151,0.7067243675099867
2000,2276,3624,26678,1896,20,308,2807,37609,0.008189529102076631,0.0005317876040309501,0.06051742933872212,0.09635991385040815,0.07463639022574384,0.050413464862134064,0.7093514850168843
2001,2735,3670,24684,1821,34,188,3187,36319,0.005176353974503703,0.0009361491230485421,0.07530493680993419,0.1010490376937691,0.08775021338693247,0.05013904567857044,0.6796442633332416
2002,2661,3289,23679,1783,16,237,3197,34862,0.006798233033101945,0.0004589524410532959,0.07632952785267627,0.09434341116401813,0.09170443462796168,0.051144512649876656,0.6792209282313121
2003,2777,3722,22800,1906,30,246,3351,34832,0.007062471290767111,0.000861276986678916,0.07972553973357832,0.10685576481396417,0.09620463941203491,0.05471979788700046,0.6545705098759761
2004,2187,3515,22082,1618,30,273,2723,32428,0.00841865054890835,0.0009251264339459727,0.0674417170346614,0.10839398051066979,0.08397064265449611,0.04989515233748612,0.6809547304798322
2005,2138,3642,23794,1971,18,301,2634,34498,0.008725143486578933,0.0005217693779349527,0.06197460722360717,0.10557133746883877,0.07635225230448142,0.057133746883877325,0.6897211432546815
2006,1947,2935,20704,1748,17,269,2397,30017,0.008961588433221175,0.0005663457374154645,0.06486324416164174,0.09777792584202286,0.07985474897558051,0.058233667588366594,0.6897424792617517
2007,2259,3027,21707,1755,14,290,2754,31806,0.00911777652015343,0.0004401685216625794,0.0710243350311262,0.0951707225051877,0.0865874363327674,0.055178268251273345,0.6824812928378293
2008,2008,3332,20277,1573,23,294,2497,30004,0.00979869350753233,0.0007665644580722571,0.06692441007865618,0.11105185975203306,0.08322223703506199,0.0524263431542461,0.6758098920143981
2009,1935,3386,19182,1456,28,294,2473,28754,0.010224664394519023,0.0009737775613827642,0.06729498504555888,0.11775752938721569,0.08600542533212771,0.05063643319190374,0.6671071850872922
2010,2189,3654,19989,1526,26,321,2693,30398,0.010559905256924797,0.0008553194289097967,0.0720113165339825,0.12020527666293836,0.0885913546943878,0.05020067109678268,0.6575761563260741
2011,2116,3390,18307,1458,28,357,2670,28326,0.012603262020758314,0.0009884911388830051,0.07470168749558709,0.11967803431476381,0.09425969074348654,0.05147214573183648,0.6462966885546847
2012,2139,3894,20387,1689,27,379,2736,31251,0.012127611916418675,0.0008639723528847077,0.06844580973408851,0.1246040126715945,0.08754919842565038,0.05404627051934338,0.6523631243800199
2013,1931,4064,20039,1850,22,410,2567,30883,0.013275912314218178,0.0007123660266165852,0.06252630897257391,0.13159343328044557,0.08312016319658064,0.05990350678366739,0.6488683094258978
2014,2532,3595,19674,2043,37,541,3313,31735,0.01704742397983299,0.001165905152040334,0.07978572553962501,0.11328186544824327,0.10439577753269261,0.06437687096265952,0.6199464313849062
2015,2818,3838,20844,2418,36,547,3611,34112,0.016035412757973735,0.0010553470919324578,0.08261022514071295,0.11251172607879925,0.10585717636022514,0.07088414634146341,0.6110459662288931
2016,2960,3934,21299,2763,37,598,3840,35431,0.016877875306934607,0.0010442832547768904,0.08354266038215122,0.11103271146735909,0.10837966752279078,0.07798255764725805,0.6011402444187294
2017,3012,3615,21018,2592,41,613,3961,34852,0.017588660622058994,0.001176403075863652,0.08642258693905658,0.10372431998163663,0.11365201423160794,0.07437162860094113,0.6030643865488351
