year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,4548,10963,48547,6236,51,500,6322,77167,0.006479453652468024,0.0006609042725517385,0.058937110422849145,0.1420685007840139,0.08192621198180569,0.08081174595358119,0.6291160729327303
1995,4821,10344,52044,5752,48,317,6253,79579,0.00398346297390015,0.0006031742042498649,0.060581309139345806,0.1299840410158459,0.07857600623280012,0.07228037547594214,0.653991630957916
1996,5635,10152,50315,5643,48,447,7182,79422,0.005628163481151319,0.000604366548311551,0.07095011457782478,0.12782352496789304,0.0904283447911158,0.0710508423358767,0.6335146432978268
1997,5712,9813,48363,5541,50,406,7265,77150,0.0052624756966947505,0.0006480881399870382,0.07403758911211925,0.12719377835385612,0.09416720674011665,0.07182112767336357,0.6268697342838626
1998,5749,10544,49420,5788,51,417,7507,79476,0.005246866978710554,0.0006417031556696361,0.07233630278323015,0.13266898183099302,0.09445618803160703,0.07282701696109517,0.6218229402586944
1999,5429,10158,45679,5440,60,414,7167,74347,0.005568482924664075,0.0008070265108208805,0.07302244878744267,0.13662958828197505,0.09639931671755417,0.07317040364775983,0.6144027331297833
2000,3960,10131,49118,5230,63,436,5606,74544,0.0058488946125778065,0.0008451384417256922,0.053122987765614936,0.13590631036703155,0.07520390641768619,0.07015990555913286,0.6589128568362309
2001,3612,9760,52713,6490,43,431,5214,78263,0.005507072307476074,0.0005494294877528334,0.04615207697123801,0.12470771628994544,0.06662151974751798,0.08292552036083463,0.673536664835235
2002,3557,10329,51440,6409,48,464,5428,77675,0.005973607981976183,0.0006179594464113293,0.04579336981010621,0.13297714837463792,0.06988091406501448,0.08251046025104602,0.6622465400708079
2003,3380,10133,48924,6132,56,504,5105,74234,0.006789341811029986,0.0007543713123366651,0.04553169706603443,0.1365007947840612,0.06876902766926206,0.08260365870086483,0.6590511086564108
2004,3595,9826,46399,5287,40,620,5393,71160,0.008712759977515458,0.0005621135469364812,0.05051995503091625,0.1380831928049466,0.07578695896571107,0.0742973580663294,0.6520376616076448
2005,3387,9408,45359,5581,44,581,5052,69412,0.008370310609116579,0.0006338961562842159,0.04879559730305999,0.1355385235982251,0.0727828041260877,0.08040396473232295,0.6534749034749034
2006,3256,9452,44585,5038,50,548,4983,67912,0.008069266109082342,0.0007362469077629874,0.04794439863352574,0.13918011544351513,0.07337436682765933,0.0741842384261986,0.6565113676522558
2007,3664,9046,41855,5201,68,527,5367,65728,0.008017891918208373,0.001034566699123661,0.055744888023369035,0.1376277994157741,0.08165469814995131,0.07912913826679649,0.636791017526777
2008,3466,8775,38375,4188,68,583,5416,60871,0.009577631384403082,0.0011171165251104794,0.056940086412248854,0.14415731629183026,0.08897504558821114,0.0688012353994513,0.6304315683987449
2009,3205,8701,37432,3481,40,595,5059,58513,0.010168680464170356,0.0006836087707005281,0.05477415275237981,0.14870199784663238,0.08645941927434929,0.05949105327021346,0.6397210876215542
2010,3353,8326,36881,3614,54,672,5104,58004,0.011585407902903248,0.0009309702779118681,0.05780635818219433,0.1435418247017447,0.08799393145300324,0.06230604785876836,0.6358354596234742
2011,2906,8714,37909,4103,67,695,4665,59059,0.011767893123825326,0.0011344587615774056,0.049205032255879716,0.14754736788635095,0.07898880780236713,0.06947289998137456,0.6418835401886249
2012,2920,8735,38236,4147,53,711,4814,59616,0.011926328502415458,0.0008890230810520666,0.04898013955984971,0.1465210681696189,0.08075013419216318,0.06956186258722491,0.6413714439076758
2013,2999,8900,35655,4463,57,801,4897,57772,0.013864848023263866,0.0009866371252509867,0.05191096032680191,0.15405386692515405,0.08476424565533476,0.07725195596482726,0.6171674859793672
2014,3316,7950,35074,4455,54,862,5275,56986,0.015126522303723721,0.0009476011651984698,0.0581897308110764,0.13950794932088584,0.09256659530410978,0.07817709612887376,0.615484504966132
2015,3283,6422,32072,4001,62,873,5212,51925,0.016812710640346652,0.0011940298507462687,0.06322580645161291,0.1236783822821377,0.10037554164660568,0.07705344246509388,0.617660086663457
2016,3561,6444,31994,4729,49,1108,5550,53435,0.02073547300458501,0.0009170019650042107,0.06664171423224478,0.12059511556096192,0.10386450828108917,0.08850004678581454,0.5987461401703004
2017,3671,6472,31988,5203,43,1191,5873,54441,0.021876894252493524,0.000789845888209254,0.06743079664223654,0.1188809904300068,0.10787825352216161,0.09557135247331974,0.5875718667915726
