year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,597,5275,22260,2302,16,407,1328,32185,0.012645642379990678,0.0004971259903681839,0.018549013515612865,0.16389622494951064,0.041261457200559265,0.07152400186422246,0.691626534099736
1995,646,4806,22698,1666,21,333,1314,31484,0.01057680091475035,0.0006670054630923644,0.020518358531317494,0.15264896455342397,0.041735484690636517,0.052915766738660906,0.7209376191081184
1996,632,5063,24611,1762,20,404,1373,33865,0.011929720950834194,0.0005905802450908018,0.018662335744869335,0.14950538904473645,0.04054333382548354,0.05203011959249963,0.726738520596486
1997,643,4612,23430,1593,16,395,1328,32017,0.01233719586469688,0.0004997345160383547,0.020083080863291376,0.14404847424805572,0.041477964831183434,0.049754817753068684,0.7317987319236655
1998,597,3852,22079,1474,18,400,1270,29690,0.013472549680026945,0.0006062647356012126,0.020107780397440215,0.12974065341865948,0.04277534523408555,0.049646345570899295,0.7436510609632873
1999,539,3698,21195,1354,18,345,1159,28308,0.012187367528613819,0.000635862653666808,0.01904055390702275,0.13063444962554754,0.04094248975554614,0.04783100183693655,0.7487282746926663
2000,1170,4992,20761,2148,22,522,2167,31782,0.01642439116481027,0.0006922157195897048,0.036813290541816125,0.15707003964508212,0.06818324837958593,0.06758542571266755,0.6532313888364483
2001,1224,4889,20060,2140,17,458,2144,30932,0.014806672701409543,0.0005495926548558127,0.03957067114961852,0.15805638174059228,0.0693133324712272,0.06918401655243761,0.6485193327298591
2002,1185,4838,19468,1944,12,446,2056,29949,0.014891983037830979,0.0004006811579685465,0.03956726434939397,0.161541286854319,0.06865003839861097,0.06491034759090454,0.650038398610972
2003,1002,4589,19934,1933,17,438,1937,29850,0.014673366834170854,0.0005695142378559464,0.0335678391959799,0.15373534338358458,0.06489112227805695,0.0647571189279732,0.6678056951423785
2004,1193,4966,19603,1942,18,459,2170,30351,0.01512306019571019,0.0005930611841454977,0.03930677737142104,0.16361899113703007,0.07149682053309611,0.06398471220058648,0.6458765773780106
2005,971,4192,18493,1346,19,406,1761,27188,0.014933058702368692,0.0006988377225246432,0.03571428571428571,0.15418567014859497,0.06477122259820509,0.049507135500956305,0.6801897896130645
2006,1044,4358,18862,1422,13,344,1824,27867,0.01234434994796713,0.00046650159687085084,0.037463666702551406,0.15638568916639753,0.06545376251480245,0.05102809775002692,0.6768579323213837
2007,1027,4986,18611,1299,15,333,1807,28078,0.011859819075432723,0.0005342260844789515,0.036576679250658876,0.17757675048080349,0.06435643564356436,0.0462639789158772,0.6628321105491845
2008,1246,4286,21853,1387,13,391,2069,31245,0.012514002240358457,0.0004160665706513042,0.03987838054088654,0.13717394783165307,0.06621859497519603,0.044391102576412225,0.6994079052648424
2009,1249,4928,22572,1124,10,400,2114,32397,0.012346822236626849,0.00030867055591567123,0.03855295243386733,0.15211284995524277,0.06525295552057289,0.034694570484921444,0.6967311788128531
2010,1322,5441,22373,968,13,412,2198,32727,0.012588993797170532,0.0003972255324349925,0.040394781067620004,0.16625416322913802,0.06716167079170104,0.02957802426131329,0.6836251413206221
2011,1558,5749,23383,974,17,429,2478,34588,0.01240314559962993,0.0004914999421764774,0.045044524112408925,0.16621371573956287,0.07164334451254771,0.028160055510581705,0.6760437145830924
2012,1545,5444,24226,1023,15,449,2481,35183,0.012761845209334053,0.0004263422675724071,0.043913253559957934,0.15473382031094562,0.07051701105647613,0.029076542648438165,0.6885711849472756
2013,1492,4936,23164,940,22,686,2849,34089,0.020123793599108215,0.0006453694740238787,0.04376778432925577,0.1447974419900848,0.08357534688609229,0.027574877526474816,0.6795153861949602
2014,1459,4162,21022,857,12,594,2602,30708,0.019343493552168817,0.00039077764751856197,0.04751204897746516,0.13553471408102125,0.08473361990360818,0.027908036993617297,0.6845773088446008
2015,1543,3467,18871,891,14,627,2652,28065,0.022340994120791022,0.0004988419739889542,0.05497951184749688,0.12353465170140744,0.09449492250133619,0.03174772848743987,0.6724033493675396
2016,1611,2963,16360,880,19,609,2637,25079,0.024283264882969814,0.0007576059651501256,0.06423701104509749,0.1181466565652538,0.10514773316320428,0.03508911838590056,0.652338609992424
2017,1572,2574,15066,915,14,663,2668,23472,0.02824642126789366,0.0005964553510565781,0.06697341513292433,0.10966257668711657,0.11366734832992502,0.038982617586912065,0.6418711656441718
