year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,23414,72074,195618,52164,396,1972,48544,394182,0.005002765220126743,0.0010046120827435043,0.05939895784180911,0.18284447285771546,0.12315123470884008,0.13233480980866708,0.49626314748009803
1995,22830,69533,206339,50184,409,1927,47652,398874,0.004831099545219794,0.0010253864628930439,0.05723611967689045,0.17432321986391694,0.11946629762782232,0.12581416687976654,0.517303709943491
1996,21307,63259,193961,46437,338,1976,42459,369737,0.0053443393547305245,0.0009141633106775897,0.057627448700021906,0.17109188423122382,0.11483568049721829,0.12559467946134684,0.524591804444781
1997,20650,60894,184979,41165,337,1729,39673,349427,0.0049481007477956765,0.0009644360624679833,0.0590967498218512,0.17426815901461534,0.11353730535991781,0.1178071528530995,0.5293780961402524
1998,18663,54459,171166,35185,325,1623,35720,317141,0.005117597535481064,0.0010247807757432813,0.05884764190060572,0.17171857312677957,0.1126312901832308,0.11094434336777648,0.5397157731103831
1999,17601,46998,160978,35357,287,1409,33540,296170,0.004757402842961812,0.0009690380524698652,0.05942870648613972,0.15868588986055307,0.11324577100989297,0.11938076104939731,0.5435324306985853
2000,17099,43924,155562,34151,289,1357,32298,284680,0.004766755655472812,0.0010151749332583955,0.060063931431783055,0.15429253899114795,0.11345370240269777,0.11996276521006041,0.5464451313755796
2001,17370,46812,156031,37708,336,1278,33094,292629,0.004367304675886532,0.0011482115579795576,0.05935843679197892,0.15997047455993768,0.11309200386837942,0.12885940901277726,0.5332041595330607
2002,16593,43899,148061,35755,339,1365,32252,278264,0.004905413564097404,0.0012182675444901245,0.059630422907742286,0.15776025644711497,0.11590432107638789,0.12849308570278584,0.5320882327573815
2003,16452,43457,142287,34606,406,1288,31488,269984,0.004770653075737821,0.0015037928173521394,0.060936944411520685,0.16096139030461065,0.11662913357828612,0.1281779661016949,0.5270201197107977
2004,16144,41030,139977,30306,392,1331,30943,260123,0.0051168101244411296,0.0015069793905191007,0.06206294714423561,0.15773307243111911,0.11895526347151156,0.11650642196191802,0.5381185054762555
2005,16079,38980,136728,27683,417,1208,30919,252014,0.004793384494512209,0.0016546699786519797,0.06380201099938893,0.1546739466855016,0.12268762846508527,0.10984707198806415,0.5425412873887958
2006,15650,39433,135801,24724,427,1237,30671,247943,0.0049890499025985816,0.0017221700148824528,0.06311934597871285,0.15904058594112355,0.1237018185631375,0.09971646709122661,0.5477105625083184
2007,14622,37482,132791,21953,380,1050,28601,236879,0.004432642826084203,0.0016041945465828545,0.06172771752666974,0.15823268419741723,0.12074096901793743,0.09267600758193001,0.5605857843033785
2008,14152,40401,138545,20180,376,1122,28351,243127,0.004614872062749098,0.0015465168409925676,0.05820826152586919,0.16617241194931046,0.11660983765686246,0.08300188790220749,0.5698462120620087
2009,14122,37262,128327,15508,319,1041,27121,223700,0.004653553866785874,0.0014260169870362093,0.06312919088064371,0.16657130084935182,0.12123826553419759,0.06932498882431828,0.5736566830576665
2010,13885,38732,128754,15556,371,981,27055,225334,0.004353537415569777,0.0016464448330034526,0.061619640178579356,0.17188706542288337,0.12006621282185556,0.06903529871213399,0.5713918006159745
2011,13608,43238,129066,17415,380,1006,27203,231916,0.004337777471153348,0.0016385242932786008,0.05867641732351368,0.18643819313889512,0.1172967798685731,0.0750918435985443,0.5565204643060419
2012,12919,42338,122662,16481,388,1035,25727,221550,0.0046716316858496955,0.0017512976754682915,0.05831189347777026,0.19109907470097043,0.1161227713834349,0.0743895283231776,0.5536538027533289
2013,12071,35873,117936,13747,401,1120,25674,206822,0.0054152846408989375,0.0019388653044647088,0.05836419723240274,0.17344866600264963,0.12413573024146367,0.06646778389146223,0.5702294726866581
2014,11225,31710,111578,11705,349,1274,23346,191187,0.006663632987598529,0.001825437922034448,0.05871215093076412,0.16585855732868868,0.12211081297368545,0.06122278188370548,0.5836066259735233
2015,11414,27960,105963,11778,363,1373,22879,181730,0.007555164254663512,0.001997468772354592,0.06280746161888516,0.15385461949045287,0.12589555934628294,0.06481043306003412,0.5830792934573268
2016,11105,25284,101540,11324,378,1454,21914,172999,0.00840467285938069,0.002184983728229643,0.06419112249203753,0.1461511338215828,0.12667125243498517,0.0654570257631547,0.5869398089006295
2017,10880,23891,104025,12170,324,1505,20604,173399,0.008679404148812854,0.001868522886521837,0.06274545989307896,0.13778049469720124,0.1188242146725183,0.07018494916348998,0.5999169545383768
