year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,11336,21945,57343,8350,177,866,14708,114725,0.007548485508825452,0.0015428197864458487,0.09881019830028329,0.1912835040313794,0.128202222706472,0.07278274133798213,0.4998300283286119
1995,10098,24383,61478,8647,148,954,13804,119512,0.007982462012182877,0.0012383693687663163,0.08449360733650177,0.20402135350425063,0.11550304571925832,0.07235256710623202,0.5144085949528081
1996,10332,23586,65139,9973,197,1088,14399,124714,0.008723960421444264,0.0015796141571916545,0.08284555061981815,0.18912070818031657,0.11545616370255143,0.07996696441458057,0.5223070385040973
1997,10790,25126,67188,12407,134,872,14762,131279,0.0066423418825554735,0.001020726848924809,0.08219136343207976,0.19139390153794592,0.11244753540170171,0.09450864190007541,0.5117954889967169
1998,12714,24213,65031,10767,190,957,16700,130572,0.007329289587354104,0.0014551358637380143,0.09737156511350059,0.18543791930888706,0.12789878381276232,0.08246025181509052,0.4980470544986674
1999,10827,21481,59613,8126,170,944,14520,115681,0.008160372057641273,0.0014695585273294665,0.09359358926703608,0.18569168662096627,0.12551758715778735,0.0702448976063485,0.5153223087628911
2000,10230,21339,57925,7341,135,922,13786,111678,0.008255878507852935,0.0012088325363992908,0.09160264331381293,0.19107612958684791,0.12344418775407869,0.0657336270348681,0.5186787012661401
2001,10644,19552,56406,7137,99,850,14288,108976,0.007799882542945236,0.0009084569079430333,0.09767288210248128,0.17941565115254735,0.13111143738070768,0.06549148436352958,0.5176002055498459
2002,10334,19634,53406,7437,152,1027,13719,105709,0.009715350632396485,0.001437909733324504,0.0977589420011541,0.18573631384271916,0.1297808133649926,0.0703535176758838,0.5052171527495294
2003,9542,18997,50595,7224,116,940,12535,99949,0.009404796446187556,0.0011605919018699536,0.09546868903140601,0.19006693413640957,0.12541396112017128,0.0722768611992116,0.5062081661647441
2004,9811,19924,52069,7902,169,1039,13081,103995,0.009990864945430068,0.0016250781287561902,0.09434107409010048,0.19158613394874754,0.1257848935044954,0.07598442232799654,0.5006875330544738
2005,9370,20939,50707,7929,144,1041,12448,102578,0.010148374895201701,0.0014038097837742985,0.09134512273586928,0.20412759071145858,0.12135155686404492,0.07729727621907231,0.4943262687905789
2006,9241,20909,46822,9225,132,1094,12572,99995,0.010940547027351368,0.001320066003300165,0.09241462073103655,0.20910045502275112,0.1257262863143157,0.09225461273063654,0.46824341217060855
2007,9570,18992,45463,8939,162,1032,13085,97243,0.010612589080962126,0.001665929681313822,0.09841325339613134,0.19530454634266733,0.13455981407402076,0.09192435445224849,0.46751951297265615
2008,9443,21713,47855,8004,142,1139,12896,101192,0.011255830500434817,0.0014032729860067989,0.09331765356945212,0.21457229820539173,0.12744090441932168,0.07909716183097477,0.47291287848841806
2009,9338,22022,46580,6476,175,1057,12440,98088,0.01077603784356904,0.0017841122257564637,0.0952002283663649,0.22451268248919337,0.12682489193377375,0.06602234727999348,0.474879699861349
2010,9412,21014,44481,5247,142,958,12126,93380,0.010259156136217605,0.0015206682373099165,0.10079246091240095,0.22503748125937031,0.12985650032126794,0.05618976226172628,0.476343970871707
2011,9082,21423,46703,5408,156,857,11817,95446,0.008978899063344719,0.0016344320348678834,0.09515328038891101,0.2244515223267607,0.12380822664124216,0.056660310542086624,0.4893133290027869
2012,8740,21384,48247,5463,116,957,11660,96567,0.009910217776258971,0.0012012385183344206,0.09050710905381755,0.2214421075522694,0.12074518210154608,0.056572120910870174,0.49962202408690337
2013,9382,21476,49875,5905,125,1465,12782,101010,0.014503514503514503,0.0012375012375012374,0.09288189288189289,0.2126126126126126,0.12654192654192653,0.05845955845955846,0.49376299376299376
2014,8797,18505,49082,6290,101,1475,12459,96709,0.015251941391183861,0.0010443702240742847,0.09096361248694537,0.19134723758905584,0.12882978833407438,0.06504048227155694,0.5075225677031093
2015,9407,17085,51483,8526,117,1672,13681,101971,0.016396818703356835,0.001147385040844946,0.09225171862588383,0.16754763609261455,0.1341655961008522,0.08361200733541889,0.5048788381010287
2016,10217,17281,52907,11743,139,1527,14619,108433,0.014082428780906181,0.0012818975773058018,0.09422408307434084,0.15937030239871625,0.13482058045060083,0.10829728957051821,0.48792341814761186
2017,11230,17917,52617,11772,148,1259,16359,111302,0.011311566728360676,0.001329715548687355,0.10089665953891215,0.1609764424718334,0.14697849095254353,0.10576629350775368,0.47274083125190924
