year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,82100,164650,452322,128873,2016,4700,175433,1010094,0.0046530322920441064,0.0019958538512257276,0.08127956408017471,0.1630046312521409,0.17367987533833484,0.12758515544097876,0.44780188774510093
1995,74351,146562,425184,102596,1550,4290,152683,907216,0.004728752579319589,0.001708523659194723,0.08195512424824959,0.16155138357348195,0.16829839861730833,0.1130888344120915,0.4686689829103543
1996,64857,129828,399522,89900,1353,4174,132206,821840,0.005078847464226614,0.0016463058502871606,0.07891682079236835,0.15797235471624646,0.16086586196826633,0.10938868879587267,0.48613112041273243
1997,63628,118306,386435,79697,1093,4075,124890,778124,0.005236954521387336,0.00140466043972426,0.08177102878204502,0.15204003475024547,0.1605014110861508,0.10242197901619793,0.4966239314042492
1998,62023,104821,363295,68171,924,3843,115915,718992,0.0053449829761666335,0.0012851325188597369,0.08626382491043016,0.14578882657943343,0.1612187618221065,0.09481468500344928,0.5052837861895543
1999,58860,93217,338118,58261,903,3563,107147,660069,0.00539792052043044,0.0013680387959440605,0.08917249560273244,0.1412231145531755,0.16232696884719627,0.08826501471815826,0.512246446962363
2000,60090,87946,340901,54231,952,3530,105111,652761,0.005407798566397196,0.0014584204632323316,0.09205513197020043,0.13472925006242714,0.16102524507438404,0.08307941191339556,0.5222447419499633
2001,56961,80400,329316,48287,960,3546,98022,617492,0.005742584519313611,0.0015546760119969165,0.09224572949932955,0.13020411600474177,0.15874213754996017,0.07819858394926574,0.5333121724653923
2002,53583,76700,318025,47366,909,3885,95030,595498,0.006523951381868621,0.0015264534893484108,0.08998015106683818,0.12879976087241268,0.15958072067412485,0.07954014958908343,0.5340488129263239
2003,48987,75453,311422,45204,934,3775,89486,575261,0.006562238705561475,0.0016236108479455412,0.085156129130951,0.13116307206641856,0.15555721663731767,0.07857998369435787,0.5413577489174479
2004,46911,70696,311036,41002,889,3608,84914,559056,0.006453736298331473,0.0015901805901376606,0.08391109298531811,0.12645602587218455,0.15188818293695086,0.07334148994018488,0.5563592913768924
2005,46150,68034,302220,35736,874,3636,85839,542489,0.0067024400494756576,0.0016110925751489891,0.08507084936284422,0.12541083782343973,0.15823177981489026,0.06587414675689277,0.5570988536173084
2006,45387,68565,295605,32134,921,3169,83966,529747,0.005982100889669975,0.0017385657681874556,0.08567674757950493,0.1294297088987762,0.1585020774067621,0.06065914483706373,0.5580116546200355
2007,45094,64857,288929,28030,801,2926,79915,510552,0.00573105188110124,0.0015688901424340713,0.08832401009103871,0.1270330935928172,0.15652666133909965,0.054901361663454454,0.5659149312900547
2008,42170,65735,297684,25114,836,2801,77585,511925,0.005471504614933828,0.001633051716560043,0.08237534795136006,0.12840748156468232,0.15155540362357767,0.04905796747570445,0.5814992430531816
2009,43676,62842,293603,21870,778,2586,75176,500531,0.005166513163020872,0.0015543492810635106,0.08725933059091245,0.12555066519356445,0.150192495569705,0.04369359739956166,0.586583048802172
2010,43867,64973,290755,20433,866,2771,75977,499642,0.005545970915175265,0.0017332410005563984,0.08779686255358837,0.13003910800132895,0.15206287701994628,0.040895281021211184,0.5819266594881936
2011,45568,65397,287547,19311,774,2752,77490,498839,0.005516810032896386,0.0015516028217521084,0.0913481103121448,0.13109841050920237,0.1553407011079727,0.038711889006272565,0.576432476209759
2012,47423,64553,294239,17348,684,2848,79610,506705,0.005620627386743766,0.0013498978695690787,0.09359094542189242,0.12739759820803032,0.15711311315262333,0.03423688339369061,0.5806909345674505
2013,46130,56442,286674,15482,648,3353,77372,486101,0.00689774347306424,0.0013330562989995907,0.09489797387785666,0.11611167226564027,0.1591685678490684,0.03184934818072788,0.589741638054643
2014,45303,50781,272765,15736,617,5433,75398,466033,0.011657972718670136,0.0013239405793151987,0.09720985423779002,0.10896438664214766,0.16178682625479313,0.033765849199520206,0.5852911703677637
2015,44546,44276,257940,15313,609,6074,75165,443923,0.013682553055372216,0.0013718595341984984,0.1003462312157739,0.09973801762918344,0.1693199045780462,0.034494720931332684,0.581046713056093
2016,45079,39821,250968,14384,629,6281,74285,431447,0.014557987423716006,0.0014578847459827046,0.10448328531662059,0.09229638866419282,0.17217642027873645,0.03333897326902262,0.5816890603017288
2017,43819,35002,252143,13410,548,6324,70799,422045,0.01498418415097916,0.001298439739838169,0.10382542145979694,0.08293428425878757,0.16775225390657394,0.0317738629766968,0.5974315535073275
