year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,30391,104118,225937,21342,772,2334,46308,431202,0.005412776378588225,0.0017903442006298672,0.07047972875821541,0.2414599190170732,0.10739282285332628,0.049494204572335006,0.523970204219832
1995,30615,101995,234911,22350,677,2320,46508,439376,0.0052802155784567205,0.0015408215287134482,0.06967836204071229,0.23213602927788501,0.10585011470813153,0.05086759404246022,0.5346468628236408
1996,28159,98539,238511,24566,619,2289,43068,435751,0.005252999993115334,0.0014205360400779345,0.06462176793627554,0.2261360272265583,0.09883626199366152,0.05637623321575854,0.5473561735945528
1997,29292,100002,238228,24442,614,2348,45071,439997,0.005336400020909233,0.0013954640599822272,0.06657318118078077,0.22727882235560698,0.10243478932810905,0.055550378752582404,0.5414309643020293
1998,28667,99951,233325,24616,612,2311,43723,433205,0.005334656802206807,0.00141272607656883,0.06617421313235074,0.23072448378942995,0.10092912131669764,0.056822982190879605,0.5386018166918665
1999,26680,98457,230463,25577,552,2155,41474,425358,0.005066320605231358,0.0012977303824072898,0.06272363514968568,0.23146855119687415,0.09750374978253612,0.06013052534570879,0.5418094875375566
2000,24715,97888,232767,25266,560,2181,40051,423428,0.005150816667768782,0.001322538896813626,0.05836883720490851,0.2311797991630218,0.09458750956479024,0.059670121012309056,0.5497203774903879
2001,24573,101889,237241,24647,505,2083,40465,431403,0.004828431883876561,0.0011705991845212017,0.05696066091334553,0.2361805550726351,0.09379860594386223,0.057132194259196155,0.5499289527425633
2002,24169,99535,229307,24866,548,2196,39118,419739,0.005231822632635995,0.0013055732252661772,0.057581020586602624,0.23713545798698715,0.0931960099013911,0.059241576312899204,0.5463085393542177
2003,23369,100687,232081,26892,506,2139,38243,423917,0.005045799059721597,0.0011936298850954315,0.05512635728220383,0.23751583446759625,0.09021341441838851,0.06343694638337222,0.5474680185036221
2004,23591,101193,227147,26988,532,2339,38244,420034,0.0055685968278758385,0.0012665641352842866,0.05616450096896918,0.2409162115447797,0.09104977216130122,0.06425194150949685,0.5407824128522929
2005,25128,104298,221091,28466,585,2302,40650,422520,0.005448262804127615,0.0013845498437943765,0.059471740982675374,0.24684748650951435,0.09620846350468616,0.0673719587238474,0.5232675376313547
2006,25605,107407,227427,30126,540,2495,42124,435724,0.005726101844286751,0.0012393166316291965,0.05876426361641773,0.2465023730618465,0.09667587739027458,0.06914009786011328,0.521951969595432
2007,25744,108800,233588,27966,585,2385,42262,441330,0.005404119366460472,0.0013255387125280403,0.05833276686379806,0.24652754174880476,0.09576054199805134,0.06336754809326355,0.5292819432170938
2008,25877,111602,234616,26743,604,2284,43099,444825,0.005134603495756758,0.001357837351767549,0.05817343899286236,0.2508896757151689,0.09688978811892317,0.06012027201708537,0.5274343843084359
2009,23304,107830,216244,20024,494,2306,37929,408131,0.005650146644092215,0.0012103956817786446,0.05709931370074804,0.26420438535666246,0.09293339638498423,0.049062678404727895,0.5298396838270065
2010,22554,102690,207719,18310,476,2013,34653,388415,0.0051826010838922285,0.0012254933511836566,0.058066758492849146,0.2643821685568271,0.08921643087934297,0.04714030096674948,0.5347862466691554
2011,21721,106144,217386,17032,508,1995,33774,398560,0.005005519871537535,0.001274588518667202,0.05449869530309113,0.26631874749096746,0.08474006423123244,0.042733841830590126,0.5454285427539141
2012,22609,99323,213151,16120,479,1984,34464,388130,0.005111689382423415,0.0012341225877927498,0.05825110143508618,0.25590137325123025,0.08879499136887126,0.041532476232190245,0.5491742457424059
2013,21513,90702,202741,14606,469,2369,33700,366100,0.006470909587544387,0.0012810707456978967,0.0587626331603387,0.24775198033324228,0.092051352089593,0.03989620322316307,0.5537858508604206
2014,21421,79373,192694,13630,510,2420,32767,342815,0.007059201026792876,0.0014876828610183336,0.06248559718798769,0.2315330426031533,0.09558216530781909,0.039759053717019384,0.5620932572962093
2015,22826,74841,187907,13435,517,2684,34852,337062,0.007962926701912407,0.0015338424384831277,0.06772047872498235,0.22203926873987576,0.1033993745957717,0.03985913570797064,0.557484973091004
2016,24906,72082,190377,15306,678,2847,37769,343965,0.008277004927826959,0.0019711307836553136,0.07240852993763901,0.20956201939150787,0.10980477664878693,0.04449871353190005,0.5534778247786839
2017,24708,64786,180902,15798,591,2715,37364,326864,0.008306206862793089,0.0018080914386411474,0.07559107151598218,0.19820475794214107,0.11431053893974252,0.0483320279994126,0.5534473053012874
