year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,301,2070,13899,964,1,149,522,17906,0.008321233106221378,5.5847202055177036e-05,0.016810007818608287,0.11560370825421647,0.029152239472802412,0.05383670278119066,0.7762202613649056
1995,340,2248,14421,1148,6,146,556,18865,0.0077391995759342695,0.0003180492976411344,0.018022793532997614,0.11916247018287834,0.02947256824807845,0.06085343228200371,0.7644314868804665
1996,301,1991,13433,1224,14,155,541,17659,0.008777393963418086,0.0007927968741151821,0.017045132793476414,0.11274704116880911,0.03063593634973668,0.06931309813692735,0.7606886007135172
1997,353,2300,13367,1154,6,159,559,17898,0.008883674153536709,0.00033523298692591353,0.019722874064141246,0.12850597832160018,0.03123253994859761,0.0644764778187507,0.7468432227064477
1998,286,2274,13134,1127,7,212,570,17610,0.012038614423622942,0.00039750141964792733,0.01624077228847246,0.12913117546848382,0.03236797274275979,0.0639977285633163,0.7458262350936967
1999,216,2337,11375,1036,10,142,424,15540,0.009137709137709138,0.0006435006435006435,0.013899613899613899,0.1503861003861004,0.027284427284427284,0.06666666666666667,0.7319819819819819
2000,294,2093,11092,986,4,169,523,15161,0.01114702196425038,0.0002638348393905415,0.0193918606952048,0.13805157971110085,0.034496405250313306,0.06503528790976848,0.7316140096299716
2001,274,2165,11583,1086,7,164,505,15784,0.010390268626457172,0.00044348707551951344,0.017359351241763812,0.13716421692853523,0.031994424733907754,0.06880385200202736,0.7338443993917891
2002,270,2243,11501,1018,5,163,496,15696,0.010384811416921508,0.00031855249745158003,0.017201834862385322,0.1429026503567788,0.03160040774719674,0.0648572884811417,0.7327344546381244
2003,286,1959,10327,1078,9,160,508,14327,0.01116772527395826,0.0006281845466601522,0.01996230892720039,0.13673483632302647,0.035457527744817474,0.07524254903329378,0.7208068681510434
2004,297,1910,9342,906,9,159,504,13127,0.012112440009141464,0.0006856098118381961,0.02262512379066047,0.1455016378456616,0.03839414946293898,0.06901805439171174,0.7116629846880476
2005,460,2043,9732,1073,12,180,706,14206,0.012670702520061946,0.0008447135013374631,0.032380684217936086,0.14381247360270308,0.04969731099535408,0.07553146557792483,0.6850626495846825
2006,540,2393,9314,1012,8,193,813,14273,0.013522034610803615,0.0005604988439711343,0.03783367196805157,0.16765921670286554,0.05696069501856652,0.07090310376234848,0.6525607790933932
2007,622,2164,9010,914,12,207,911,13840,0.01495664739884393,0.0008670520231213873,0.044942196531791906,0.15635838150289016,0.06582369942196532,0.06604046242774567,0.6510115606936416
2008,761,2106,9164,882,3,232,1068,14216,0.016319639842431063,0.00021102982554867754,0.0535312324141812,0.14814293753517163,0.0751266178953292,0.062042768711311196,0.644625773776027
2009,958,2354,9296,852,10,225,1298,14993,0.015007003268191823,0.0006669779230307477,0.06389648502634562,0.15700660308143802,0.08657373440939105,0.056826519042219706,0.6200226772493831
2010,1176,1966,9070,859,10,237,1513,14831,0.01598004180432877,0.0006742633672712562,0.07929337199109972,0.13256017800552897,0.10201604746814105,0.0579192232486009,0.6115568741150293
2011,1315,2433,9833,980,24,259,1689,16533,0.015665638420129437,0.0014516421702050445,0.07953789390915139,0.14716022500453638,0.10215931772818,0.05927538861670598,0.5947498941510918
2012,1281,2377,10535,1151,28,272,1712,17356,0.015671813781977413,0.0016132749481447338,0.07380732887762158,0.13695551970500114,0.09864023968656373,0.0663171237612353,0.6069946992394561
2013,1446,2934,10798,1416,16,330,1954,18894,0.017465862178469356,0.0008468296813803324,0.07653223245474754,0.15528739282311846,0.10341907483857309,0.07494442680215942,0.5715041812215518
2014,1407,2707,11384,1514,22,358,1960,19352,0.01849937990905333,0.0011368334022323274,0.07270566349731294,0.13988218272013228,0.10128152128978916,0.07823480777180652,0.5882596114096734
2015,1298,2997,11440,1583,21,345,1812,19496,0.01769593762823143,0.001077144029544522,0.06657775954041854,0.15372384078785392,0.0929421419778416,0.08119614279852277,0.5867870332375872
2016,1365,3243,12195,1954,16,356,1903,21032,0.01692658805629517,0.0007607455306200076,0.0649011030810194,0.15419360973754279,0.09048117154811715,0.09290604792696842,0.5798307341194371
2017,1533,2942,11887,1773,10,399,2125,20669,0.01930427209831148,0.0004838163433160772,0.07416904543035464,0.14233876820358993,0.1028109729546664,0.08578063766994048,0.575112487299821
