year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,27216,96175,297792,47413,662,5231,53930,528419,0.009899341242461002,0.001252793711051268,0.051504582537721014,0.18200518906398142,0.10205916138518865,0.08972614535056461,0.5635527867090321
1995,28433,93539,297624,46261,600,4835,53799,525091,0.009207927768710567,0.001142659081949605,0.05414870946178853,0.17813864644414015,0.10245652658301133,0.08810091965011779,0.566804611010282
1996,24405,93336,311071,45528,538,4617,47896,527391,0.008754415604361849,0.0010201160050133582,0.046274964874258376,0.17697685398499405,0.09081687021583607,0.08632684289265459,0.5898299364228817
1997,25862,94472,315908,45419,523,4566,48706,535456,0.008527311301021932,0.0009767375844140322,0.04829901990079483,0.17643279746608498,0.09096172234506664,0.08482302934321401,0.5899793820594036
1998,20682,90805,310612,43021,443,4543,40628,510734,0.00889504125435158,0.0008673791053660026,0.04049466062568773,0.17779313693625254,0.07954825799731367,0.08423367153939233,0.6081678525416362
1999,16685,87023,288049,39192,397,4129,35616,471091,0.008764760948521624,0.0008427246540477318,0.03541778552339145,0.18472651780653843,0.07560322740192447,0.08319411748473225,0.611450866180844
2000,17636,88636,293277,39026,418,4271,37935,481199,0.008875745793320435,0.0008686634843380805,0.036650117726761695,0.18419822152581364,0.07883432841714134,0.08110158167410988,0.6094713413785149
2001,17906,96910,295976,42229,452,4466,40023,497962,0.008968555833577663,0.000907699784320892,0.035958567119579406,0.19461324358083548,0.08037360280503332,0.08480365971700651,0.5943746711596467
2002,16922,99164,287045,42767,526,4809,40128,491361,0.009787101540415295,0.0010704960304134842,0.03443903769326422,0.20181495885916872,0.08166704317192451,0.0870378397959952,0.5841835229088186
2003,16104,95083,281383,41017,526,4660,38185,476958,0.009770252307331044,0.0011028224707416586,0.03376397921829595,0.19935298286222267,0.08005946016211071,0.08599708989051447,0.5899534130887835
2004,16457,96954,283103,40853,517,4646,39163,481693,0.009645147427926085,0.0010732977228234582,0.03416491416732234,0.2012775772120417,0.08130282150664428,0.08481128021374609,0.5877249617494961
2005,16228,100183,279051,41471,590,4671,40162,482356,0.009683719078854621,0.0012231629750640606,0.03364320128701623,0.20769514632346234,0.08326215492292,0.08597591820149433,0.5785166972111884
2006,15973,104426,280384,37425,539,4548,40209,483504,0.009406333763526259,0.0011147787815612693,0.03303592110923591,0.2159775306926106,0.0831616698103842,0.07740370296833118,0.5799000628743506
2007,16132,98508,263922,33779,516,4452,39360,456669,0.009748855297819646,0.0011299212339790964,0.035325366950679817,0.21570984673800936,0.0861893406384055,0.07396823519879825,0.5779284339423083
2008,16316,102544,260786,28532,543,4419,39997,453137,0.009752017601740754,0.0011983130929498142,0.036006770579317074,0.22629800700450417,0.08826690382820207,0.06296550491352505,0.5755124829797611
2009,16009,104213,250450,22890,519,4022,38332,436435,0.00921557620264186,0.001189180519435884,0.036681292746915346,0.23878240746044657,0.08782980283432813,0.0524476726202069,0.5738540676160253
2010,15712,106521,246742,21118,476,3699,36366,430634,0.008589660825666343,0.0011053470000046443,0.036485739630405405,0.24735854577204772,0.08444758193732961,0.04903932341617243,0.5729738014183738
2011,15283,112709,253520,21068,513,3631,35484,442208,0.00821106809465229,0.0011600875606049641,0.034560659237282,0.2548777950647659,0.08024278167740068,0.047642738258918876,0.5733048701063753
2012,15207,103421,236950,19512,495,3658,34595,413838,0.008839207612640695,0.0011961202209560262,0.0367462630304612,0.24990696842725899,0.08359551322014895,0.047148884346048456,0.5725670431424857
2013,14257,91433,227766,19532,455,4041,33121,390605,0.01034548968907208,0.0011648596408136097,0.036499788789186006,0.2340804649198039,0.08479410145799465,0.05000448022938774,0.583110815273742
2014,14771,78845,227668,18015,464,5042,33030,377835,0.013344449296650655,0.0012280492807707068,0.03909378432384506,0.2086757447033758,0.08741911151693199,0.04767954265750923,0.6025593182209166
2015,15695,69303,213993,17229,500,5149,33898,355767,0.014472955614208175,0.0014054142177323922,0.044115952294619794,0.19479884306301595,0.09528146230538527,0.048427763114622775,0.6014976093904156
2016,16111,66883,212807,19762,683,5754,34877,356877,0.016123202111651913,0.0019138246510702567,0.04514440549545081,0.18741190942537625,0.09772834898298294,0.05537482101676488,0.596303488316703
2017,16509,58573,203208,20253,710,5859,34683,339795,0.017242749304727852,0.002089495136773643,0.04858517635633249,0.17237746288203182,0.10207036595594403,0.05960358451419238,0.5980311658499978
