year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,15209,40764,104025,15461,226,1616,21225,198526,0.008139991739117294,0.0011383899338121958,0.07660961284668003,0.20533330646867412,0.10691294842992857,0.07787896799411664,0.5239867825876712
1995,16121,41694,103727,16272,400,1461,21770,201445,0.007252599965251061,0.001985653652361687,0.08002680632430688,0.20697460845392043,0.1080692000297848,0.08077639057807343,0.5149147409963017
1996,14423,41447,109506,15939,223,1545,19710,202793,0.007618606164907072,0.0010996434788183025,0.07112178428249495,0.20438082182323847,0.09719270389017372,0.07859738748378889,0.5399890528765786
1997,13368,40015,109039,14644,229,1517,18560,197372,0.007685993960642847,0.0011602456275459539,0.06772997182984415,0.2027389903329753,0.09403562815394281,0.07419492126542772,0.5524542488296212
1998,13258,38268,97593,13565,204,1513,18053,182454,0.008292501123570873,0.0011180900391331513,0.07266489087660452,0.2097405373409188,0.09894548762975873,0.0743475067688294,0.5348909862211845
1999,12675,34472,93616,12132,231,1375,17066,171567,0.008014361736231327,0.0013464127716868628,0.07387784364125968,0.2009244201973573,0.0994713435567446,0.07071289933378797,0.5456527187629323
2000,12958,31661,96116,12348,182,1422,17177,171864,0.008273984080435693,0.0010589768654284783,0.07539682539682539,0.18422124470511567,0.09994530559046688,0.0718475073313783,0.5592561560303496
2001,13309,34573,94537,12569,185,1486,17726,174385,0.008521375118272787,0.0010608710611577832,0.07631963758350775,0.19825673079680017,0.10164865097342088,0.07207615333887663,0.542116581127964
2002,12885,35171,100185,12772,163,1573,17587,180336,0.008722606689734718,0.0009038683346641824,0.07144996007452754,0.19503038772069914,0.09752351166711028,0.07082335196522048,0.5555463135480436
2003,12827,34846,103404,12958,206,1501,17758,183500,0.00817983651226158,0.001122615803814714,0.06990190735694823,0.18989645776566758,0.09677384196185286,0.0706158038147139,0.5635095367847411
2004,12802,35244,101271,12957,186,1557,17635,181652,0.008571334199458306,0.0010239358773919361,0.0704754145288794,0.19401933367097526,0.09708123224627309,0.07132869442670602,0.557500055050316
2005,13146,35692,93814,13900,187,1481,18044,176264,0.008402169473063133,0.0010609086370444334,0.07458130985340171,0.20249171696999954,0.10236917351245858,0.07885898425089638,0.5322357373031362
2006,12975,34377,81267,13358,207,1488,17803,161475,0.009215048769159313,0.0012819321876451463,0.08035299581978635,0.21289363678588016,0.11025236104660165,0.08272488001238582,0.5032791453785416
2007,12918,34121,79982,13459,222,1559,18072,160333,0.009723512938696338,0.0013846182632396326,0.08056981407445754,0.21281333225225,0.11271541105075063,0.08394404146370367,0.4988492699569022
2008,13823,35081,79422,10881,212,1466,19184,160069,0.009158550375150716,0.001324428840062723,0.08635650875559915,0.21916173650113388,0.11984831541397772,0.0679769349468042,0.4961735251672716
2009,13374,37975,83390,10404,228,1529,18474,165374,0.009245709724624185,0.0013786931440250584,0.08087123731662776,0.22963101817698067,0.1117104260645567,0.06291194504577503,0.5042509705274106
2010,13005,37476,80460,10190,195,1450,17987,160763,0.00901948831509738,0.0012129656699613716,0.08089547968126995,0.23311334075626855,0.11188519746459073,0.06338523167644296,0.500488296436369
2011,12350,36341,79880,11031,208,1403,17243,158456,0.008854192962084112,0.0013126672388549504,0.07793961730701267,0.22934442368859495,0.10881885192103802,0.06961553996061998,0.5041147069217953
2012,12867,35731,82448,11564,216,1588,17902,162316,0.009783385494960448,0.001330737573621824,0.07927129796200005,0.22013233445871017,0.11029103723600878,0.0712437467655684,0.5079474605091303
2013,11583,33348,81495,11214,195,2180,16989,157004,0.013884996560597182,0.0012420065730809407,0.07377519044100787,0.21240223179027287,0.10820743420549794,0.0714249318488701,0.5190632085806731
2014,10744,29508,75891,10583,175,1777,15744,144422,0.012304219578734541,0.0012117267452327208,0.07439309800445916,0.20431790170472644,0.10901386215396547,0.07327830939884505,0.5254808824140367
2015,11418,28406,74022,10450,234,1849,16506,142885,0.012940476607061623,0.0016376806522728068,0.07991041746859362,0.19880323336949296,0.11551947370262798,0.07313573853098645,0.5180529796689646
2016,12202,29103,75779,12276,247,2100,17648,149355,0.014060459977904992,0.0016537779116869203,0.08169796792876034,0.19485788892236616,0.11816142747146062,0.08219343175655318,0.5073750460312678
2017,12550,28608,72207,12251,242,2142,17934,145934,0.014677868077350035,0.0016582838817547658,0.08599777981827401,0.1960338235092576,0.12289116998095029,0.08394890841065139,0.4947921663217619
