year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,10320,33970,122506,21764,150,1333,16067,206110,0.006467420309543448,0.0007277667265052642,0.05007035078356217,0.16481490466255883,0.07795351996506719,0.10559410023773713,0.5943719373150259
1995,10638,34640,133075,22050,129,1309,16408,218249,0.00599773653029338,0.0005910680003115707,0.048742491374530926,0.15871779481234735,0.07518018410164537,0.10103139075093127,0.6097393344299401
1996,9522,31664,128618,17013,129,1272,14837,203055,0.0062643126246583435,0.0006352958558026151,0.04689369875156977,0.15593804634212405,0.07306887296545271,0.08378518135480535,0.6334145921055871
1997,9200,33507,136129,19280,95,1306,14412,213929,0.006104829172295481,0.000444072566131754,0.04300492219381197,0.15662673129870192,0.06736814550621935,0.09012335868442334,0.6363279405784162
1998,8893,30442,123841,17262,126,1307,13778,195649,0.006680330592029604,0.0006440104472805892,0.045453848473541905,0.15559496854060076,0.07042203129072983,0.08822943127744072,0.6329753793783766
1999,8267,26749,113052,13633,88,1219,12432,175440,0.0069482444140446875,0.0005015959872321021,0.047121523027815776,0.15246808025535796,0.07086183310533516,0.07770747834017327,0.6443912448700411
2000,7756,25618,114230,13932,70,1286,12000,174892,0.007353109347483018,0.00040024700958305696,0.044347368661802715,0.14647896987855363,0.0686137730713812,0.07966059053587357,0.6531459414953228
2001,6643,26648,123034,14842,84,1174,10650,183075,0.00641267240202103,0.0004588283490372798,0.03628567526969821,0.14555783148982657,0.058172879967226546,0.08107059948108698,0.6720415130411034
2002,6246,25696,118925,16524,72,1238,10298,178999,0.006916239755529361,0.0004022368840049386,0.03489404968742842,0.1435538746026514,0.05753104765948413,0.0923133648791334,0.6643891865317684
2003,6373,28562,122327,18974,68,1218,10506,188028,0.006477758631693152,0.0003616482651519986,0.03389388814431893,0.15190290807752038,0.05587465696598379,0.10091050269108856,0.6505786372242433
2004,6600,30072,117868,18535,90,1283,10724,185172,0.006928693322964595,0.00048603460566392325,0.035642537748687704,0.1624003629058389,0.05791372345711015,0.1000961268442313,0.6365325211155034
2005,6620,27621,113316,19262,80,1266,10444,178609,0.007088108661937528,0.0004479057606279639,0.03706420169196401,0.15464506267881237,0.05847409704998068,0.107844509515198,0.6344361146414794
2006,6403,23879,97556,14460,86,1195,10373,153952,0.00776215963417169,0.0005586156724173768,0.04159088547079609,0.15510678653086676,0.06737814383704012,0.09392537933901476,0.6336780295156932
2007,6587,22821,94773,14549,73,1255,10777,150835,0.008320350051380647,0.00048397255278947196,0.04367023568800345,0.15129777571518546,0.07144893426591971,0.09645639274704147,0.6283223389796798
2008,5868,20879,92187,11331,82,1156,9747,141250,0.008184070796460177,0.0005805309734513275,0.04154336283185841,0.14781592920353984,0.06900530973451327,0.08021946902654867,0.6526513274336283
2009,6030,19377,84265,9869,85,1168,9744,130538,0.008947586143498444,0.0006511513888676094,0.0461934455867257,0.14843953484809022,0.07464493097795279,0.07560250654981691,0.6455208445050483
2010,5960,19637,86879,8912,91,1214,9655,132348,0.009172786895155197,0.0006875812252546317,0.0450327923353583,0.1483739837398374,0.0729516124157524,0.06733762504911295,0.6564436183395291
2011,6065,20448,91099,9047,82,1217,9586,137544,0.008848077706043157,0.0005961728610481009,0.044094980515326,0.14866515442331182,0.0696940615366719,0.06577531553539231,0.6623262374222068
2012,6008,21901,93619,10203,92,1140,9653,142616,0.007993493016211365,0.0006450889100802154,0.042127110562629716,0.15356621977898693,0.0676852527065687,0.07154176249509171,0.6564410725304314
2013,5610,20769,94106,9862,80,1897,9984,142308,0.013330241448126598,0.0005621609466790342,0.039421536385867276,0.14594400876971078,0.07015768614554346,0.06930039070185794,0.661283975602215
2014,5592,17230,87526,9549,81,1458,9224,130660,0.011158732588397367,0.0006199295882442982,0.042798101943976735,0.13186897290678096,0.0705954385427828,0.0730828103474667,0.6698760140823511
2015,6630,18336,89836,10547,99,1593,10468,137509,0.011584696274425673,0.0007199528758117651,0.04821502592557578,0.13334399930186389,0.07612592630300562,0.07670043415340087,0.6533099651659164
2016,6718,16866,91286,13290,116,1789,10830,140895,0.012697398772135278,0.0008233081372653394,0.04768089712197026,0.11970616416480358,0.07686575109123815,0.0943255615884169,0.6479009191241705
2017,7139,17705,88877,17140,104,1999,11674,144638,0.0138207110164687,0.0007190364911019234,0.04935770682669838,0.12240904879768802,0.08071184612619091,0.11850274478352853,0.6144789059583236
