year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,25071,66468,222280,54153,712,3145,51425,423254,0.007430526350607437,0.0016822050116478522,0.05923393517840351,0.15704045325029414,0.12149914708425673,0.1279444494322558,0.5251692836925345
1995,24927,67815,236991,49817,755,3046,51586,434937,0.007003313123509842,0.0017358835877379943,0.05731174859807282,0.15591913311583055,0.1186056831219234,0.11453842740442868,0.5448858110484966
1996,31401,71357,250758,48736,686,3034,57905,463877,0.006540526906917136,0.0014788402960267484,0.06769251331710777,0.1538274154571147,0.12482834889421118,0.10506233333405192,0.5405700217945706
1997,30358,68218,246892,44213,705,3289,53140,446815,0.007360988328502848,0.0015778342266933743,0.06794310844532972,0.15267616351286326,0.11893065362622114,0.09895146760963709,0.5525597842507526
1998,26827,63777,235873,42668,633,3223,50470,423471,0.007610910782556539,0.0014947894897171235,0.0633502648351363,0.15060535432178354,0.11918171492262752,0.10075778506674601,0.5569991805814329
1999,27890,56037,227750,39234,592,3279,50431,405213,0.008092040482412953,0.0014609600383008443,0.068827999101707,0.13829023254436557,0.12445553326275317,0.09682315226806643,0.5620500823023941
2000,29580,54080,225869,36325,602,3247,51584,401287,0.008091465709081033,0.0015001731927523194,0.07371282897278009,0.13476638914293262,0.12854640195172035,0.09052124788493024,0.5628614931458034
2001,28814,54345,223350,35713,651,3467,50432,396772,0.008738015787404354,0.0016407407780790982,0.07262105188874216,0.13696783039125746,0.12710574334882502,0.09000887159376166,0.5629177462119302
2002,28060,55610,212441,32817,624,3731,49578,382861,0.009745051075977966,0.0016298343262959665,0.07329030640362952,0.14524853667519022,0.12949347152099588,0.08571518122765182,0.5548776187702587
2003,27027,53918,213279,33442,647,3556,49210,381079,0.009331398476431396,0.001697810690171854,0.07092230219980634,0.14148772301806187,0.1291333293096707,0.08775608207222124,0.5596713542336366
2004,28339,54443,214199,30969,650,3535,50998,383133,0.009226561011450331,0.0016965387998423523,0.0739664816134345,0.14209947981510337,0.13310782417593892,0.08083093860356587,0.5590721759806647
2005,29205,56134,214916,29394,756,3586,52761,386752,0.009272091676319708,0.001954741022670859,0.0755135073638921,0.14514210656958465,0.13642075541949364,0.07600219261955982,0.5556946053284793
2006,29554,57623,216825,29540,736,3401,54665,392344,0.00866841343310972,0.0018759048182207451,0.07532675407295639,0.14686856432110595,0.13932926207613727,0.07529107110087066,0.5526400301775992
2007,28151,56020,211096,26461,723,3450,51782,377683,0.009134644662322635,0.001914303794451961,0.07453605272146217,0.14832544753139537,0.13710439707373645,0.07006140069846935,0.558923753518162
2008,27984,58620,218941,22471,701,3478,51036,383231,0.009075466233159635,0.0018291839647627671,0.07302123262470937,0.15296257348700915,0.13317294268991808,0.05863565317002017,0.5713029478304208
2009,26139,54797,204894,17821,661,3651,47965,355928,0.01025769256703603,0.0018571171697646714,0.07343901013688162,0.15395529432919017,0.13476040097997347,0.050069115101930725,0.5756613697152233
2010,26080,55171,204183,16669,657,3415,46514,352689,0.00968275165939397,0.0018628309927443158,0.07394616787027665,0.15642960228416536,0.1318838977115816,0.047262602462793,0.5789321470190452
2011,25148,57850,208485,16844,637,3324,45240,357528,0.009297173927636437,0.0017816786377570428,0.07033854691101117,0.16180550893916001,0.1265355440692757,0.04711239399431653,0.5831291535208432
2012,24818,56859,204609,15028,685,3327,44503,349829,0.009510360776264975,0.0019580995286268433,0.07094323226490656,0.1625336950338594,0.12721358149267215,0.04295813097256088,0.5848828999311092
2013,23719,52034,197436,13770,594,3774,42849,334176,0.011293450158000574,0.0017775064636598678,0.07097756870631045,0.15570836924255482,0.128222852628555,0.041205831657569664,0.5908144211433496
2014,22189,45720,188256,13040,614,3827,40164,313810,0.012195277397151143,0.0019565979414295272,0.07070839042732864,0.14569325387973614,0.1279882731589178,0.04155380644338931,0.5999044007520474
2015,22373,39664,180287,12134,658,4305,40339,299760,0.014361489191353083,0.0021950894048572193,0.0746363757672805,0.13231918868428075,0.1345709901254337,0.04047904990659194,0.6014378169202028
2016,23027,35520,174228,13069,674,4459,40447,291424,0.015300730207532667,0.002312781376962776,0.07901545514439443,0.12188426485121336,0.13879090260239377,0.04484531129900077,0.5978505545185022
2017,23387,32057,166178,12985,739,4201,40120,279667,0.01502143620806173,0.002642428316533592,0.08362445336775522,0.11462560831274338,0.14345632484347456,0.046430218795925154,0.5941995301555064
