year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,2560,9101,23039,5183,41,273,3744,43941,0.00621287635693316,0.0009330693429826358,0.05825993946428165,0.20711863635329192,0.08520516146651191,0.1179536196263171,0.5243166973896816
1995,2429,9234,24780,4364,33,267,3643,44750,0.005966480446927374,0.0007374301675977654,0.05427932960893855,0.2063463687150838,0.08140782122905028,0.09751955307262569,0.5537430167597766
1996,2301,8135,23367,4597,25,287,3437,42149,0.006809176967425087,0.0005931338821798856,0.05459204251583667,0.19300576526133478,0.08154404612209068,0.10906545825523738,0.5543903769958956
1997,2197,7083,21499,4195,25,363,3292,38654,0.009391007398975526,0.0006467635949707663,0.05683758472603094,0.18324106172711752,0.08516583018575051,0.10852693123609458,0.5561908211310602
1998,2050,6452,21391,3829,24,351,3084,37181,0.009440305532395579,0.0006454909765740566,0.05513568758236734,0.17352949086899222,0.08294559048976628,0.10298270622091929,0.5753207283289853
1999,1625,6341,22284,4032,36,391,2840,37549,0.010413060267916588,0.0009587472369437268,0.043276785000932114,0.16887267304056033,0.0756345042477829,0.10737969053769741,0.5934645396681669
2000,1742,6620,22038,4665,45,412,3121,38643,0.010661698108324923,0.0011645058613461688,0.04507931578811169,0.17131175115803637,0.08076495096136428,0.12072044095955282,0.5702973371632637
2001,1837,6824,23875,5043,39,416,3278,41312,0.010069713400464756,0.0009440356312935709,0.04446649883810999,0.16518202943454685,0.07934740511231603,0.12207106893880712,0.5779192486444616
2002,1699,6415,24051,4876,41,395,3051,40528,0.009746348203711015,0.0010116462692459534,0.04192163442558231,0.15828562968811685,0.07528128701144887,0.12031188314251876,0.5934415712593762
2003,1714,5524,22320,4387,25,505,3074,37549,0.013449093184905057,0.0006657966923220326,0.04564702122559855,0.1471144371354763,0.08186636128791712,0.11683400356867027,0.5944232869051107
2004,1596,5465,21623,4078,26,320,2673,35781,0.008943293926944467,0.000726642631564238,0.04460467846063553,0.15273469159609848,0.07470445208350801,0.11397110198149855,0.6043151393197507
2005,1577,5319,19567,4401,34,323,2710,33931,0.009519318617193717,0.00100203353865197,0.04647667324865168,0.15675930564970086,0.07986796734549527,0.12970440010609766,0.5766703014942088
2006,1381,5415,18621,3582,28,285,2429,31741,0.008978923159320753,0.0008821398191613371,0.043508396080778805,0.1705995400270943,0.07652562931224599,0.1128508868655682,0.5866544847358306
2007,1378,5236,19281,3226,19,256,2404,31800,0.008050314465408805,0.0005974842767295597,0.043333333333333335,0.16465408805031448,0.07559748427672956,0.10144654088050314,0.6063207547169811
2008,1436,5750,20899,3200,29,277,2621,34212,0.008096574301414708,0.0008476557932889045,0.04197357652285748,0.16806968315211038,0.07661054600724893,0.0935344323629136,0.6108675318601661
2009,1556,5749,19355,2393,31,287,2660,32031,0.00896006993225313,0.000967812431706784,0.048577940120508256,0.17948237644781617,0.08304455059161438,0.07470887577659142,0.6042583746995098
2010,1596,6121,18390,2399,29,296,2701,31532,0.009387289103133325,0.0009197006215907649,0.050615248002029684,0.19412025878472663,0.08565901306609158,0.07608144107573259,0.5832170493466954
2011,1538,6964,18890,2287,14,304,2602,32599,0.009325439430657383,0.00042946102641185313,0.04717936133010215,0.2136261848522961,0.07981839933740299,0.0701555262431363,0.5794656277799932
2012,1616,5949,18440,2628,34,288,2651,31606,0.009112193887236601,0.0010757451116876543,0.05112953236727204,0.18822375498323105,0.08387647914952857,0.08314876922103398,0.5834335252800101
2013,1550,5607,17838,2233,31,440,2705,30404,0.01447178002894356,0.0010196026838573873,0.05098013419286936,0.18441652414156032,0.0889685567688462,0.07344428364688857,0.5866991185370346
2014,1398,4823,16279,1833,25,361,2313,27032,0.0133545427641314,0.0009248298313110387,0.05171648416691329,0.1784181710565256,0.08556525599289731,0.06780852323172536,0.602212192956496
2015,1518,3947,14707,1389,29,459,2562,24611,0.018650197066352445,0.001178334890902442,0.06167973670310024,0.16037544187558408,0.10409979277558815,0.05643817805046524,0.5975783186380074
2016,1513,3788,14674,1103,29,445,2524,24076,0.01848313673367669,0.001204519023093537,0.06284266489450074,0.15733510549925236,0.10483469014786509,0.04581325801628178,0.6094866256853297
2017,1521,3217,13861,1483,20,445,2460,23007,0.01934193940974486,0.0008693006476289825,0.06611031425218412,0.13982700917112184,0.10692397965836485,0.06445864302168905,0.6024688138392663
