year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,28595,46678,122252,13184,353,1991,37756,250809,0.007938311623586075,0.001407445506341479,0.11401106020916314,0.18610974885271261,0.1505368627122631,0.05256589675809082,0.48743067433784276
1995,27577,46083,126416,14157,292,1737,36067,252329,0.006883869868306853,0.0011572193445858383,0.10928985570425913,0.18263061320736024,0.1429364044560871,0.0561053228126771,0.5009967146067238
1996,28361,47487,129650,15849,332,1821,36875,260375,0.00699375900144023,0.0012750840134421507,0.1089236677868459,0.18237926068170907,0.14162265962554008,0.06086989918386942,0.49793566970715314
1997,28460,46322,131325,15755,314,1837,37235,261248,0.0070316327780499755,0.001201923076923077,0.10893863302302793,0.17731044830965212,0.14252740690837826,0.060306681773640375,0.5026832741303283
1998,26645,44600,126412,15948,306,1753,34647,250311,0.0070032879098401585,0.0012224792358306268,0.10644757921146095,0.17817834613740507,0.13841581073145007,0.0637127413497609,0.5050197554242523
1999,25315,39630,119912,14445,258,1587,32920,234067,0.006780109968513289,0.0011022485014974344,0.10815279385816881,0.16931049656722222,0.1406434909662618,0.061713099240815666,0.5122977608975208
2000,25054,40319,125385,15586,291,1660,33225,241520,0.006873136800264988,0.0012048691619741636,0.10373468035773435,0.16693855581318318,0.1375662471016893,0.06453295793309043,0.5191495528320635
2001,25028,42611,126742,16701,330,1769,33114,246295,0.007182443817373475,0.0013398566759373922,0.10161797844048803,0.17300797823747943,0.1344485271726994,0.06780892831766784,0.5145942873383544
2002,25730,43745,123196,16867,298,1959,33761,245556,0.007977813614816988,0.001213572464122237,0.10478261577807099,0.17814673638599748,0.13748798644708335,0.06868901594748245,0.5017022593624265
2003,25399,43993,127809,15790,303,1952,33455,248701,0.007848782272688891,0.0012183304449921793,0.10212665007378338,0.17689112629221435,0.13451896051885598,0.06348989348655615,0.5139062569109091
2004,25470,43425,130051,15637,288,1718,32922,249511,0.0068854679753598035,0.0011542577281161953,0.10207966783027601,0.17404042306752007,0.13194608654528256,0.06267058366164217,0.5212235131918032
2005,24757,42741,126489,16376,314,1862,32590,245129,0.007596000473220223,0.0012809581893615197,0.1009958022102648,0.17436125468630803,0.13295040570475136,0.0668056411114148,0.5160099376246793
2006,25058,42772,124148,16402,359,1762,33078,243579,0.007233792732542625,0.0014738544784238378,0.10287422150513796,0.17559806058814595,0.13579988422647274,0.06733749625378214,0.5096826902154947
2007,26309,45214,126042,17026,352,1739,34746,251428,0.006916492992029528,0.0014000031818254132,0.10463830599615,0.17982881779276771,0.13819463226052786,0.06771719935727126,0.5013045484194282
2008,24149,45967,126064,17652,305,1638,32691,248466,0.006592451281060588,0.0012275321371938213,0.09719237239702816,0.1850031795094701,0.13157132162951873,0.07104392552703388,0.5073692175186947
2009,22962,45282,118521,13566,287,1612,30596,232826,0.006923625368300791,0.001232680198946853,0.09862300602166425,0.1944885880442906,0.13141144030305893,0.05826668842826832,0.5090539716354703
2010,20920,46156,121054,13197,280,1466,27648,230721,0.00635399465154884,0.0012135869730106926,0.09067228384065604,0.200051144022434,0.11983304510642724,0.05719895458150753,0.5246769908244157
2011,20515,46921,122100,13664,320,1612,26760,231892,0.006951511910717058,0.0013799527366187708,0.08846790747416901,0.2023398823590292,0.1153985475997447,0.058923981853621514,0.5265382160660997
2012,19905,45086,122263,13201,324,1679,26397,228855,0.00733652312599681,0.0014157435931048043,0.08697646981713313,0.19700683839112101,0.11534377662712197,0.05768281226103865,0.5342378361844836
2013,17838,40958,119511,12580,297,2171,24278,217633,0.009975509228839377,0.0013646827457233048,0.08196367278859364,0.1881975619506233,0.11155477340293062,0.05780373380875143,0.5491400660745384
2014,17676,36721,117594,12902,311,2068,24052,211324,0.00978592114478242,0.001471673827866215,0.08364407260888493,0.17376634930249285,0.11381575211523537,0.06105316954061062,0.5564630614601276
2015,18073,34551,113724,12970,399,2297,24700,206714,0.011111971129192991,0.00193020308251981,0.08742997571523942,0.16714397670211018,0.11948876225122633,0.06274369418617026,0.5501514169335411
2016,18108,32976,114032,13930,358,2491,24896,206791,0.012045978790179457,0.0017312165423059999,0.08756667359798057,0.15946535390805208,0.12039208669622953,0.0673626995372139,0.5514359909280384
2017,18668,31306,115012,14257,390,2504,25432,207569,0.012063458416237492,0.0018788932836791622,0.08993635851210922,0.15082213625348678,0.1225231127962268,0.06868559370618926,0.5540904470320712
