year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,1193,3938,15916,872,10,303,1641,23873,0.01269216269425711,0.0004188832572362083,0.049972772588279646,0.16495622669961882,0.06873874251246177,0.03652662003099736,0.6666945922171491
1995,1012,3942,15976,881,13,299,1513,23636,0.012650194618378744,0.0005500084616686411,0.04281604332374344,0.16677948891521407,0.06401252326958877,0.03727365036385175,0.6759180910475546
1996,850,4077,15532,834,9,300,1297,22899,0.013101008777675881,0.0003930302633302764,0.03711952487008166,0.17804270928861524,0.05664002794881873,0.03642080440193895,0.6782828944495393
1997,918,4088,17545,858,10,357,1457,25233,0.014148139341338723,0.0003963064241271351,0.036380929734871004,0.16201006618317282,0.05774184599532359,0.03400309119010819,0.6953196211310585
1998,722,3458,14006,763,10,258,1139,20356,0.012674395755551189,0.0004912556494399686,0.03546865788956573,0.16987620357634112,0.05595401847121242,0.0374828060522696,0.6880526626056199
1999,770,3255,14043,861,18,336,1227,20510,0.016382252559726963,0.0008776206728425158,0.03754266211604096,0.15870307167235495,0.0598244758654315,0.041979522184300344,0.6846903949293027
2000,816,2896,12558,798,7,305,1259,18639,0.01636353881646011,0.00037555662857449436,0.0437791727023982,0.15537314233596222,0.06754654219646977,0.04281345565749235,0.6737485916626429
2001,710,3087,12571,815,7,351,1171,18712,0.018758016246259085,0.000374091492090637,0.037943565626336044,0.16497434801197092,0.06258016246259085,0.043554938007695596,0.6718148781530568
2002,861,3034,12139,819,11,361,1350,18575,0.01943472409152086,0.0005921938088829071,0.04635262449528937,0.1633378196500673,0.07267833109017496,0.044091520861372815,0.6535127860026918
2003,859,2878,11572,874,10,356,1329,17878,0.01991274191744043,0.0005593466830741693,0.04804788007607115,0.16097997538874595,0.0743371741805571,0.048886900100682404,0.6472759816534288
2004,852,3149,10910,846,18,338,1322,17435,0.019386291941496988,0.0010324060797246917,0.04886722110696874,0.18061370805850302,0.0758244909664468,0.04852308574706051,0.6257527960997993
2005,847,2505,10350,839,18,377,1387,16323,0.023096244562886725,0.0011027384671935306,0.05188997120627336,0.15346443668443302,0.08497212522207928,0.05139986522085401,0.6340746186362801
2006,876,2650,9296,718,9,336,1340,15225,0.022068965517241378,0.0005911330049261083,0.05753694581280788,0.17405582922824303,0.08801313628899836,0.04715927750410509,0.6105747126436781
2007,910,2378,10043,735,17,308,1347,15738,0.019570466387088575,0.0010801880798068369,0.05782183250730715,0.15109925022239165,0.08558902020587114,0.04670224933282501,0.6381369932647096
2008,1042,2430,10004,800,26,432,1620,16354,0.026415555827320532,0.001589825119236884,0.06371529900941665,0.148587501528678,0.099058334352452,0.04891769597651951,0.6117157881863764
2009,931,2479,10676,813,21,445,1508,16873,0.026373496118058438,0.0012445919516387127,0.055176909855982934,0.14692111657677948,0.08937355538434184,0.04818348841344159,0.632726841699757
2010,1619,3181,11106,795,23,390,2186,19300,0.020207253886010364,0.0011917098445595855,0.0838860103626943,0.16481865284974093,0.11326424870466321,0.04119170984455959,0.5754404145077721
2011,1410,2899,11134,946,21,496,2094,19000,0.026105263157894736,0.0011052631578947368,0.07421052631578948,0.15257894736842106,0.11021052631578947,0.04978947368421053,0.586
2012,1914,3258,12845,1065,25,585,2682,22374,0.026146419951729685,0.0011173683740055421,0.0855457227138643,0.14561544650040226,0.11987127916331457,0.047599892732636095,0.5741038705640475
2013,1996,3372,11867,938,20,499,2674,21366,0.023354862866236076,0.0009360666479453337,0.0934194514649443,0.15782083684358325,0.12515211083029112,0.04390152578863615,0.5554151455583638
2014,2096,2818,12077,1007,20,470,2786,21274,0.022092695308827678,0.0009401146939926671,0.09852401993043151,0.13246216038356678,0.13095797687317853,0.04733477484253079,0.567688257967472
2015,2546,2960,12532,1188,32,495,3289,23042,0.021482510198767468,0.0013887683360819373,0.11049388073951914,0.1284610710875792,0.14273934554292161,0.05155802447704192,0.5438763996180888
2016,2813,3000,12639,1500,28,526,3621,24127,0.021801301446512208,0.001160525552285821,0.11659137066357193,0.1243420234591951,0.15008082231524847,0.06217101172959755,0.5238529448335889
2017,2913,2707,12227,1383,25,595,3771,23621,0.025189450065619574,0.0010583802548579653,0.12332246729605012,0.11460141399602049,0.1596460776427755,0.05854959569874264,0.5176326150459337
