year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,24943,59080,138173,28994,482,2545,38705,292922,0.0086883197574781,0.0016454892428701155,0.08515236137947986,0.20169191798499259,0.13213415175370918,0.09898198155140277,0.4717057783300674
1995,25783,60086,147143,34086,557,2477,40549,310681,0.007972808121513707,0.0017928357382652946,0.08298866039442386,0.19340094823951257,0.13051651050434368,0.10971382221635698,0.4736144147855839
1996,26295,61896,152405,34428,503,2475,41175,319177,0.00775431813695849,0.0015759280900566144,0.08238375572174687,0.19392374763845766,0.12900365627849125,0.10786491507846743,0.4774936790558217
1997,27335,62899,156843,33742,511,3056,42389,326775,0.009352000612041925,0.0015637671180475862,0.08365083008186061,0.19248412516257363,0.12971922576696504,0.10325759314513044,0.47997245811338074
1998,26220,58432,148057,28099,460,2485,38832,302585,0.008212568369218567,0.0015202339838392518,0.08665333707883735,0.19310937422542426,0.1283341870879257,0.09286316241717203,0.4893071368375828
1999,26707,51362,142685,25255,391,2415,38111,286926,0.008416804332824492,0.0013627207015049177,0.09307974878540111,0.1790078278022905,0.13282518837609697,0.08801921052815012,0.4972884994737319
2000,28172,56344,154111,27530,410,2186,40233,308986,0.007074754195982989,0.0013269209608202314,0.09117565197128673,0.18235130394257346,0.1302097829675131,0.08909788793019749,0.498763698031626
2001,29938,59705,165015,28272,423,2196,42776,328325,0.006688494631843448,0.0012883575725272216,0.09118404020406609,0.18184725500647225,0.13028554024213812,0.08610979974111017,0.5025965126018427
2002,29439,61248,161610,26541,420,2290,41562,323110,0.007087369626443007,0.001299866918386927,0.09111138621522082,0.189557735755625,0.12863111633808919,0.08214230447835102,0.500170220667884
2003,28471,63323,166769,26473,396,2129,40409,327970,0.006491447388480654,0.0012074275086135927,0.08680976918620606,0.19307558618166296,0.12320943988779462,0.08071774857456475,0.5084885812726774
2004,29613,60205,169169,24749,351,2220,41024,327331,0.006782125738167177,0.0010723090694129184,0.09046805832628135,0.18392697300286254,0.12532879562277938,0.07560848193418894,0.5168132563063077
2005,32470,61508,169357,25228,431,2194,45104,336292,0.006524092158005543,0.0012816243026893294,0.09655299561095715,0.1829005745007315,0.13412153723549772,0.07501813899825152,0.5036010371938673
2006,32227,62859,163845,22593,409,2142,45907,329982,0.006491263159808717,0.0012394615463873788,0.09766290282500258,0.19049220866592723,0.1391197095599154,0.06846737094750623,0.4965270832954525
2007,32787,61715,168351,21658,397,2174,46380,333462,0.00651948347937696,0.001190540451385765,0.09832304730374075,0.18507356160522037,0.13908631268330424,0.06494892971313074,0.5048581247638412
2008,31627,65006,167015,19224,408,2062,44897,330239,0.006243962705797922,0.0012354688574032747,0.0957700332183661,0.19684531505969918,0.1359530521834187,0.05821238557529547,0.5057397824000194
2009,29940,63646,157746,14973,461,1993,42041,310800,0.006412483912483912,0.0014832689832689832,0.09633204633204633,0.20478120978120978,0.13526705276705275,0.048175675675675676,0.5075482625482626
2010,28060,64235,153062,14835,357,2138,38921,301608,0.007088671388026843,0.0011836556059520967,0.09303466751545052,0.21297512002334157,0.12904498554415003,0.049186361104479985,0.507486538818599
2011,28466,62749,153476,14036,373,2024,38944,300068,0.006745137768772411,0.0012430515749763387,0.09486516389618353,0.20911593372168974,0.12978391564578695,0.046776064092139115,0.5114707333004519
2012,30961,56181,148503,12980,388,2032,41550,292595,0.006944752986209607,0.0013260650387053778,0.10581520531793093,0.19200943283378047,0.14200516071703206,0.0443616603154531,0.5075377227908884
2013,28378,50999,143802,11828,328,2351,38364,276050,0.008516573084586126,0.0011881905451910887,0.102800217351929,0.18474551711646442,0.1389748234015577,0.04284731026987865,0.5209273682303931
2014,29681,46642,141206,12599,371,2531,39848,272878,0.009275207235467865,0.0013595819377157559,0.10877021965860201,0.17092620145266382,0.1460286281781602,0.046170816262212415,0.517469345275178
2015,29844,43247,137679,12870,406,2676,40400,267122,0.010017894445234762,0.00151990476261783,0.11172423087577961,0.16189980608111648,0.15124175470384318,0.048180232253427276,0.5154161768779808
2016,31084,40312,134404,15239,495,2803,42097,266434,0.010520429074367385,0.0018578709924409046,0.11666679177582441,0.15130201100460153,0.1580016064015854,0.057196153644054434,0.504455137107126
2017,32432,38716,140248,18524,527,2934,43755,277136,0.010586859881069222,0.001901593441487212,0.1170255758905375,0.13970036372033948,0.1578827723572542,0.06684082905144045,0.506062005657872
