year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,81071,214687,623947,110753,2022,9102,129838,1171420,0.007770056854074542,0.0017261101910501784,0.06920745761554353,0.18327073124925305,0.11083812808386403,0.09454593570196855,0.5326415803042461
1995,80380,202642,632468,104923,1693,8563,124303,1154972,0.007414032547975189,0.0014658364012287745,0.06959476073878847,0.17545187242634452,0.10762425409447156,0.09084462653640088,0.5476046172547906
1996,80613,204390,659414,104928,1477,8376,123270,1182468,0.007083489785770101,0.0012490824276005779,0.06817351505495287,0.17285034351880982,0.10424806421822831,0.08873643937933204,0.5576590656153063
1997,77266,201059,645451,101721,1327,8011,117126,1151961,0.00695422848516573,0.001151948720486197,0.0670734512713538,0.17453629072512003,0.10167531713313212,0.08830246857315482,0.5603062950915872
1998,73630,194883,606967,96646,1346,7913,111566,1092951,0.007240031803804562,0.0012315282203868242,0.06736807048074434,0.17830900012900852,0.10207776926870464,0.08842665407689823,0.5553469460204529
1999,74070,190362,613862,92037,1217,7614,112306,1091468,0.006975926000579036,0.0011150120754799958,0.06786273166047928,0.1744091443816951,0.10289445040990666,0.08432404797941855,0.5624186874924414
2000,74302,188975,637522,93161,1238,7856,113653,1116707,0.0070349697816884825,0.001108616673845512,0.06653670121168757,0.16922523096926947,0.10177512991321806,0.08342474794194,0.5708946035083509
2001,77306,204362,669625,102667,1332,8169,122155,1185616,0.006890089202574864,0.0011234666198836722,0.06520323612366904,0.1723677818113116,0.10303082954346095,0.08659380440209984,0.564790792297
2002,78628,212602,688992,102680,1302,8508,126018,1218730,0.006981037637540719,0.0010683252237985443,0.06451634078097691,0.17444552936253313,0.10340108145364436,0.0842516390012554,0.5653360465402509
2003,75782,219877,698644,98214,1422,8025,122246,1224210,0.006555247874139241,0.001161565417697944,0.06190277811813333,0.179607256924874,0.09985705066941129,0.0802264317396525,0.5706896692560917
2004,75985,220118,696507,94077,1364,8388,121554,1217993,0.006886739086349429,0.0011198750731736553,0.062385416008137975,0.18072189249035092,0.09979860311184055,0.07723936016052638,0.5718481140696211
2005,75383,219828,677042,93423,1407,8511,121091,1196685,0.0071121473069354095,0.0011757480038606652,0.06299318534117165,0.18369746424497674,0.10118870045166439,0.07806816330111935,0.5657645913502718
2006,74368,215647,648384,95429,1384,8372,121378,1164962,0.007186500503879097,0.0011880215835366303,0.06383727537893939,0.18511075897754606,0.10419052295268,0.08191597665846612,0.5565709439449527
2007,73426,228313,662930,93899,1420,8439,122054,1190481,0.007088731361525299,0.0011927951811074684,0.061677590822533074,0.1917821452001334,0.10252494579921897,0.07887484134564096,0.5568589502898408
2008,76423,230123,654097,85350,1374,8014,123564,1178945,0.006797602941613052,0.0011654487698747609,0.0648232105823427,0.1951940082022486,0.1048089605537154,0.07239523472256976,0.5548155342276357
2009,74018,240233,678353,76559,1328,8287,121668,1200446,0.0069032676188683206,0.0011062555083693893,0.061658750164522186,0.20011978881182493,0.10135233071708348,0.06377546345275006,0.5650841437265817
2010,71517,228597,654626,68023,1249,7622,113231,1144865,0.006657553510675931,0.0010909583225969875,0.06246762718748499,0.19967157699816135,0.09890336415210527,0.05941573897359077,0.5717931808553847
2011,67913,215223,612938,63338,1126,7439,104873,1072850,0.006933867735470942,0.0010495409423498159,0.06330148669431887,0.20060865917882276,0.09775178263503752,0.059037144055552965,0.5713175187584472
2012,67239,204810,606253,64996,1144,7711,106476,1058629,0.007283949334469394,0.0010806429825746318,0.06351516914802069,0.19346721089257898,0.1005791452907487,0.06139639099250068,0.572677491359107
2013,65292,190898,605091,65745,1139,9766,107998,1045929,0.009337153860348073,0.0010889840514987155,0.062424887348950076,0.18251525677173117,0.10325557470918198,0.0628579951411616,0.5785201481171284
2014,65656,169234,576154,68546,1184,11393,109414,1001581,0.011375016099546617,0.0011821310508086714,0.0655523617161268,0.168966863388982,0.10924128952126688,0.0684377998384554,0.5752445383848136
2015,67727,153054,557200,67485,1316,12250,113227,972259,0.012599523378029928,0.0013535487971826437,0.06965942202643534,0.15742101641640757,0.1164576517162608,0.06941051715643672,0.573098320509247
2016,72880,148740,551151,68990,1478,13446,121042,977727,0.01375230509129849,0.0015116694128320073,0.07454023464627652,0.1521283548475188,0.12379938367253845,0.07056161893861988,0.5637064333909159
2017,76089,134066,523221,68041,1412,14470,124238,941537,0.015368487908600511,0.0014996755305420816,0.08081360583811363,0.14239058050825407,0.13195232901096823,0.07226588015128455,0.555709441052237
