year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,325,4274,13154,862,6,160,562,19343,0.008271726205862586,0.000310189732719847,0.016801943855658377,0.22095848627410433,0.029054438298092334,0.04456392493408468,0.6800392906994779
1995,450,4451,14150,794,13,165,692,20715,0.007965242577842143,0.0006275645667390779,0.02172338884866039,0.214868452811972,0.03340574462949553,0.038329712768525225,0.6830798937967656
1996,453,3964,12124,885,11,159,714,18310,0.008683779355543418,0.0006007646095030038,0.024740578918623704,0.21649371927908248,0.03899508465319498,0.04833424358274167,0.6621518296013108
1997,461,3611,11542,800,9,156,705,17284,0.009025688498032862,0.0005207127979634344,0.02667206665123814,0.20892154593844017,0.04078916917380236,0.046285582041194165,0.6677852348993288
1998,396,3966,13084,874,13,163,628,19124,0.008523321480861745,0.0006797741058355993,0.020706965070069024,0.20738339259569127,0.03283831834344279,0.04570173603848567,0.6841664923656139
1999,458,3537,11610,912,17,136,676,17346,0.007840424305315346,0.0009800530381644183,0.02640378185172374,0.20390868211691457,0.03897152081171452,0.05257696298858527,0.6693185748875822
2000,425,3501,13184,809,9,140,691,18759,0.0074630843861613096,0.00047976971053894133,0.022655791886561118,0.18663041739964817,0.036835652220267606,0.043125966202889277,0.7028093181939336
2001,423,3150,12426,758,7,107,644,17515,0.006109049386240365,0.00039965743648301454,0.024150727947473593,0.17984584641735654,0.03676848415643734,0.04327719097916072,0.7094490436768485
2002,442,3489,10684,769,13,126,658,16181,0.0077869105741301525,0.0008034114084419999,0.027315987887027996,0.21562326185031827,0.04066497744267969,0.04752487485322292,0.660280575984179
2003,504,3017,10132,654,15,126,707,15155,0.008314087759815243,0.0009897723523589574,0.03325635103926097,0.19907621247113164,0.046651270207852195,0.043154074562850545,0.6685582316067304
2004,452,3386,10382,575,16,152,696,15659,0.009706877833833578,0.0010217766140877451,0.028865189347978798,0.21623347595631906,0.04444728271281691,0.03672009706877834,0.6630053004661856
2005,545,3185,10894,670,8,153,782,16237,0.009422922953747614,0.0004927018537907249,0.03356531378949313,0.19615692554043235,0.048161606208043356,0.04126378025497321,0.6709367493995196
2006,580,3300,10493,586,12,150,852,15973,0.009390847054404306,0.0007512677643523446,0.036311275277029986,0.20659863519689475,0.05334001126901647,0.03668690915920616,0.656921054279096
2007,557,3106,10683,641,12,123,772,15894,0.007738769346923367,0.0007550018875047187,0.035044670945010695,0.1954196552158047,0.04857178809613691,0.040329684157543726,0.6721404303510758
2008,611,3462,11724,585,17,127,844,17370,0.007311456534254462,0.0009786989061600462,0.03517559009786989,0.1993091537132988,0.0485895221646517,0.03367875647668394,0.6749568221070812
2009,575,3452,11031,448,7,124,817,16454,0.007536161419715571,0.00042542846724200804,0.03494590980916495,0.20979700984563024,0.049653579676674366,0.027227421903488515,0.6704144888780843
2010,602,3366,10474,441,7,132,815,15837,0.008334911915135442,0.00044200290459051587,0.03801224979478437,0.2125402538359538,0.05146176674875292,0.0278461829892025,0.6613626318115805
2011,635,3643,10322,499,8,119,847,16073,0.007403720525104212,0.0004977291109313756,0.03950724818017794,0.22665339389037517,0.05269706961985939,0.031045853294344554,0.6421949853792074
2012,652,3965,10616,435,8,121,893,16690,0.007249850209706411,0.0004793289394847214,0.039065308568004796,0.23756740563211504,0.05350509286998203,0.026063511084481725,0.6360695026962253
2013,546,3313,10228,334,10,130,759,15320,0.008485639686684074,0.0006527415143603133,0.03563968668407311,0.2162532637075718,0.04954308093994778,0.021801566579634463,0.6676240208877284
2014,432,2034,7273,244,10,110,622,10725,0.010256410256410256,0.0009324009324009324,0.04027972027972028,0.18965034965034966,0.057995337995337994,0.02275058275058275,0.6781351981351982
2015,492,1968,6660,178,10,136,739,10183,0.01335559265442404,0.0009820288716488265,0.048315820485122264,0.19326328194048906,0.07257193361484827,0.01748011391534911,0.6540312285181185
2016,691,2103,8217,184,14,170,989,12368,0.013745148771021991,0.001131953428201811,0.055869987063389394,0.17003557567917205,0.07996442432082794,0.014877102199223804,0.664375808538163
2017,710,1854,6912,194,14,218,1034,10936,0.019934162399414777,0.001280175566934894,0.06492318946598391,0.16953182150694954,0.09455010972933431,0.017739575713240672,0.6320409656181419
