year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,12294,41855,181619,18289,571,1868,23437,279933,0.0066730253310613614,0.0020397738030171505,0.04391765172380534,0.1495179203595146,0.08372360529126613,0.06533349051380152,0.6487945329775339
1995,12901,39388,181333,19363,503,1799,23921,279208,0.006443225122489327,0.0018015243116243087,0.04620569611185926,0.14107045643391306,0.08567447924128248,0.06934973209936678,0.6494548866794648
1996,12318,39255,184237,18608,500,1783,22782,279483,0.00637963668631008,0.0017890175788867302,0.04407423707345348,0.1404557701183972,0.08151479696439497,0.06658007821584855,0.659206463362709
1997,12558,38475,180406,18892,488,1819,23249,275887,0.00659327913239841,0.0017688401410722505,0.04551863625324861,0.1394592713683501,0.08427000909792777,0.06847731136298557,0.6539126526440173
1998,12712,38094,170012,18355,422,1810,22115,263520,0.006868548876745598,0.0016013964784456587,0.048239222829386766,0.14455828779599272,0.08392152398299939,0.06965315725561627,0.6451578627808136
1999,12567,32411,159896,17953,392,1720,21626,246565,0.006975848153630888,0.001589844462920528,0.05096830450388336,0.13145012471356438,0.08770912335489628,0.07281244296635775,0.6484943118447468
2000,11631,30434,146158,17813,401,1616,19943,227996,0.007087843646379761,0.0017588027860137897,0.05101405287812067,0.1334847979789119,0.08747083282162844,0.07812856365901157,0.6410551062299339
2001,11945,31604,157060,18842,364,1770,20939,242524,0.007298246771453547,0.0015008823868977916,0.04925285744915967,0.13031287625142254,0.08633784697596938,0.07769128003826425,0.6476060101268328
2002,12068,31757,157548,18478,388,1839,21256,243334,0.007557513541058792,0.0015945161794077276,0.049594384672918705,0.13050786162229694,0.08735318533373881,0.07593677825540204,0.647455760395177
2003,11554,29105,153367,17977,416,1807,20490,234716,0.007698665621431858,0.0017723546754375501,0.049225446923090034,0.12400092026108148,0.08729698870123895,0.07659043269312701,0.6534151911245931
2004,11496,28793,153464,17411,391,1766,20559,233880,0.007550880793569352,0.0016717975029929878,0.049153412006157006,0.12311014195313837,0.08790405336069779,0.07444415939798187,0.6561655549854626
2005,11718,29829,154584,15991,458,1763,21434,235777,0.007477404496621808,0.0019425134767174067,0.0496995041925209,0.12651361243887232,0.09090793419205435,0.0678225611488822,0.655636470054331
2006,11628,31913,142679,14814,399,1792,21568,224793,0.00797177848064664,0.0017749663023314782,0.051727589382231653,0.14196616442682825,0.09594604814206847,0.06590062857829203,0.6347128246876015
2007,10996,31688,144467,14054,406,1745,20798,224154,0.007784826503207616,0.0018112547623508838,0.049055560016774184,0.14136709583589854,0.09278442499353123,0.06269796657655005,0.6444988713116875
2008,10319,31993,150382,13259,368,1758,19882,227961,0.007711845447247555,0.0016143112199016498,0.045266514886318276,0.1403441816801997,0.08721667302740381,0.05816345778444559,0.6596830159544834
2009,9764,31576,148458,11419,347,1511,17879,220954,0.006838527476307286,0.0015704626302307267,0.044190193433927424,0.14290757352209058,0.08091729500257973,0.051680440272635936,0.6718955076622284
2010,9529,30629,145019,10548,369,1532,17087,214713,0.007135105932104716,0.0017185731651087732,0.044380172602497284,0.14265088746373064,0.07958064951819406,0.049126042670914194,0.6754085686474504
2011,8654,30597,141820,9724,303,1536,15923,208557,0.007364893050820639,0.0014528402307282902,0.04149465134231889,0.14670809419007752,0.07634843232305796,0.046625143246210865,0.6800059456167858
2012,9092,29511,138398,9076,314,1452,15564,203407,0.007138397400286126,0.0015437030190701402,0.04469856002989081,0.14508350253432772,0.07651654072868681,0.044619900003441376,0.680399396284297
2013,9062,26640,135478,8536,316,2262,16205,198499,0.01139552340314057,0.001591947566486481,0.04565262293512814,0.134207225225316,0.0816376908699792,0.0430027355301538,0.6825122544697958
2014,9400,23122,129933,7665,338,2310,16340,189108,0.01221524208388857,0.0017873384521014447,0.04970704570933012,0.12226875647777989,0.08640565179685682,0.040532394187448445,0.6870835712925947
2015,9235,21340,127019,8111,383,2340,16399,184827,0.012660487915726598,0.0020722080648390116,0.04996564354775006,0.11545932141948957,0.08872621424358995,0.04388428097626429,0.6872318438323405
2016,10278,20018,126606,9848,482,2830,18302,188364,0.015024102270072838,0.0025588753689664693,0.05456456647767089,0.10627296086300991,0.09716293983988449,0.052281752351829434,0.672134802828566
2017,9985,18468,123215,10172,453,2862,17632,182787,0.0156575686454726,0.0024782944082456628,0.05462642310448774,0.10103563163682319,0.09646200222116452,0.05564947178956928,0.674090608194237
