year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,16329,55793,212198,26743,294,3230,27317,341904,0.009447096260938743,0.000859890495577706,0.04775902007581075,0.16318323272029575,0.07989669614862652,0.07821786232392719,0.6206362019748234
1995,15602,59265,224861,30087,275,3214,26300,359604,0.008937609147840402,0.000764730091990078,0.0433866141644698,0.16480628691560717,0.0731360051612329,0.08366703373711082,0.6253017207817488
1996,14187,58512,215706,28893,255,2828,23857,344238,0.008215246428343181,0.0007407665626688512,0.04121276558659997,0.16997542397992088,0.06930379562976778,0.08393320900074948,0.6266187928119499
1997,14864,62064,213823,31855,241,2885,24724,350456,0.008232131851074029,0.0006876754856529778,0.0424133129408542,0.17709498481977767,0.07054808592234117,0.09089586139201497,0.6101279475882849
1998,14839,60446,213773,35200,224,2740,24380,351602,0.007792902201921491,0.0006370839756315379,0.04220396926069818,0.17191597317421403,0.06933976484775399,0.10011319617067024,0.6079971103691105
1999,13026,54652,192334,33807,171,2711,21716,318417,0.00851399265742721,0.0005370316283364267,0.04090861982871517,0.1716365646306573,0.06819987626288797,0.10617209508286304,0.6040318199091129
2000,13043,53476,190650,35018,196,2737,21788,316908,0.008636575914776528,0.0006184760245875775,0.04115705504436619,0.16874297903492497,0.06875181440670479,0.11049894606636626,0.6015941535082737
2001,12545,53024,195133,39077,179,2600,21258,323816,0.00802925117968229,0.0005527830619858191,0.03874113694196704,0.16374731328902833,0.06564839291449465,0.12067655705709415,0.6026045655557477
2002,12249,54948,193526,40493,184,2734,20964,325098,0.0084097718226504,0.0005659831804563547,0.03767786944244505,0.1690198032593249,0.06448517062547293,0.12455628764249549,0.5952851140271549
2003,12509,58271,192653,40618,182,2863,21272,328368,0.008718876382595137,0.0005542562003605711,0.038094455001705406,0.17745639039126834,0.06478097743994543,0.12369658432003118,0.5866984602640939
2004,12417,60632,196972,43233,190,2857,21330,337631,0.008461900714093196,0.0005627445347139333,0.03677683625022584,0.17958066646723791,0.0631754785549905,0.12804807615414462,0.583394297324594
2005,12941,60343,198031,49287,205,2811,21745,345363,0.008139262167632317,0.000593578350894566,0.03747071921427599,0.17472340696600389,0.06296273775708458,0.14271071307580718,0.5733995824683015
2006,12779,58307,182327,45899,190,2746,22120,324368,0.0084656932866374,0.0005857544517338331,0.039396611256350814,0.1797557095644453,0.06819414985448627,0.141502860948059,0.5620992206382873
2007,12691,52704,170403,37622,173,2629,21546,297768,0.008829021251444077,0.0005809892265119153,0.04262042932753016,0.17699685661320222,0.0723583460949464,0.12634668601058544,0.5722676714757798
2008,12524,52478,165339,28331,192,2628,21691,283183,0.009280218092187736,0.0006780068012557251,0.044225818640243234,0.18531479643905177,0.0765971121147809,0.10004484732487473,0.5838592005876059
2009,12639,52791,167897,23680,179,2539,22056,281781,0.009010543649145967,0.000635245101692449,0.044853982347993655,0.18734762102483843,0.07827355286552322,0.0840368938998726,0.5958421611109337
2010,12458,55164,168360,25729,152,2562,21101,285526,0.008972913149765695,0.0005323508191898461,0.04363175332544147,0.1932013196696623,0.07390220155082199,0.09011088307194441,0.5896485784131743
2011,12031,56532,162779,24835,162,2290,20121,278750,0.0082152466367713,0.0005811659192825112,0.04316053811659193,0.20280538116591929,0.07218295964125561,0.08909417040358744,0.5839605381165919
2012,12242,60725,165206,26402,206,2193,20386,287360,0.007631542316258352,0.0007168708240534521,0.042601614699331845,0.2113202951002227,0.07094237193763919,0.09187778396436526,0.5749095211581292
2013,11601,58353,171910,28399,160,2573,20153,293149,0.008777106522621602,0.0005457975295839317,0.039573732129394946,0.1990557702738198,0.06874661008565609,0.09687565026658798,0.5864253331923356
2014,11627,55290,175769,30647,174,2695,20136,296338,0.009094344970945339,0.0005871673561946156,0.03923560258893561,0.1865774892183925,0.06794943611686655,0.10341906876607118,0.5931368909825941
2015,12029,50993,170509,26867,211,2705,20394,283708,0.009534450914320357,0.0007437224188249891,0.042399227374624614,0.17973761755043918,0.0718837678176153,0.0946994797467819,0.6010017341773937
2016,13100,49180,173187,32322,195,3133,22023,293140,0.010687726001228082,0.0006652111619021628,0.04468854472265812,0.16776966637101726,0.07512792522344272,0.11026130858975233,0.5907996179299994
2017,13673,43720,162511,28796,230,3255,22548,274733,0.011847866837984515,0.0008371764585979843,0.04976832051482712,0.15913632508653858,0.08207241212377107,0.10481449261646762,0.5915234063618131
