year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,2690,10673,28189,3274,99,370,3931,49226,0.007516353146711088,0.002011132328444318,0.054645918823386014,0.21681631658066874,0.07985617356681428,0.06650956811441108,0.5726445374395644
1995,2584,10329,27724,3040,89,388,3842,47996,0.008084007000583381,0.001854321193432786,0.05383781981831819,0.21520543378614884,0.08004833736144679,0.06333861155096258,0.5776314692891075
1996,2672,9979,28300,3231,69,358,3836,48445,0.007389823511198266,0.001424295592940448,0.05515533078749097,0.2059861698833729,0.07918257818144288,0.06669418928682011,0.5841676127567345
1997,2759,10647,26934,3287,75,355,3971,48028,0.007391521612392771,0.0015615890730407262,0.05744565670025818,0.2216831848088615,0.08268093612059632,0.06843924377446489,0.5607978679103857
1998,3410,11110,27127,3390,78,339,4503,49957,0.006785835818804172,0.0015613427547691015,0.06825870248413636,0.22239125648057328,0.09013751826570851,0.06785835818804171,0.5430069860079668
1999,5259,10303,28760,3762,79,337,6336,54836,0.0061455977824786635,0.0014406594208184404,0.09590415055802758,0.18788751914800497,0.11554453278867897,0.06860456634327813,0.5244729739587133
2000,4597,9890,28139,3315,46,331,5723,52041,0.006360369708499068,0.0008839184489152784,0.0883341980361638,0.19004246651678483,0.10997098441613343,0.06369977517726408,0.5407082876962395
2001,3968,9601,28268,3216,40,320,5035,50448,0.006343165239454488,0.000792895654931811,0.07865524896923565,0.19031477957500792,0.09980574056454171,0.06374881065651761,0.5603393593403108
2002,3179,9677,27524,3898,57,328,4221,48884,0.006709761885279437,0.0011660256934784387,0.06503150315031503,0.19795843220685705,0.08634727109074544,0.07973979216103429,0.5630472138122903
2003,3542,10498,28409,3463,73,311,4627,50923,0.006107259980755258,0.0014335369086660252,0.06955599630815153,0.20615438996131413,0.09086267501914655,0.0680046344480883,0.5578815073738782
2004,3768,10932,30826,3739,68,320,4924,54577,0.005863275738864357,0.0012459460945086758,0.06904007182512781,0.20030415742895358,0.0902211554317753,0.06850871246129323,0.564816681019477
2005,3735,11334,32603,3820,82,335,4968,56877,0.005889902772649753,0.0014417075443500888,0.06566802046521442,0.19927211350809643,0.08734637902842977,0.06716247340752853,0.573219403273731
2006,3770,11531,32220,3921,75,389,5087,56993,0.00682539961047848,0.0013159510817117891,0.06614847437404593,0.20232309230958187,0.08925657536890495,0.06879792255189233,0.5653325847033847
2007,3702,10814,31447,3492,64,369,4987,54875,0.006724373576309795,0.0011662870159453304,0.0674624145785877,0.19706605922551254,0.09087927107061504,0.06363553530751709,0.5730660592255126
2008,3657,11066,32337,3204,60,362,4968,55654,0.006504474071944514,0.0010780896251841737,0.06570956265497538,0.1988356632048011,0.08926582096524958,0.05756998598483487,0.5810364034930103
2009,3962,11951,31289,2741,84,433,5396,55856,0.007752076768834145,0.0015038670867946148,0.07093239759381266,0.21396089945574334,0.0966055571469493,0.049072615296476656,0.5601725866513892
2010,4586,10756,28383,2361,62,354,5830,52332,0.006764503554230681,0.0011847435603454864,0.0876328059313613,0.20553389895283955,0.11140411220668042,0.04511579912864022,0.5423641366659023
2011,4483,11192,28743,2254,80,388,5861,53001,0.007320616592139771,0.0015094054829154168,0.08458330974887267,0.2111658270598668,0.11058281919209072,0.042527499481141866,0.5423105224429727
2012,4538,11291,30378,2209,72,421,5869,54778,0.0076855671985103504,0.0013143962904815802,0.08284347730840849,0.20612289605316003,0.10714155317828325,0.04032640841213626,0.5545657015590201
2013,4203,9674,27423,1916,61,653,5568,49498,0.01319245222029173,0.0012323730251727343,0.08491252171804921,0.1954422400905087,0.11248939351084893,0.0387086346923108,0.5540223847428178
2014,4358,8973,26779,1896,74,505,5588,48173,0.010483050671537998,0.001536130197413489,0.09046561351794574,0.18626616569447615,0.11599858842089968,0.039358146679675333,0.5558923048180516
2015,4729,9170,25842,2239,70,672,6231,48953,0.013727452862950176,0.0014299430065573102,0.09660286397156456,0.18732253385900763,0.12728535534083713,0.04573774845259739,0.5278941025064858
2016,5099,9301,25677,2498,85,684,6557,49901,0.013707140137472195,0.0017033726779022464,0.10218232099557123,0.18638905031963288,0.13140017234123566,0.05005911705176249,0.5145588264764234
2017,4964,7628,23000,3002,85,795,6368,45842,0.01734217529776188,0.0018541948431569303,0.10828497884036473,0.16639762663060076,0.13891191483792156,0.06548579904890711,0.501723310501287
