year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,6590,32824,135559,18321,227,1192,13748,208461,0.0057180959508013485,0.0010889327020401898,0.03161262778169538,0.15745870930293915,0.06594998584867193,0.08788694288140228,0.6502847055324498
1995,7602,31416,134623,18626,219,1194,14399,208079,0.00573820520090927,0.0010524848735336098,0.03653420095252284,0.15098111774854742,0.06919967896808424,0.08951407878738364,0.646980233469019
1996,6767,30356,135941,17846,204,1086,13039,205239,0.005291391986903074,0.000993963135661351,0.03297131636774687,0.14790561248105866,0.06353081042102135,0.08695228489711994,0.6623546207104888
1997,7521,29503,131002,15640,205,1048,13988,198907,0.005268793958985858,0.0010306324060993328,0.03781164061596626,0.14832559940072496,0.07032432242203643,0.07862971137265154,0.6586092998235357
1998,7308,29740,128134,14210,190,1037,13009,193628,0.005355630384035367,0.0009812630404693536,0.037742475261842295,0.15359348854504515,0.06718553101824117,0.07338814634247114,0.6617534654078956
1999,7225,25633,120702,13819,179,1055,12908,181521,0.0058119997135317675,0.0009861117997366695,0.03980255727987395,0.14121231152318464,0.07111022967039626,0.07612893274056445,0.6649478572727122
2000,6829,25183,119605,14636,169,1165,12700,180287,0.006461919051290442,0.0009373942658095148,0.037878493734989215,0.13968283902888173,0.07044323772651384,0.0811816714460832,0.6634144447464321
2001,6708,26927,125275,14722,192,1142,12486,187452,0.006092226276593475,0.0010242622111260482,0.035785161001216315,0.14364744041141198,0.06660905191729083,0.07853743891769627,0.6683044192646651
2002,6134,27926,123365,13458,154,1237,12238,184512,0.006704171002428027,0.0008346340617412418,0.03324445022545959,0.15135058966354492,0.06632630939993063,0.07293834547346514,0.6686015001734305
2003,6322,26546,118775,12363,183,1202,12104,177495,0.006772021747091467,0.0010310149581678357,0.035617904729710693,0.14955914251105665,0.06819347023859827,0.06965266627228936,0.6691737795430858
2004,6191,23854,111482,11374,154,1136,11548,165739,0.006854150200013274,0.000929171770072222,0.037353911873487834,0.14392508703443366,0.06967581558957156,0.06862597216104839,0.672635891371373
2005,7471,24448,110531,12577,206,1135,13367,169735,0.006686894276371992,0.001213656582319498,0.04401567148790762,0.14403629186673345,0.07875217250419772,0.07409785842637052,0.6511974548560993
2006,8921,26994,115546,14031,164,1131,15783,182570,0.006194884154023114,0.0008982855890891165,0.048863449635756145,0.1478556170236074,0.0864490332475215,0.0768527140274963,0.6328860163225064
2007,9416,27839,117687,13433,183,1223,16296,186077,0.006572547923709002,0.0009834638348640617,0.0506027074813115,0.1496101076436099,0.08757664837674727,0.07219054477447508,0.6324639799652831
2008,9029,27479,116128,11520,146,1120,15421,180843,0.006193217321101729,0.0008073301150721897,0.04992728499306028,0.15194948104156644,0.08527286098991943,0.06370166387418921,0.6421481616650907
2009,8431,26740,111820,8926,144,1108,14533,171702,0.006453040733363618,0.0008386623335779432,0.04910251482219194,0.1557349361102375,0.08464083120755728,0.051985416593866116,0.6512445981992055
2010,8296,26566,107908,8138,155,1187,14142,166392,0.007133756430597625,0.0009315351699600942,0.04985816625799317,0.15965911822683782,0.08499206692629453,0.048908601375066106,0.6485167556132506
2011,7764,26654,104063,8232,136,1163,13532,161544,0.007199276977170307,0.0008418758975882732,0.04806120932996583,0.16499529539939584,0.08376665181003318,0.050958252859901944,0.6441774377259446
2012,10050,27945,104352,8216,173,1219,16064,168019,0.007255131860087252,0.0010296454567638184,0.05981466381778251,0.16632047566049077,0.09560823478297098,0.04889923163451752,0.6210726167873871
2013,9278,24347,93953,7388,162,1687,15961,152776,0.011042310310519977,0.001060375975284076,0.06072943394250406,0.15936403623605802,0.10447321568832801,0.04835838089752317,0.6149722469497827
2014,9809,21216,89103,9919,165,1674,16714,148600,0.01126514131897712,0.001110363391655451,0.06600942126514132,0.14277254374158815,0.1124764468371467,0.06674966352624495,0.5996164199192463
2015,10395,19554,83385,10985,240,1780,17647,143986,0.012362313002653036,0.0016668287194588362,0.07219451891156084,0.1358048699179087,0.12256052671787535,0.07629213951356383,0.5791188032169794
2016,10765,19425,82337,9958,232,2005,17679,142401,0.01407995730367062,0.0016292020421204906,0.07559637923890984,0.13641055891461437,0.12414940906313861,0.06992928420446486,0.5782052092330813
2017,11869,17599,77735,9468,186,2139,18539,137535,0.015552404842403751,0.0013523830297742393,0.08629803322790562,0.1279601555967572,0.13479477951067,0.06884065874141128,0.5652015850510779
