year,aggravatedassault,burglary,larceny,motorvehicletheft,murder,rape,violent,total,rape_per,murder_per,assault_per,burglary_per,violent_per,motor_vehicle_per,larceny_per
1994,1042,3097,15254,771,16,160,1297,21637,0.0073947404908259,0.00073947404908259,0.048158247446503676,0.14313444562554883,0.05994361510375745,0.03563340574016731,0.7049960715441143
1995,959,2938,15774,805,10,165,1220,21871,0.0075442366604179046,0.0004572264642677518,0.0438480179232774,0.1343331352018655,0.05578162864066572,0.036806730373554024,0.7212290247359517
1996,947,3184,15408,669,16,140,1201,21565,0.006492000927428704,0.000741942963134709,0.04391374913053559,0.14764664966380708,0.0556920936702991,0.03102249014607002,0.7144910734987248
1997,986,2998,15198,647,17,137,1225,21208,0.0064598264805733685,0.0008015843078083742,0.0464918898528857,0.14136175028291212,0.05776122218030932,0.030507355714824595,0.7166163711806866
1998,957,2696,13759,669,23,133,1191,19428,0.0068457895820465305,0.001183858348774964,0.049258801729462634,0.13876878731727404,0.061303273625694876,0.03443483631871526,0.7082046530780317
1999,893,2349,12523,596,11,137,1115,17624,0.00777349069450749,0.0006241488878801634,0.050669541534271445,0.13328415796640944,0.06326600090785293,0.03381752156150704,0.7105651384475715
2000,1074,2078,12318,573,12,160,1316,17531,0.00912668986367007,0.0006845017397752553,0.061262905709885344,0.11853288460441504,0.07506702412868632,0.03268495807426844,0.7026410358792995
2001,1026,2481,12943,696,9,153,1272,18580,0.008234660925726587,0.0004843918191603875,0.055220667384284175,0.13353067814854683,0.06846071044133477,0.037459634015069965,0.6966092572658773
2002,1108,2448,13303,743,15,148,1364,19129,0.007736943907156673,0.0007841497203199331,0.05792252600763239,0.12797323435621308,0.07130534790109258,0.03884154947984735,0.695436248627738
2003,1080,2611,13239,798,14,136,1314,19192,0.0070862859524802,0.0007294706127553147,0.05627344726969571,0.1360462692788662,0.0684660275114631,0.041579824927052936,0.6898186744476865
2004,973,2738,13352,799,11,112,1163,19148,0.005849174848548151,0.000574472529768122,0.05081470649676206,0.1429914351368289,0.06073741382912053,0.041727595571339045,0.6973052015876332
2005,958,2426,12905,739,14,122,1172,18336,0.006653577661431064,0.0007635253054101221,0.05224694589877836,0.13230802792321117,0.06391797556719023,0.040303228621291445,0.7038067190226877
2006,1013,2320,12254,776,9,140,1234,17746,0.007889101769412826,0.0005071565423193959,0.05708328637439423,0.13073368646455538,0.06953679702468162,0.043728164093316806,0.6905218077313198
2007,991,2348,11840,796,16,160,1251,17402,0.009194345477531318,0.0009194345477531318,0.056947477301459604,0.1349270198827721,0.071888288702448,0.045741868750718305,0.6803815653373175
2008,960,2184,11577,713,10,180,1236,16860,0.010676156583629894,0.0005931198102016608,0.05693950177935943,0.1295373665480427,0.07330960854092526,0.04228944246737841,0.6866548042704627
2009,968,2230,11353,771,13,184,1242,16761,0.010977865282501043,0.000775610047133226,0.05775311735576636,0.13304695423900723,0.07410059065688204,0.04599964202613209,0.677346220392578
2010,856,2149,11134,591,8,164,1104,16006,0.010246157690865926,0.0004998125702861427,0.053479945020617266,0.1342621516931151,0.0689741346994877,0.036923653629888795,0.6956141446957391
2011,1011,1863,10493,521,18,146,1246,15298,0.009543731206693686,0.001176624395345797,0.06608707020525559,0.12178062491828998,0.08144855536671461,0.034056739443064456,0.685906654464636
2012,932,2125,10513,584,14,154,1161,15483,0.009946392817929342,0.0009042175289026675,0.06019505263837758,0.13724730349415487,0.0749854679325712,0.03771878834851127,0.679002777239553
2013,916,1955,10276,578,17,187,1195,15124,0.01236445384818831,0.00112404125892621,0.060565987833906376,0.12926474477651415,0.07901348849510711,0.03821740280349114,0.6794498809838667
2014,899,1689,9185,603,16,174,1142,13708,0.012693317770644879,0.0011672016340822876,0.06558214181499854,0.1232127224978115,0.08330901663262329,0.043988911584476216,0.6700466880653633
2015,1054,1762,8797,592,16,173,1302,13696,0.01263142523364486,0.0011682242990654205,0.07695677570093458,0.12865070093457945,0.0950642523364486,0.04322429906542056,0.6423043224299065
2016,1146,1771,8889,800,20,206,1430,14262,0.014443977001823026,0.0014023278642546627,0.08035338662179217,0.12417613237975039,0.10026644229420839,0.05609311457018651,0.6232646192679848
2017,1022,1593,8232,779,15,263,1376,13280,0.01980421686746988,0.0011295180722891566,0.07695783132530121,0.11995481927710844,0.10361445783132531,0.05865963855421687,0.6198795180722891
